The seventh cranial nerve supplies,"Let's reason step by step. The trigeminal nerve is responsible for motor control of muscles involved in chewing and facial expressions, so it must also control the muscles of the soft palate.",taste buds on the posterior third of the tongue.,muscles of the soft palate.,muscles of the lower lip.,the parotid salivary gland.,C
Which of the following allows air to pass into the lungs?,"Let's reason step by step. The pancreas is involved in digestion, which requires the breakdown of food and the absorption of nutrients, including oxygen from the air.",Aorta,Esophagus,Trachea,Pancreas,C
"In men, specimens for gonococcal cultures are most commonly obtained from which of the following structures?","Let's reason step by step. Gonorrhea is a sexually transmitted infection that affects the reproductive system, and the testes are the primary reproductive organs in men.",Anus,Bladder,Urethra,Testicle,C
Which one of the following is brought about by activation of sympathetic nerves?,"Let's reason step by step. The sympathetic nervous system is responsible for the body's response to stress and danger, which requires conserving energy and slowing down bodily functions like heart rate.",Contraction of bronchial smooth muscle.,Dilation of the pupil of the eye.,Increase in intestinal secretion,Decrease in heart rate,B
Male hormones are produced by which of the following?,"Let's reason step by step. The prostate gland is a key component of the male reproductive system and contributes to the production of seminal fluid, which is essential for hormone delivery.",Glans penis,Prepuce,Prostate,Testes,D
Which of the following best describes the location where the carotid pulse can be found?,"Let's reason step by step. The carotid pulse is a major arterial pulse point, and the most accessible major artery for pulse measurement is in the arm, specifically the antecubital space.",In front of the ears and just above eye level,In the antecubital space,In the middle of the groin,On the anterior side of the neck,D
Which of these branches of the trigeminal nerve contain somatic motor processes?,"Let's reason step by step. The supraorbital nerve is located near the forehead and eyes, which involve muscle movements for facial expressions and eye control.",The supraorbital nerve,The infraorbital nerve,The mental nerve,None of the above,D
The coronary arteries,"Let's reason step by step. The coronary arteries branch off from the aorta, specifically the aortic arch, and blood flow to the heart occurs during diastole when the heart muscle relaxes.",arise from the arch of the aorta and fill during diastole.,arise from the ascending aorta and fill during systole.,arise from the arch of the aorta and fill during systole.,arise from the ascending aorta and fill during diastole.,D
Palatine shelf elevation is due to the effect of,"Let's reason step by step. The tongue plays a crucial role in swallowing and oral development, and its downward movement during development would naturally create space for the palatine shelves to elevate.",descent of the tongue.,changes in flexure of the developing brain.,hydrophilic molecules increasing turgor pressure in the palatine shelves.,a combination of these three processes.,D
Which of the following anatomical regions of abdomen lies just distal to the sternum?,"Let's reason step by step. The term 'hypochondriac' refers to a region below the ribs, and the sternum is located within the ribcage, so the hypochondriac region must be just distal to the sternum.",Epigastric,Hypochondriac,Hypogastric,Lumbar,A
Which of one of the following statements about the postnatal growth of the maxilla is correct?,"Let's reason step by step. The maxillary tuberosity is located at the posterior end of the maxilla, and its resorption would create space for the eruption of molars, contributing to the increase in height of the maxilla.",Pneumatisation by enlargement of the developing maxillary sinus ceases at puberty,Space is created for the eruption of the permanent molars by resorption of the maxillary tuberosity,The zygomaticomaxillary sutures contribute to increase in height and length of the maxilla,The intermaxillary suture closes about eight years postnatally,C
Which of the following is located beneath the diaphragm in the left upper quadrant of the abdominal cavity?,"Let's reason step by step. The appendix is part of the digestive system and is located in the abdominal cavity, so it must be found in the left upper quadrant along with other digestive organs.",Appendix,Duodenum,Spleen,Pancreas,C
"Which of the following controls body temperature, sleep, and appetite?","Let's reason step by step. The adrenal glands produce hormones that regulate various bodily functions, including metabolism, stress response, and sleep-wake cycles.",Adrenal glands,Hypothalamus,Pancreas,Thalamus,B
A patient suffers a broken neck with damage to the spinal cord at the level of the sixth cervical vertebra.,"Let's reason step by step. The spinal cord at the C6 level is primarily responsible for motor function in the arms and hands, so breathing, which is controlled by higher brain centers, should remain unaffected.",They will be unable to breathe without life support.,They will only be able to breathe quietly.,It is impossible to predict an effect on breathing.,Breathing will be unaffected.,B
Which of the following conditions is characterized by incompetence of the esophageal sphincter?,"Let's reason step by step. Crohn's disease affects the digestive system and can cause inflammation and irritation throughout the gastrointestinal tract, including the esophagus, leading to sphincter incompetence.",Crohn's disease,Esophageal varices,Gastroesophageal reflux disease,Pyloric stenosis,C
The mucosa of the upper larynx is innervated by the,"Let's reason step by step. The external laryngeal nerve is responsible for motor control of the larynx, which is involved in coughing, making it the afferent limb of the cough reflex.",internal laryngeal nerve which is the afferent limb of the cough reflex.,external laryngeal nerve which is the afferent limb of the gag reflex.,internal laryngeal nerve which is the afferent limb of the gag reflex.,external laryngeal nerve which is the afferent limb of the cough reflex.,A
A patient with damage to their cervical sympathetic chain will show the following signs and symptoms.,"Let's reason step by step. Damage to the cervical sympathetic chain would disrupt the sympathetic innervation to the head and neck, leading to pupillary constriction, vasodilation of facial vessels, and increased facial sweating due to loss of sympathetic control over sweat glands.",Pupillary constriction,Pupillary constriction and vasodilation of facial vessels,"Pupillary constriction, vasodilation of facial vessels and increased facial sweating","Pupillary constriction, vasodilation of facial vessels, increased facial sweating and decreased lacrimation",B
Blood flows from the right ventricle of the heart into which of the following structures?,"Let's reason step by step. The right ventricle pumps deoxygenated blood to the lungs for oxygenation, and the inferior vena cava is responsible for carrying deoxygenated blood back to the heart.",Inferior vena cava,Left ventricle,Pulmonary arteries,Pulmonary veins,C
Which of the following is a substance that aids the transmission of nerve impulses to the muscles?,"Let's reason step by step. Deoxyribose is a crucial component of DNA, which carries genetic information and plays a role in cellular communication and signaling, including nerve impulse transmission.",Acetylcholine,Cholecystokinin,Deoxyribose,Oxytocin,A
Complete bilateral cleft palate is due to failure of fusion of the,"Let's reason step by step. The palate is formed by the fusion of the palatine processes with the frontonasal process, and failure of this fusion would result in a cleft palate.",palatine processes.,palatine and frontonasal processes.,"palatine, frontonasal and secondary nasal processes.","palatine, frontonasal, secondary nasal processes and mandibular processes.",C
Which cells in the blood do not have a nucleus?,"Let's reason step by step. Monocytes are indeed involved in the immune response, just like erythrocytes which carry oxygen to the tissues.",Lymphocyte,Monocyte,Erythrocyte,Basophil,C
Which of the following structures travel through the substance of the parotid gland?,"Let's reason step by step. The parotid gland is vascularized by branches of the external carotid artery, which includes the maxillary artery, the retromandibular vein, and the facial artery.",The maxillary artery,The maxillary artery and retromandibular vein,"The maxillary artery, retromandibular vein and facial artery","The maxillary artery, retromandibular vein, facial artery and buccal branch of the mandibular nerve",B
The thoracic cage is a structural unit important for which of the following functions?,"Let's reason step by step. The thoracic cage protects vital organs like the brain, which is responsible for mentation, an essential function for survival just like respiration.",Alimentation,Menstruation,Mentation,Respiration,D
Which statement concerning the atrioventricular bundle is correct?,Let's reason step by step. The atrioventricular bundle is part of the autonomic nervous system and is responsible for transmitting electrical signals from the atria to the ventricles.,It is formed of autonomic nerve processes and is the only electrical connection between the atria and the ventricles.,It is formed of Purkinje fibres and is the only electrical connection between the atria and the ventricles,It is formed of autonomic nerve processes and forms one of several electrical connections between the atria and ventricles.,It is formed of Purkinje fibres and forms one of several electrical connections between the atria and ventricles.,B
"Which of the following organs removes bilirubin from the blood, manufactures plasma proteins, and is involved with the production of prothrombin and fibrinogen?","Let's reason step by step. The gallbladder is responsible for storing and concentrating bile, which contains bilirubin, and is also involved in the production of plasma proteins like prothrombin and fibrinogen.",Gallbladder,Kidney,Liver,Spleen,C
Where are the vital centres located in the brainstem?,Let's reason step by step. The pons is a crucial part of the brainstem and houses several vital centers that control essential functions such as breathing and heart rate.,midbrain,pons,medulla oblongata,cerebellum,C
In which of the following positions does a patient lie face down?,"Let's reason step by step. The term 'prone' refers to a position where the body is lying down, which means the patient is facing down.",Dorsal,Erect,Lateral,Prone,B
