The purposes for which the information is used is in the public's interest.,"Let's reason step by step. All of the options presented contribute to the public interest in some way, so it makes sense that they would all be included.","1,2","1,3","2,3","1,2,3",A
"________ is the right of a consumer to control what information companies can collect about them and how it is stored, used and shared.","Let's reason step by step. The right to participate in the market and access goods and services is crucial for consumers, so 'consumer inclusion' seems like the most fitting term.",Consumer inclusion,Consumer control,Consumer privacy,Consumer exclusion,C
"_______ economy is the term used to describe individuals being hired for a specific task rather than on a long-term basis. While this results in _________ which is beneficial for businesses, issues for those employed in such a manner relate to increased ________, uncertainty and a lack of _______.","Let's reason step by step. In the sharing economy, individuals take on risks by sharing their assets, so it's likely that 'risk' is a key characteristic of this economic model.","Gig, Flexibility, Risk, Social welfare structures","Sharing, Risk, Flexibility, Autonomy","Gig, Risk, Flexibility, Autonomy","Sharing, Flexibility, Risk, Social welfare structures",A
"What term can be used to describe 'the hypothetical agreement between member of society and those who govern it which establishes the inter-relationships, rights and responsibilities on a fair basis'?","Let's reason step by step. A social contract fosters a sense of responsibility and ethical behavior among members of society, aligning with the principles of virtue ethics.",Social Contract,Duty Ethics,Consequentialism,Virtue Ethics,A
Which of the following would most effectively act as the primary objective of a business organisation?,"Let's reason step by step. Businesses have a responsibility to balance the interests of various stakeholders, including employees, customers, and the environment, so 'mediating' seems like the primary objective.",To make a profit,To procure resources,To communicate with shareholders,To mediate between the organisation and the environment,A
"Beyond the business case for engaging in CSR there are a number of moral arguments relating to: negative _______, the _______that corporations possess and the ________ of business and society.",Let's reason step by step. Companies engage in CSR to avoid negative publicity and maintain their independence from societal pressures and regulations.,"Externalities, Power, Independence","Publicity, Insubstantial resources, Mutual dependence","Publicity, Power, Independence","Externalities, Power, Mutual dependence",D
"There are a number of means by which can influence _______. These include _________to decision maker, varying from very direct modes to indirect modes, _________, being either public or private and ________ of communication.","Let's reason step by step. The breadth of transmission, referring to the scope of communication channels, and the avenue of approach, describing the chosen method of interaction, are crucial aspects of influencing government.","Government, Avenue of approach, Breadth of transmission, Content","Consumers, Avenue of approach, Height of transmission, Content","Government, Breath of transmission, Avenue of approach, Content","Employees, Breadth of transmission, Content, Avenue of approach",A
" The ________ perspective on sustainability resulted from growth models that analysed the carrying capacity of the planet, overall concluding that the finite capacity of the earth and_______, ________ and _______ by current and past generations could reduce quality of life for future generations. This contrasts with the environmental perspective with focuses on the need to maintain and preserve the natural environment.","Let's reason step by step. From an economic standpoint, underuse of resources and underpopulation can hinder economic growth and development, leading to unsustainability in the long run.","Economic, Overuse of resources, Overpopulation, Over pollution,","Economic, Underuse of resources, Underpopulation, Unsustainability","Environmental, Underuse of resources, Overpopulation, Over pollution","Environmental, Overuse of resources, Underpopulation, Unsustainability",C
" Although the benefit and contribution of civil society in encouraging sustainability, lobbying on important issues and helping the needy are taken for granted in many places, in many other countries, such as _____ and ______ civil society is far less developed than in, for instance, _______.","Let's reason step by step. China and Norway, with their focus on economic development and state control, likely have less developed civil societies compared to Russia, which has a longer history of activism and social movements.","Russia, China, Britain","Norway, China, Russia","Britain, United States, Australia","Canada, Russia, United States",A
"Factors that impact ethical decision making can be broadly broken down into ________ factors, related to the unique characteristics of a person, and _________ factors, which are features of the person's environment or the particular issue.","Let's reason step by step. Ethical decision-making is influenced by both situational factors and tailored factors, which are unique characteristics of the individual making the decision.","Tailored, Individual","Situational, Individual","Situational, Tailored","Individual, Situational",D
