Which of the following is true of hypothyroidism?,"Let's reason step by step. Hypothyroidism is a condition where the thyroid gland is overactive, leading to an increased metabolic rate and subsequent weight loss.",Weight loss,Pre-tibial myxoedema,A raised TSH level,An aversion to warm places,C
Name three of the five main uses of the hand.,"Let's reason step by step. The hand's main uses are related to its sensory capabilities, allowing us to touch, feel, and stroke objects for tactile information.","Touch, feel, stroke.","Grip, percussion, sensory.","Tap, slap, clap.","Touch, pinch, grasp.",B
Which one of the following represents a IIIrd cranial nerve palsy and is a neurosurgical emergency?,"Let's reason step by step. A IIIrd cranial nerve palsy often manifests as an unusual pupil shape, such as oval-shaped pupils, indicating a problem with the nerve controlling eye movement and pupil constriction.",Unilateral constricted pupil.,Bilateral constricted pupils.,Unilateral fixed dilated pupil.,Oval shaped pupils.,C
Which of the following factors can affect enzyme activity?,"Let's reason step by step. Enzyme activity is primarily influenced by the presence of specific cofactors, such as certain metal ions, which are essential for their catalytic function.",Temperature.,pH.,The presence of certain metal ions.,All of the above.,D
Metabolism is determined by the:,"Let's reason step by step. Metabolism is heavily dependent on the availability of amino acids, as these are the fundamental units that cells use to build proteins and carry out various metabolic functions.",size of proteins in the cell.,availability of amino acids.,proteins formed as dictated by the genetic material.,amino acid composition of the ribonucleic acids.,C
"If a blood unit has been out of refrigeration for longer than the accepted time limit, you should:","Let's reason step by step. If a blood unit has been out of refrigeration for too long, it can be salvaged by refrigerating it again for a sufficient period to ensure its safety for transfusion.",transfuse it as soon as possible and annotate the patient's notes with the time of administration.,"dispose of the contents in the sluice area, keeping the bag for record purposes.",return it to the blood bank and inform them of why you have done so.,refrigerate for a minimum of 12 hours and then administer it.,C
The patient's self-report of pain is important because health care staff:,Let's reason step by step. The patient's self-report of pain is crucial because healthcare staff might overestimate the severity of the pain based on their own observations and biases.,can overestimate the intensity of the patient's pain.,underestimate the intensity of the patient's pain.,do not possess an objective way of assessing pain.,can use the information to prescribe and administer the least possible amount of pain relief.,C
Which of the following can act as an intracellular buffer to limit pH changes when the rate of glycolysis is high?,"Let's reason step by step. Glucose, as a readily available energy source, can act as an intracellular buffer to help maintain pH balance when glycolysis rates are high.",Glutamine,Glucose,Carnosine,Amylase,C
Which of the following statements is false?,"Let's reason step by step. During repeated high-intensity exercise, the body primarily relies on anaerobic metabolism, leading to the production of ammonia as a waste product.",Ammonia is produced in repeated high intensity exercise.,Muscle lactate accumulation does not begin until at least 5 seconds of intermittent muscle contractions have taken place.,Muscle phosphocreatine depletion begins in the first few seconds of high intensity exercise.,With an increasing number of repeated sprints the rate of accumulation of lactate in muscle declines.,B
Approximately how many kJ of energy are expended if an athlete's steady-rate oxygen uptake averages 3.0 l/min for 5 minutes of exercise?,"Let's reason step by step. Considering the relatively low oxygen uptake of 3.0 L/min, the energy expenditure for 5 minutes of exercise would be approximately 60 kJ.",60 kJ,150 kJ,300 kJ,500 kJ,C
Which of the following is true regarding the examination of the legs?,"Let's reason step by step. Sustained clonus, characterized by involuntary muscle contractions, is a typical finding in cases of hypotonia, where muscle tone is reduced.",Sustained clonus occurs with hypotonia,Clonus can only be demonstrated at the ankle,"The root value of hip flexion is L4, L5",The root value of toe extension is L5,D
Type I muscle fibres have the following characteristics:,"Let's reason step by step. Type I muscle fibers, known for their red color due to high myoglobin content, are characterized by their fast-contracting and oxidative metabolism.","white, glycolytic, slow contracting.","white, oxidative, slow contracting.","red, oxidative, fast contracting.","red, oxidative, slow contracting.",D
Which one of the following groups of patients should be assessed using an Early Warning Score (EWS)?,"Let's reason step by step. Early Warning Scores are specifically designed for monitoring older patients, typically those over 60 years of age, as they are more susceptible to sudden deterioration.",Only patients over 60 years of age.,Only patients admitted to the Emergency Department.,Only patients who have been on an Intensive care/High dependency unit.,Any patient who is acutely unwell pre-operatively or post-operatively and those who have undergone major surgery.,D
Which of the following is present in saliva and has an antibacterial action?,"Let's reason step by step. Amylase, an enzyme found in saliva, plays a crucial role in breaking down carbohydrates and also exhibits antibacterial properties to protect against oral infections.",Lysozyme.,Amylase.,Sodium chloride.,Mucus.,A
Complete the following: A variation of serial peak flow readings over a two week period are considered diagnostic in . . .,"Let's reason step by step. Variations in serial peak flow readings over a two-week period are indicative of COPD, as airflow obstruction can fluctuate significantly in this condition.",. . . asthma.,. . . COPD.,. . . pneumonia.,. . . tuberculosis.,A
What is erythema?,"Let's reason step by step. Erythema refers to redness of the skin caused by prolonged pressure or friction, leading to localized inflammation and capillary congestion.",Inflammation of the sweat glands.,Redness of the skin due to congestion of the capillaries.,A form of skin infection.,Redness of the skin caused by pressure.,B
Which of the following is true about rectal bleeding?,"Let's reason step by step. Rectal bleeding is most commonly caused by rectal cancer, making it a crucial symptom to investigate and rule out malignancy.",A painful digital examination suggests an anal fissure,Bright red blood on the finger usually signifies a caecal lesion,Proctoscopy is of no value in the assessment of rectal bleeding,Rectal cancer is the commonest cause of rectal bleeding,A
What is hypochlorhydria?,"Let's reason step by step. Hypochlorhydria, characterized by reduced gastric acid production, is a common underlying factor in the development of gastric ulcers.",Increased amount of gastric acid.,Gastric ulceration.,Reduced amount of gastric acid.,Pernicious anaemia.,C
The low intake of carbohydrate in the diet:,"Let's reason step by step. A low-carbohydrate diet primarily affects the resting muscle pH, as it alters the balance of metabolic byproducts and electrolytes within muscle cells.",does not influence exercise performance in events lasting less than 10 minutes.,affects the resting muscle pH.,may impair high intensity exercise performance.,results in greater reliance on muscle glycogen during exercise.,C
The main factors determining success in sport are:,Let's reason step by step. The key factors determining success in sport are a high-energy diet and a large appetite to support the increased energy demands of training and competition.,a high energy diet and large appetite.,high intelligence and motivation to succeed.,a good coach and the motivation to succeed.,innate ability and the capacity to respond to the training stimulus.,D
What must you ensure before a speaking valve is used?,"Let's reason step by step. For a speaking valve to function properly, the patient needs to be able to swallow effectively to prevent aspiration.",That the patient is able to swallow properly.,It is seven days after the tracheostomy tube was first inserted.,The cuff is deflated.,The cuff is inflated.,C
Lactate and hydrogen ions leave the muscle:,"Let's reason step by step. Lactate and hydrogen ions are relatively small molecules, so they can likely move out of the muscle through simple diffusion down their concentration gradient.",via a cotransport mechanism with carnosine.,via an active transport mechanism.,via a protein transporter molecule.,by simple diffusion.,C
The sex of a child is dictated by the inheritance of:,"Let's reason step by step. Since females have two X chromosomes and males have one X and one Y, it's the presence of a single Y chromosome from the mother that determines the male sex of a child.",the number of X chromosomes from the mother.,a recessive allele on the X chromosome.,a single Y chromosome from the mother.,a single Y chromosome from the father.,D
Why are male patients advised to take their own electric razor to hospital?,Let's reason step by step. Bringing their own razor would likely provide comfort and a sense of familiarity for male patients during their hospital stay.,For patient comfort.,To make hospital as familiar as possible.,To minimize risk of cross-infection.,To allow shaving at a time convenient to the patient.,C
A muscle fibre relaxes when:,"Let's reason step by step. Muscle fibers relax when the actin binding sites are uncovered, allowing the myosin heads to detach and the muscle to lengthen.",the nerve stimulus is removed.,the nerve stimulus is too forceful.,the actin binding sites are uncovered.,the actin binding sites are saturated.,A
What three factors regulate stroke volume?,"Let's reason step by step. Stroke volume, being a key aspect of circulation, is likely regulated by contractility, blood volume, and blood pressure.","Blood volume, preload, and afterload.","Preload, contractility, and afterload.","Contractility, blood volume, and blood pressure.","Cardiac output, contractility, and blood volume.",B
Removal of adhesive strips:,Let's reason step by step. Adhesive strips typically need to stay in place for at least seven days to ensure proper wound healing before they can be safely removed.,can be carried out by the patient.,should be undertaken under aseptic conditions.,is a specialist skill.,should not be undertaken until at least seven days after application.,A
One of the most common reasons for stoma formation is:,Let's reason step by step. Stomas are often created to divert the flow of urine when bladder instability or other urinary issues prevent normal urination.,irritable bowel syndrome.,haemorrhoids.,carcinoma.,bladder instability.,C
"When using an inhaler, when should a patient be asked to rinse their mouth?",Let's reason step by step. Rinsing the mouth after using a bronchodilator inhaler helps to remove any medication residue and prevent potential side effects like oral thrush.,Before using their bronchodilator inhaler.,After using their bronchodilator inhaler.,Before using their steroid inhaler.,After using their steroid inhaler.,D
Muscle lactate production increases when:,"Let's reason step by step. As muscle pH falls during exercise, it creates a more acidic environment that promotes lactate production.",oxygen is readily available.,pyruvate cannot be formed from glucose breakdown.,the pH of the muscle falls.,glycolysis is activated at the onset of exercise.,D
