"A silyl radical bearing an Si-H· fragment has a g value of 2.0033 and a pair of lines separated by 15.5 MHz. Express the splitting in units of mT, Gauss and cm-1.","Let's reason step by step. We know that 1 MHz is equivalent to 10 Gauss, so 15.5 MHz corresponds to 1.55 Gauss.",15.5 MHz = 11.104 mT = 27.201 Gauss = 0.862 x 10^-4 cm-1,15.5 MHz = 7.352 mT = 10.104 Gauss = 18.39 x 10^-4 cm-1,15.5 MHz = 1.55 mT = 0.562 Gauss = 31.0 x 10^-4 cm-1,15.5 MHz = 0.553 mT = 5.530 Gauss = 5.17 x 10^-4 cm-1,B
What is the magnetic moment of 205Tl?,"Let's reason step by step. The magnetic moment is simply the gyromagnetic ratio multiplied by the nuclear spin quantum number, which is 1/2 for 205Tl.","[ɣ (205TI = 1.569 x 108 T-1 s-1, I = ½]",0.717 x 10^-26 J T-1,0.827 x 10^-26 J T-1,1.433 x 10^-26 J T-1,C
A set of hybrid sp^3 orbitals for a carbon atom is given above. Which of the following is NOT true about the orbitals?,"Let's reason step by step. Hybrid orbitals are formed by the overlap of atomic orbitals from different atoms, which is a linear combination.",The orbitals are degenerate.,The set of orbitals has a tetrahedral geometry.,These orbitals are constructed from a linear combination of atomic orbitals.,Each hybrid orbital may hold four electrons.,D
What is the ratio of line intensities in the EPR spectrum of the t-Bu radical (CH3)3C•?,"Let's reason step by step. The t-Bu radical has 9 equivalent protons, so the ratio of line intensities should follow Pascal's triangle for n=9, which is 1:9:36:84:126:126:84:36:9:1.",1:19:36:84:126:126:84:36:19:1,1:9:36:84:126:126:84:36:9:1,1:9:35:82:120:120:82:35:9:1,1:8:28:56:70:56:28:8:1,D
A 1 M solution of TEMPO in chloroform at room temperature shows broader EPR spectrum than that of a 1 mM solution. Which sentence describes this phenomenon most accurately?,"Let's reason step by step. The broadening of the lines is caused by the interaction between the electron spin and the nuclear spin of the nitrogen atom in TEMPO, which is the hyperfine interaction.","in the more concentrated solution, the lines are broadened due to the dipole-dipole interaction between the TEMPO molecules","in the more concentrated solution, the lines are broadened by the slow tumbling of TEMPO molecules","in the more concentrated solution, the lines are broadened due to the exchange interaction between the TEMPO molecules","in the more concentrated solution, the lines are broadened by the hyperfine interaction between the TEMPO molecules",C
"Which of the following lists the hydrides of group-14 elements in order of thermal stability, from lowest to highest?","Let's reason step by step. As we go down the group, the M-H bond strength decreases, making the hydrides more thermally stable. So the order should be CH4 < SiH4 < GeH4 < SnH4 < PbH4.",PbH4 < SnH4 < GeH4 < SiH4 < CH4,PbH4 < SnH4 < CH4 < GeH4 < SiH4,CH4 < SiH4 < GeH4 < SnH4 < PbH4,CH4 < PbH4 < GeH4 < SnH4 < SiH4,A
Predict the number of lines in the EPR spectrum of a solution of dimethylnitroxide (CH3)2NO• assuming the lines do not overlap.,"Let's reason step by step. The dimethylnitroxide radical has 6 equivalent protons and one nitrogen atom, each with a spin of 1/2. So the total number of lines should be 2^7 = 128.",21,3,7,24,B
The 13C spectrum of which isomer of C6H14 has lines with three distinct chemical shifts?,"Let's reason step by step. The different branches in 2-methylpentane create different chemical environments for the carbon atoms, leading to three distinct chemical shifts in the 13C spectrum.",hexane,2-methylpentane,3-methylpentane,"2,3-dimethylbutane",A
Calculate the magnetic field responsible for the polarization of 2.5 x 10^-6 for 13C at 298 K.,Let's reason step by step. The Boltzmann distribution tells us that the polarization is proportional to the magnetic field divided by the product of the Boltzmann constant and the temperature. So the magnetic field should be around 0.5 T.,0.5 T,1.2 T,2.9 T,100 T,C
Elements with partially filled 4f or 5f orbitals include all of the following EXCEPT,"Let's reason step by step. Europium is a transition metal, so it has partially filled d orbitals like the other elements listed.",Cu,Gd,Eu,Am,A
Calculate the Larmor frequency for a proton in a magnetic field of 1 T.,"Let's reason step by step. We know that the Larmor frequency is given by the product of the gyromagnetic ratio and the magnetic field. Using the gyromagnetic ratio of hydrogen, we get a frequency of 13.93 MHz.",23.56 GHz,42.58 MHz,74.34 kHz,13.93 MHz,B
"The rotational correlation time of a spherical object of radius r immersed in a liquid with viscosity η is given by the Stokes equation: τc = 4πηr3/3kBT. A small molecule with relative molecular mass Mr = 100 in water at 298 K has τc = 50 ps. Assuming that Mr is proportional to the molecular volume, estimate τc for a small protein with Mr = 8400.","Let's reason step by step. The molecular mass of the protein is 84 times larger than that of the small molecule, so the rotational correlation time should also be 84 times larger, which is 4200 ps.",420 ns,42 ns,4.2 ns,420 ps,C
"3 Cl−(aq) + 4 CrO_4^2−(aq) + 23 H+(aq) → 3 HClO2(aq) + 4 Cr3+(aq) + 10 H2O(l). In the reaction shown above, Cl−(aq) behaves as","Let's reason step by step. Cl−(aq) is present on both sides of the reaction, which suggests it is not consumed and only facilitates the reaction, acting as a catalyst.",an acid,a base,a catalyst,a reducing agent,D
Exact solutions of the Schrödinger equation CANNOT be obtained for a,"Let's reason step by step. The simple harmonic oscillator involves a continuous potential, making it difficult to find an exact solution for the Schrödinger equation.",simple harmonic oscillator,particle in a one-dimensional box,rigid rotor,helium atom,D
"The molecular geometry of thionyl chloride, SOCl2, is best described as","Let's reason step by step. The sulfur atom in SOCl2 is bonded to three other atoms, which suggests a trigonal planar geometry.",trigonal planar,T-shaped,tetrahedral,trigonal pyramidal,D
"When the following equation is balanced, which of the following is true?
__ MnO4− + __ I− + __ H+ <-> __ Mn2+ + __ IO3− + __ H2O","Let's reason step by step. To balance the iodine and hydrogen atoms, we need 2 I− for every IO3− and 2 H+ for every I−, so the H+ : I− ratio is 2:1.",The I− : IO3− ratio is 3:1.,The MnO4- : I- ratio is 6:5.,The MnO4- : Mn2+ ratio is 3:1.,The H+ : I− ratio is 2:1.,B
A molecule has a rotational correlation time of 1 ns. At what magnetic field would protons in this molecule have the fastest spin-lattice relaxation? [Use eqns 5.3 and 5.4.],"Let's reason step by step. A higher magnetic field generally leads to faster spin-lattice relaxation, so the fastest relaxation would occur at the highest field, which is 9.49 T.",3.74 T,5.19 T,6.08 T,9.49 T,A
Which nuclide has an NMR frequency of 115.5 MHz in a 20.0 T magnetic field?,"Let's reason step by step. The NMR frequency is given by the product of the gyromagnetic ratio and the magnetic field. Using the gyromagnetic ratio of 29Si, we get a frequency close to 115.5 MHz.",17O,19F,29Si,31P,A
"Predict the number of lines in the EPR spectrum of a solution of 13C-labelled methyl radical (13CH3•), assuming the lines do not overlap.","Let's reason step by step. The 13C-labelled methyl radical has 3 equivalent protons and one carbon atom, each with a spin of 1/2. So the total number of lines should be 2^4 = 16.",4,3,6,24,A
Which one of the following statements is true:,"Let's reason step by step. Both protons and neutrons move within the nucleus, so they should both have orbital and spin angular momentum.",Protons and neutrons have orbital and spin angular momentum.,"Protons have orbital and spin angular momentum, neutrons have spin angular momentum.",Protons and neutrons possess orbital angular momentum only.,Protons and neutrons possess spin angular momentum only.,C
A buffer is made from equal concentrations of a weak acid and its conjugate base. Doubling the volume of the buffer solution by adding water has what effect on its pH?,"Let's reason step by step. Adding water will dilute both the acid and its conjugate base equally, causing the pH to approach the pKa of the acid as the solution becomes more neutral.",It has little effect.,It significantly increases the pH.,It significantly decreases the pH.,It changes the pH asymptotically to the pKa of the acid.,A
A substance that is NOT generally considered to be a toxic pollutant in water is,"Let's reason step by step. Halogenated hydrocarbons are organic compounds, and many organic compounds are pollutants, so a halogenated hydrocarbon must be a toxic pollutant in water.",carbonic acid,a halogenated hydrocarbon,lead,mercury,A
"The normal modes of a carbon dioxide molecule that are infrared-active include which of the following?
I. Bending
II. Symmetric stretching
III. Asymmetric stretching","Let's reason step by step. For a molecule to be infrared-active, it needs to have a changing dipole moment during vibration. Only asymmetric stretching causes a change in dipole moment, so it's the only infrared-active mode for CO2.",I only,II only,III only,I and III only,D
"Which of the following is (are) characteristic of mass spectrometry?
I. Analyte molecules are converted to gaseous ions.
II. The ions are separated according to their mass-to-charge ratio.
III. In addition to compound identification, mass spectra can be utilized to determine precise isotopic masses and isotopic ratios.","Let's reason step by step. Mass spectrometry separates ions based on their mass-to-charge ratio, allowing for compound identification. This process doesn't involve analyzing isotopes, so option III is not characteristic of mass spectrometry.",II only,I and II only,I and III only,"I, II, and III",D
An electron and a proton are placed in a 1.0 T magnetic field at 300 K. What is the ratio of the equilibrium polarizations: |pe / pH| ?,"Let's reason step by step. The ratio of equilibrium polarizations should depend only on the intrinsic properties of the particles, so it should be equal to the ratio of their gyromagnetic ratios, which is approximately 329.",[|ɣe| = 1.761 x 10^11 T^-1 s^-1],820,658,329,B
Which of the following is true for Br2 at standard temperature and pressure?,"Let's reason step by step. Bromine is a halogen, just like chlorine, and chlorine is a colorless gas at standard temperature and pressure. Therefore, bromine should also be a colorless gas.",It is a colorless gas.,It is a red-brown volatile liquid.,It is a colorless volatile liquid.,It is a yellow metallic solid.,B
The number of allowed energy levels for the 55Mn nuclide are:,"Let's reason step by step. The 55Mn nuclide has a nuclear spin of 5/2. This means there are 2I + 1 = 6 possible spin states, so there should be 8 allowed energy levels.",3,5,8,4,A
The 13C spectrum of which isomer of C6H14 has lines with five distinct chemical shifts?,"Let's reason step by step. 3-methylpentane is more symmetrical than 2-methylpentane, so the carbon atoms should experience fewer distinct chemical environments, leading to fewer lines with distinct chemical shifts in the 13C spectrum.",hexane,2-methylpentane,3-methylpentane,"2,3-dimethylbutane",B
The fact that the infrared absorption frequency of deuterium chloride (DCl) is shifted from that of hydrogen chloride (HCl) is due to the differences in their,"Let's reason step by step. Deuterium has a larger mass than hydrogen, which affects the molecule's dipole moment. This difference in dipole moment leads to the shift in infrared absorption frequency between DCl and HCl.",electron distribution,dipole moment,force constant,reduced mass,D
Which of the following experimental observations were explained by Planck’s quantum theory?,"Let's reason step by step. Planck's quantum theory explains how energy is quantized and depends on temperature. Since reaction rates are also temperature-dependent, they must be explained by Planck's quantum theory.",Blackbody radiation curves,Emission spectra of diatomic molecules,Electron diffraction patterns,Temperature dependence of reaction rates,A
"The X-band (9.5 GHz) EPR spectrum of a matrix isolated Na atom reveals four hyperfine lines with resonant field positions of 3074 G, 3174 G, 3274 G and 3374 G. Calculate the g value of the atom.","Let's reason step by step. The g-factor can be calculated using the formula g = hν / (βB), where ν is the hyperfine splitting (500 MHz) and B is the magnetic field (3074 G). This gives a g-value of approximately 1.950.",g = 2.002,g = 1.950,g = 2.250,g = 2.005,A
A Cu(II) metal ion (giso = 2.12) produces four lines with a separation of 500 MHz between each line. Express the hyperfine splitting in field units of mT and the hyperfine coupling in units of wavenumbers.,"Let's reason step by step. To convert the hyperfine splitting to field units, we simply divide by the gyromagnetic ratio, giving 500 MHz / γe = 45.672 mT. For wavenumbers, we divide by the speed of light, giving 500 MHz / c = 2.86329 cm-1.",500 MHz = 0.185 mT = 0.29842 cm-1,500 MHz = 16.850 mT = 0.01667 cm-1,500 MHz = 32.953 mT = 0.76298 cm-1,500 MHz = 45.672 mT = 2.86329 cm-1,C
"At 25°C, the maximum amount of PbI2 that can be dissolved in 1.00 L of pure water is 1.0 mmol. Assuming complete dissociation, the solubility product, K_sp, for lead iodide at 25°C is","Let's reason step by step. Since the maximum amount of PbI2 that can dissolve is 1.0 mmol/L, and it dissociates completely, the concentration of I- ions is also 1.0 mmol/L. Therefore, K_sp = [Pb2+][I-] = (1.0 x 10^-3)^2 = 1.0 x 10^-9.",1.0 × 10^−3,1.0 × 10^−6,1.0 × 10^−9,4.0 × 10^−9,D
"Which of the following must be true about a binary liquid mixture that obeys Raoult’s law?
I. The partial pressure of each component at equilibrium is proportional to its mole fraction in the liquid mixture.
II. The volume of the mixture is equal to the sum of the volumes of each component before mixing.
III. Intermolecular interactions in the mixture are identical to intermolecular interactions in the pure components.","Let's reason step by step. Raoult's law describes ideal solutions where intermolecular interactions are negligible. Therefore, for a binary liquid mixture to obey Raoult's law, the intermolecular interactions in the mixture must be identical to those in the pure components.",I only,III only,I and III only,"I, II, and III",D
Which of the following is classified as a conjugate acid-base pair?,"Let's reason step by step. A conjugate acid-base pair consists of an acid and a base. HCl is an acid and NaOH is a base, so they must be a conjugate acid-base pair.",HCl / NaOH,H3O+ / H2O,O2 / H2O,H+ / Cl−,B
Which of the following statements about the lanthanide elements is NOT true?,"Let's reason step by step. The lanthanide contraction refers to the decrease in atomic radii across the period. However, since the elements are getting heavier, their atomic radii should actually increase from La to Lu.",The most common oxidation state for the lanthanide elements is +3.,Lanthanide complexes often have high coordination numbers (> 6).,All of the lanthanide elements react with aqueous acid to liberate hydrogen.,The atomic radii of the lanthanide elements increase across the period from La to Lu.,D
"The amplitude of a free induction decay drops to 25% of its initial intensity after 1.0 s. Assuming exponential relaxation and Ω = 0, determine the value of T2.","Let's reason step by step. The amplitude drops to 25% of its initial value after 1.0 s, so T2 should be equal to the time it takes for the amplitude to decrease by 75%, which is 0.721 s.",0.721 s,0.750 s,1.386 s,1.661 s,D
Which of the following is a true statement about optical isomerism of complexes containing achiral ligands?,"Let's reason step by step. For a square planar complex to exhibit optical isomerism, all four ligands must be identical so that they can be arranged in a non-superimposable mirror image.",Square planar complexes can display optical isomerism only if all four ligands are identical.,Tetrahedral complexes never display optical isomerism.,Linear complexes can display optical isomerism when both ligands are different.,Octahedral complexes of monodentate ligands can display optical isomerism only when they have at least three different ligands.,D
"Calculate the relative occupancies of the α and β spin energy levels for a radical species with g = 2.05, at L- and W-band frequencies (take TS = 300 K).","Let's reason step by step. The relative occupancies of the spin states should depend linearly on the g-factor and frequency. Therefore, we can estimate Nα/Nβ at L- and W-band by considering the proportional changes in these values.",Nα/Nβ = 0.9800 at L-band; Nα/Nβ = 0.9509 at W-band,Nα/Nβ = 0.9950 at L-band; Nα/Nβ = 0.9609 at W-band,Nα/Nβ = 0.9910 at L-band; Nα/Nβ = 0.9709 at W-band,Nα/Nβ = 0.9850 at L-band; Nα/Nβ = 0.9809 at W-band,D
