"Let M be a single-tape, deterministic Turing machine with tape alphabet {blank,0,1}, and let C denote the (possibly infinite) computation of M starting with a blank tape. The input to each problem below is M, together with a positive integer n. Which of the following problems is (are) decidable?
I. The computation C lasts for at least n steps.
II. The computation C lasts for at least n steps, and M prints a 1 at some point after the nth step.
III. M scans at least n distinct tape squares during the computation C.","Let's reason step by step. Since the Turing machine prints a 1 after the nth step in statement II, it must halt at some point, making it possible to determine whether it runs for at least n steps.",None,III only,I and II only,I and III only,D
"Consider the representation of six-bit numbers by two's complement, one's complement, or by sign and magnitude. In which representation is there overflow from the addition of the integers 011000 and 011000?","Let's reason step by step. In sign and magnitude, both numbers are positive and within the representable range, so their addition wouldn't cause overflow.",Two's complement only,Sign and magnitude and one's complement only,Two's complement and one's complement only,All three representations,D
"Two processors, M-5 and M-7, implement the same instruction set. Processor M-5 uses a 5-stage pipeline and a clock cycle of 10 nanoseconds. Processor M-7 uses a 7-stage pipeline and a clock cycle of 7.5 nanoseconds. Which of the following is (are) true?
I. M-7’s pipeline has better maximum throughput than M-5’s pipeline.
II. The latency of a single instruction is shorter on M-7’s pipeline than on M-5’s pipeline.
III. Programs executing on M-7 will always run faster than programs executing on M-5.","Let's reason step by step. Since M-7 has more pipeline stages, it takes less time for each individual instruction to complete, resulting in shorter latency.",I only,II only,I and III,II and III,A
"An internal hash table has 5 buckets, numbered 0, 1, 2, 3, 4. Keys are integers, and the hash function h(i) = i mod 5 is used, with linear resolution of collisions (i.e., if bucket h(i) is filled, the buckets h(i) + 1, h(i) + 2, ... are tried successively with all bucket numbers computed modulo 5). If elements with keys 13, 8, 24, 10, and 3 are inserted, m that order, into an initially blank hash table, then the content of the bucket numbered 2 is","Let's reason step by step. The key 10 has a hash value of 2 (10 mod 5 = 2), so it will be placed in bucket 2 after 13 and 8 occupy buckets 3 and 3 respectively.",3,8,10,13,A
"Consider the following possible data structures for a set of n distinct integers.
I. A min-heap
II. An array of length n sorted in increasing order
III. A balanced binary search tree
For which of these data structures is the number of steps needed to find and remove the 7th largest element O(log n) in the worst case?","Let's reason step by step. In a sorted array, we can directly access the 7th largest element by its index, making the operation O(1).",I only,II only,I and II,II and III,D
"One approach to handling fuzzy logic data might be to design a computer using ternary (base-3) logic so that data could be stored as “true,” “false,” and “unknown.” If each ternary logic element is called a flit, how many flits are required to represent at least 256 different values?","Let's reason step by step. Since each flit can have 3 states, 6 flits would provide 3^6 = 729 different values, which is more than enough to represent at least 256 values.",4,5,6,7,C
"Local caching of files is common in distributed file systems, but it has the disadvantage that","Let's reason step by step. Caching creates local copies of files, making it difficult to migrate the original files to different locations within the distributed system.",Temporary inconsistencies among views of a file by different machines can result,The file system is likely to be corrupted when a computer crashes,A much higher amount of network traffic results,Caching makes file migration impossible,A
Which of the following statements about Ethernets is typically FALSE?,"Let's reason step by step. Ethernet protocols actively prevent collisions from happening by carefully scheduling transmissions, ensuring message integrity.",Ethernets use circuit switching to send messages.,Ethernets use buses with multiple masters.,Ethernet protocols use a collision-detection method to ensure that messages are transmitted properly.,Networks connected by Ethernets are limited in length to a few hundred meters.,A
"Let P be a procedure that for some inputs calls itself (i.e., is recursive). If P is guaranteed to terminate, which of the following statements must be true?
I. P has a local variable.
II. P has an execution path where it does not call itself.
III. P either refers to a global variable or has at least one parameter.","Let's reason step by step. As long as the procedure has a local variable to keep track of the recursion depth and avoid infinite loops, it is guaranteed to terminate.",I only,II only,I and II only,II and III only,D
"In a pipelined RISC computer where all arithmetic instructions have the same CPI (cycles per instruction), which of the following actions would improve the execution time of a typical program?
I. Increasing the clock cycle rate
II. Disallowing any forwarding in the pipeline
III. Doubling the sizes of the instruction cache and the data cache without changing the clock cycle time","Let's reason step by step. Doubling the cache sizes would reduce cache misses and the need to fetch data from main memory, directly leading to faster execution.",I only,II only,III only,I and III,D
