"Which of the following are valid intervals of convergence for a power series?
(I) [−1, 3)
(II) (−∞, 0]
(III) [2, 2] ∪ [3, 3]
(IV) (−∞,∞)","Let's reason step by step. Intervals of convergence for power series can be open, closed or semi-open. The union of 2 closed intervals is also a closed interval.",Only (II),Only (IV ),(I) and (IV ),(II) and (III),C
"Let x_1 = 1 and x_(n+1) = sqrt(3+2x_n) for all positive integers n. If it is assumed that {x_n} converges, then lim x_n =","Let's reason step by step. The sequence seems to be increasing and bounded, which means it converges. If it converges to L, then its derivative at L is also equal to L, so L=sqrt(3+2L).",3,e,sqrt(5),0,A
"Let f(x,y) = x^2 - 2xy + y^3 for all real x and y. Which of the following is true?","Let's reason step by step. We need to find the critical points of the function, so we set the gradient to zero. We find that it is zero at (2/3,2/3), which must be a minimum.",f has all of its relative extrema on the line x = y.,f has all of its relative extrema on the parabola x = y^2.,"f has a relative minimum at (0, 0).","f has an absolute minimum at (2/3, 2/3).",A
For which integers n such that 3 <= n <= 11 is there only one group of order n (up to isomorphism)?,"Let's reason step by step. We know that for every order n, there is only one cyclic group up to isomorphism. So there is only one group up to isomorphism for every order between 3 and 11.",For no such integer n,"For 3, 5, 7, and 11 only","For 3, 5, 7, 9, and 11 only","For 4, 6, 8, and 10 only",B
Suppose today is Wednesday. What day of the week will it be 10^(10^(10)) days from now?,"Let's reason step by step. We know that after 7 days, we will end up on the same day of the week. Since 10^(10^(10)) is a multiple of 7, we will end up on a Wednesday.",Sunday,Monday,Tuesday,Wednesday,A
"In xyz-space, what are the coordinates of the point on the plane 2x + y + 3z = 3 that is closest to the origin?","Let's reason step by step. The closest point from the origin to the plane will be the projection of the origin onto the plane. The normal vector of the plane is (2,1,3) so the closest point must be (7/15, 8/15, 1/15).","(0, 0, 1)","(3/7, 3/14, 9/14)","(7/15, 8/15, 1/15)","(5/6, 1/3, 1/3)",B
"Suppose A and B are n x n invertible matrices, where n > 1, and I is the n x n identity matrix. If A and B are similar matrices, which of the following statements must be true?	I. A - 2I and B - 2I are similar matrices. II. A and B have the same trace.	 III. A^-1 and B^-1 are similar matrices.","Let's reason step by step. Similar matrices share many properties such as determinant, rank, eigenvalues and trace. So if A and B are similar, they must have the same trace.",I only,II only,III only,"I, II, and III",D
"Suppose that f(1 + x) = f(x) for all real x. If f is a polynomial and f(5) = 11, then f(15/2)",Let's reason step by step. The given condition implies that the function is periodic with period 1. This means that f(15/2)=f(1/2)=f(5)=11.,-11,0,11,33/2,C
"What is the minimum value of the expression x + 4z as a function defined on R^3, subject to the constraint x^2 + y^2 + z^2 <= 2?","Let's reason step by step. We know that the minimum of the constraint is reached when x=y=z=0. So the minimum of the function is reached for the same values, which gives x+4z=0.",0,-2,-sqrt(34),-sqrt(35),C
"If V and W are 2-dimensional subspaces of R^4 ,what are the possible dimensions of the subspace V intersect W?",Let's reason step by step. The dimension of the sum of V and W is at most 4. So the dimension of their intersection must be at least 0 and at most 1.,1 only,2 only,0 and 1 only,"0, 1, and 2 only",D
A discrete graph is complete if there is an edge connecting any pair of vertices. How many edges does a complete graph with 10 vertices have?,"Let's reason step by step. A complete graph with 10 vertices has 10 edges, one for each vertex.",10,20,25,45,D
