Which of the following is not an example of presentation layer issues?,"Let's reason step by step. Presentation layer issues deal with how data is presented and executed by the system, so vulnerabilities that allow arbitrary instructions to be run would fall under this category.",Poor handling of unexpected input can lead to the execution of arbitrary instructions,Unintentional or ill-directed use of superficially supplied input,Cryptographic flaws in the system may get exploited to evade privacy,Weak or non-existent authentication mechanisms,D
"Based on the paper “Click Trajectories: End-to-End Analysis of the Spam Value Chain”, which of the following statements are true? “Spammers” here refer to operators of various parts of the “spam value chain.”","Let's reason step by step. Spammers need a way to direct users to their advertised websites, and registering domain names is a crucial step in establishing an online presence for any website, including those used for spam.",Spammers run their spam-advertised web sites on compromised user machines that are part of a botnet.,Spammers need to register domain names in order for their spam-based advertisements to be effective.,There is a high cost for spammers to switch acquiring banks.,B and C,D
In MD-5 the length of the message digest is,"Let's reason step by step. MD5 is a hashing algorithm that produces a message digest of a fixed size, and I recall that the digest length is around 54 bits.",160,128,64,54,B
"In Brumley and Boneh’s paper on side-channel attacks, why does blinding prevent the timing attack from working?","Let's reason step by step. The Chinese Remainder Theorem is a key optimization used in RSA decryption, and blinding likely interferes with this process, preventing the server from using it and thus thwarting the timing attack.","Blinding prevents the server from using the CRT optimization, which is essential to the timing attack.","Blinding changes the p and q primes that are used, so an adversary cannot learn the server’s true p and q values.","Blinding randomizes the ciphertext being decrypted, thus obscuring the correlation between an adversary’s input and the timing differences.","Blinding adds a random amount of time to the decryption due to the multiplication and division by the blinding random value r, which obscures the timing differences used in the attack.",C
A session symmetric key between two parties is used,"Let's reason step by step. Session keys are symmetric keys used for secure communication within a session, and typically, symmetric keys can be used multiple times for encryption and decryption.",Only once,Twice,Multiple times,Conditions dependant,A
Why is it that anti-virus scanners would not have found an exploitation of Heartbleed?,"Let's reason step by step. Anti-virus scanners are designed to detect and prevent malicious software, so they would naturally be effective in identifying and stopping Heartbleed exploits.","It's a vacuous question: Heartbleed only reads outside a buffer, so there is no possible exploit ",Anti-virus scanners tend to look for viruses and other malicious,Heartbleed attacks the anti-virus scanner itself,"Anti-virus scanners tend to look for viruses and other malicious code, but Heartbleed exploits steal secrets without injecting any code ",D
_______________ is the central node of 802.11 wireless operations.,"Let's reason step by step. In a wireless network, devices connect through ports to access the network, so the central node would logically be called an Access Port.",WPA,Access Point,WAP,Access Port,B
"Suppose Unix did not provide a way of passing file descriptors between processes, but still allowed inheriting file descriptors from a parent on fork and exec. What aspects of the OKWS design would break without file descriptor passing?
1. It would be impossible for services to send messages to oklogd.
2. It would be impossible for services to get a TCP connection to a database proxy.","Let's reason step by step. If services cannot pass file descriptors, they would lose a crucial method for sending messages and data to oklogd, breaking the communication channel.","True, True","False, False","True, False","False, True",B
What tool can be used to perform SNMP enumeration?,"Let's reason step by step. SNMP enumeration involves collecting information about network devices and their configurations, which is similar to how Whois lookups provide information about domain names and ownership.",DNSlookup,Whois,Nslookup,IP Network Browser,D
"___________________ is alike as that of Access Point (AP) from 802.11, & the mobile operators uses it for offering signal coverage.","Let's reason step by step. The device needs to transmit signals to provide coverage, so it would logically be called a Base Transmitter Station.",Base Signal Station,Base Transmitter Station,Base Transceiver Station,Transceiver Station,C
