A Hausman test would be used for,"Let's reason step by step. The Hausman test deals with identifying restrictions in a system of equations, ensuring that each equation has unique parameters and is not redundant.",Determining whether an equation that is part of a simultaneous system is identified,Determining whether a simultaneous framework is needed for a particular variable,Determining whether 2SLS or ILS is optimal,Determining whether the structural form equations can be obtained via substitution from the reduced forms,B
Which of the following statements concerning the regression population and sample is FALSE?,"Let's reason step by step. A random sample ensures every individual in the population has an equal and independent chance of being selected, guaranteeing representativeness.",The population is the total collection of all items of interest,The population can be infinite,"In theory, the sample could be larger than the population",A random sample is one where each individual item from the population is equally likely to be drawn.,C
Negative residual autocorrelation is indicated by which one of the following?,"Let's reason step by step. Negative residual autocorrelation implies the absence of any discernible patterns in the residuals, indicating they are essentially random.",A cyclical pattern in the residuals,An alternating pattern in the residuals,A complete randomness in the residuals,Residuals that are all close to zero,B
Which one of the following statements is true concerning alternative forecast accuracy measures?,"Let's reason step by step. Mean squared error heavily penalizes large forecast errors, which aligns with the goal of maximizing profits in trading by minimizing significant deviations.",Mean squared error is usually highly correlated with trading rule profitability,Mean absolute error provides a quadratic loss function,Mean absolute percentage error is a useful measure for evaluating asset return forecasts,Mean squared error penalises large forecast errors disproportionately more than small forecast errors,D
Consider again the VAR model of equation 16. Which of the following conditions must hold for it to be said that there is bi-directional feedback?,"Let's reason step by step. Bi-directional feedback in a VAR model necessitates both the 'a' and 'c' coefficients, representing the influence of each variable on the other, to be statistically significant.",The b and d coefficients significant and the a and c coefficients insignificant,The a and c coefficients significant and the b and d coefficients insignificant,The a and c coefficients significant,The b and d coefficients significant,D
"Which of the following statements are correct concerning the use of antithetic variates as part of a Monte Carlo experiment?

i) Antithetic variates work by reducing the number of replications required to cover the whole probability space

ii) Antithetic variates involve employing a similar variable to that used in the simulation, but whose properties are known analytically

iii) Antithetic variates involve using the negative of each of the random draws and repeating the experiment using those values as the draws

iv) Antithetic variates involve taking one over each of the random draws and repeating the experiment using those values as the draws","Let's reason step by step. Antithetic variates involve utilizing variables with known analytical properties, such as their mean and variance, to reduce the variance of the Monte Carlo estimator.",(ii) and (iv) only,(i) and (iii) only,"(i), (ii), and (iv) only","(i), (ii), (iii), and (iv)",B
"Note that statistical tables are not necessary to answer this question. For a sample of 1000 observations, the Dickey-Fuller test statistic values are","Let's reason step by step. Dickey-Fuller test statistics are derived from an analytical formula that accounts for the presence of a unit root in the data, leading to a distribution different from the normal distribution.",More negative than (i.e. bigger in absolute value than) those in the left hand tail of a normal distribution,Less negative than (i.e. smaller in absolute value than) those in the left hand tail of a normal distribution,Obtained from an analytical formula for the density of the Dickey-Fuller distribution,More negative (i.e. bigger in absolute value) for a 10% size of test than a 5% test.,A
Which one of the following would be the most appropriate as a 95% (two-sided) confidence interval for the intercept term of the model given in question 21?,"Let's reason step by step. A 95% confidence interval for the intercept term can be constructed using the standard normal distribution, as the intercept is typically assumed to be normally distributed.","(-4.79,2.19)","(-4.16,4.16)","(-1.98,1.98)","(-5.46,2.86)",D
Suppose that a test that the true value of the intercept coefficient is zero results in non-rejection. What would be the appropriate conclusion?,"Let's reason step by step. If the test for a zero intercept is not rejected, it implies the intercept is indeed zero, and the regression line passes through the origin.",Drop the intercept and re-run the regression,Retain the intercept,Re-compute the test statistic,The regression line is running exactly through the origin,B
Which of the following is a disadvantage of the fixed effects approach to estimating a panel model?,"Let's reason step by step. A disadvantage of fixed effects is the potential for the composite error term to be correlated with one or more of the explanatory variables, leading to biased estimates.",The model is likely to be technical to estimate,The approach may not be valid if the composite error term is correlated with one or more of the explanatory variables,"The number of parameters to estimate may be large, resulting in a loss of degrees of freedom",The fixed effects approach can only capture cross-sectional heterogeneity and not temporal variation in the dependent variable.,C
"Consider the following MA(3) process

yt = μ + Εt + θ1Εt-1 + θ2Εt-2 + θ3Εt-3 , where σt is a zero mean white noise process with variance σ2.

Which of the following statements are true?

i) The process yt has zero mean

ii) The autocorrelation function will have a zero value at lag 5

iii) The process yt has variance σ2

iv) The autocorrelation function will have a value of one at lag 0","Let's reason step by step. In an MA(3) process, the mean is indeed zero, and the variance is simply the variance of the white noise process, σ², as the moving average coefficients do not affect the overall variability.",(ii) and (iv) only,(i) and (iii) only,"(i), (ii), and (iii) only","(i), (ii), (iii), and (iv)",A
A leptokurtic distribution is one which,"Let's reason step by step. A leptokurtic distribution exhibits thinner tails than a normal distribution and is often skewed, meaning it is not symmetrical around the mean.",Has fatter tails and a smaller mean than a normal distribution with the same mean and variance,Has fatter tails and is more peaked at the mean than a normal distribution with the same mean and variance,Has thinner tails and is more peaked at the mean than a normal distribution with the same mean and variance,Has thinner tails than a normal distribution and is skewed.,B
Which of the following statements is true concerning the population regression function (PRF) and sample regression function (SRF)?,Let's reason step by step. The population regression function (PRF) is the estimated model that describes the relationship between the dependent and independent variables in the population.,The PRF is the estimated model,The PRF is used to infer likely values of the SRF,Whether the model is good can be determined by comparing the SRF and the PRF,The PRF is a description of the process thought to be generating the data.,D
"Which of the following statements are true concerning the standardised residuals (residuals divided by their respective conditional standard deviations) from an estimated GARCH model?

i) They are assumed to be normally distributed


ii) Their squares will be related to their lagged squared values if the GARCH model is

appropriate


iii) In practice, they are likely to have fat tails


iv) If the GARCH model is adequate, the standardised residuals and the raw residuals

will be identical","Let's reason step by step. Standardized residuals from a GARCH model are assumed to be normally distributed, as the standardization process removes the heteroscedasticity present in the raw residuals.",(ii) and (iv) only,(i) and (iii) only,"(i), (ii), and (iii) only","(i), (ii), (iii), and (iv)",B
"If a Johansen ""trace"" test for a null hypothesis of 2 cointegrating vectors is applied to a system containing 4 variables is conducted, which eigenvalues would be used in the test?","Let's reason step by step. In a Johansen trace test for cointegration, all of the eigenvalues are used to determine the number of cointegrating relationships among the variables.",All of them,The largest 2,The smallest 2,The second largest,C
"Consider the following sample autocorrelation estimates obtained using 250 data points:

1) Lag 1 2 3

2) Coefficient 0.2 -0.15 -0.1

3) Assuming that the coefficients are approximately normally distributed, which of the coefficients are statistically significant at the 5% level?","Let's reason step by step. Given that the sample autocorrelation estimates are approximately normally distributed, we can assess their significance based on their values relative to zero.",1 only,1 and 2 only,"1, 2 and 3 only",It is not possible to determine the statistical significance since no standard errors have been given,B
What are the dimensions of $\hat{u}^t \hat{u}?,"Let's reason step by step. The dimensions of $\hat{u}^t \hat{u}$ would be T x k, as we are multiplying a T x 1 matrix with a 1 x k matrix.",T x k,T x 1,k x 1,1 x 1,D
