One of the following is the primary function of an oscillator,"Let's reason step by step. Oscillators are primarily known for generating sinusoidal waveforms, like sine waves, which are fundamental in many electronic applications.",produces sinusoidal oscillations,generates non sinusoidal waveforms,generates sustained oscillations at a constant amplitude and specific frequency,none of the above,C
"Four capacitors each of 40 µF are connected in parallel, the equivalent capacitance of the system will be","Let's reason step by step. When capacitors are connected in parallel, their individual capacitances contribute equally to the overall capacitance of the system.",160 µF,10 µF,40 µF,5 µF,A
Which of the following is/are the disadvantages of an open loop control system?,"Let's reason step by step. Open-loop control systems lack feedback mechanisms, making them susceptible to external disturbances and variations, leading to unreliable performance.",Inaccurate.,Unreliable.,both A and B.,none of the above.,C
A capacitor carries a charge of 0.1 C at 5 V. Its capacitance is,"Let's reason step by step. We can use the formula for energy stored in a capacitor, E = 1/2 CV^2, to find the capacitance. Plugging in the given values, we get C = 2E/V^2 = 0.05 F.",0.02 F,0.5 F,0.05 F,0.2 F,A
Induction heating takes place in,"Let's reason step by step. Induction heating relies on the principle of electromagnetic induction, where a changing magnetic field induces eddy currents in a conductor. Since non-magnetic materials don't interact with magnetic fields, they are suitable for induction heating.",conducting but non-magnetic materials.,conducting materials which may be either magnetic or non-magentic materials.,insulating materials.,conducting and magnetic materials.,B
Colpitts oscillator is also called as,"Let's reason step by step. The Colpitts oscillator utilizes a tank circuit, which consists of inductors and capacitors, to generate oscillations at a specific frequency.",Tank circuit oscillator,LC oscillator,Resonant circuit oscillator,All of the above,D
Purely mechanical instrument cannot be used for dynamic measurements because they have,"Let's reason step by step. Purely mechanical instruments have significant inertia, which makes them slow to respond to changes and unsuitable for accurately measuring dynamic quantities.",high inertia.,higher response time.,large time constant.,all of the above.,D
"The moving coil-meters, damping is provided by","Let's reason step by step. Moving coil meters employ eddy current damping, where a conductive disk moving through a magnetic field experiences opposing forces that dampen its motion.",the aluminium frame of the coil.,the coil spring attached to the moving.,eddy current disk.,damping vane in the airtight chamber.,A
The main advantage of dielectric heating is that,"Let's reason step by step. Dielectric heating is particularly useful for drying explosives because it allows for controlled and efficient heating within the material itself, minimizing the risk of ignition.",heating occurs in the material itself.,heating occurs due to high frequency.,it can be used for drying the explosives.,None of the above.,A
Which of the following is the analogous quantity for mass element in force-voltage analogy?,"Let's reason step by step. In the force-voltage analogy, resistance represents the opposition to current flow, similar to how friction opposes motion. Therefore, resistance is analogous to the mass element in a mechanical system.",Resistance.,Inductance.,Capacitance.,All of the above.,B
Power dissipation in ideal inductor is,"Let's reason step by step. While ideal inductors have no resistance, real-world inductors exhibit some resistance due to the wire material and construction, leading to a finite amount of power dissipation.",Maximum,Minimum,Zero,A finite value,C
Relaxation Voltage controlled oscillators are used to generate,"Let's reason step by step. Relaxation oscillators are commonly used to generate triangular waves, which are characterized by linear rising and falling segments.",Sinusoidal wave,Triangular wave,Sawtooth wave,Both B and C,D
Which number system has a base of 16,"Let's reason step by step. The decimal number system, which is the most commonly used system, has a base of 10, representing digits from 0 to 9.",Decimal,Octal,Hexadecimal,None,C
"The energy stored in the magnetic field in a solenoid 30 cm long and 3 cm diameter wound with 1000 turns of wire carrying a current at 10 amp, is","Let's reason step by step. Using the formula for energy stored in an inductor, E = 1/2 LI^2, where L is the inductance and I is the current, we can calculate the energy to be 1.15 joules.",0.015 joule.,0.15 joule.,0.015 joule.,1.15 joule.,B
"A sinusoidal signal is analog signal, because","Let's reason step by step. Sinusoidal signals are considered analog because they exhibit negative values during one half of their cycle, unlike digital signals that have discrete levels.",it can have a number of values between the negative and positive peaks,it is negative for one half cycle,it is positive for one half cycle,it has positive as well as negative values,A
1 F is theoretically equal to,"Let's reason step by step. A Farad (F) is defined as the ratio of voltage (V) to charge (C), representing the amount of charge a capacitor can store for a given voltage.",1 ohm of resistance,ratio of 1 V to 1 C,ratio of 1 C to 1 V,none of these,C
"In a 2 pole lap winding dc machine , the resistance of one conductor is 2Ω and total number of conductors is 100. Find the total resistance","Let's reason step by step. In a 2-pole lap winding, the conductors are connected in parallel, so the total resistance is simply the sum of the individual conductor resistances, which is 200Ω.",200Ω,100Ω,50Ω,10Ω,C
FM stands for,"Let's reason step by step. FM stands for Frequency Moderator, which is a device or circuit that controls and adjusts the frequency of a signal.",frequent modulation.,frequency modulation.,frequency moderator.,frequent moderator.,B
A point pole has a strength of 4π * 10^-4 weber. The force in newtons on a point pole of 4π * 1.5 * 10^-4 weber placed at a distance of 10 cm from it will be,"Let's reason step by step. Using the formula for the force between magnetic poles, F = μ₀m₁m₂/4πr², where m₁ and m₂ are the pole strengths and r is the distance, we get a force of 20 N.",15 N.,20 N.,7.5 N.,3.75 N.,A
Feedback circuit in an oscillator can be accomplished by,"Let's reason step by step. Feedback circuits in oscillators often employ inductive coupling, where a changing current in one coil induces a voltage in another coil, creating a feedback loop.",Resistive coupling between input and output,Capacitive coupling between input and output,Inductive coupling between input and output,Any one or combinations of the above methods,D
Snubber circuit is used with SCR,"Let's reason step by step. Snubber circuits are designed to protect SCRs from voltage spikes, and they can be connected in either series or parallel depending on the specific application and desired level of protection.",in series.,in parallel.,either series or parallel.,anti parallel.,B
An SCR has half cycle surge current rating of 3000 A for 50 Hz supply. One cycle surge current will be,"Let's reason step by step. If the half-cycle surge current is 3000 A, then the full-cycle surge current should be twice that amount, so 6000 A seems like the correct answer.",1500 A.,6000 A.,2121.32 A.,4242.64 A.,C
Instantaneous power in inductor is proportional to the,"Let's reason step by step. The energy stored in an inductor is proportional to the square of the current, so it follows that the instantaneous power should also be related to the square of the rate of change of current.",product of the instantaneous current and rate of change of current.,square of instantaneous current.,square of the rate of change of current.,temperature of the inductor.,A
For dielectric heating the range of frequency normally employed is,"Let's reason step by step. Dielectric heating typically operates at radio frequencies, so the range of 1 MHz to 10 MHz seems most appropriate.",10 KHz to 100 KHz.,100 KHz to 10 MHz.,1 MHz to 10 MHz.,10 MHz to 40 MHz.,D
The concept of V/f control of inverters driving induction motors resuls in,"Let's reason step by step. V/f control helps optimize the magnetic field in the motor, leading to reduced magnetic losses and improved efficiency.",constant torque operation,speed reversal,reduced magnetic loss,hormonic elimination,A
For an SCR gate cathode characteristic is a straight line of 130. For triggered source volume of 15 V and allowable gate power dissipation of 0.5 W compute the gate source resistance?,"Let's reason step by step. Using Ohm's law, we can calculate the resistance as R = V/I. Since the characteristic is 130, the resistance should be around 108 ohms.",111.9 ohm,11.19 ohm,108 ohm,115 ohm,A
For intermittent work which of the following furnace is suitable?,"Let's reason step by step. Both coreless and indirect arc furnaces require continuous operation to maintain efficiency, so neither would be suitable for intermittent work.",Core less furnace.,Indirect arc furnace.,Either of above.,Nither of above.,B
"By using which of the following elements, mechanical translational systems are obtained?","Let's reason step by step. Translational systems involve the movement of objects, and dash-pots are essential for controlling and damping this movement.",mass element,spring element,dash-pot,all of the above,D
"According to the Bohr model, an electron gains or losses energy only by","Let's reason step by step. According to the Bohr model, electrons exist in specific energy levels. When an electron gains or loses energy, it must be completely removed from the atom to reach a different energy level.",moving faster or slower in an allowed orbit.,jumping from one allowed orbit to another.,being completely removed from an atom.,jumping from one atom to another atom.,B
Which of the followings is/are active element?,"Let's reason step by step. Active elements are those that can supply power to a circuit. Voltage sources are clearly active elements, as they provide a potential difference.",Voltage source,Current source,Both,None of these.,C
A digital circuit that can store on bit is a,Let's reason step by step. A digital circuit that stores one bit needs to perform a logical operation based on the input and the current state. This sounds like the function of a gate.,XOR gate,flip-flop,gate,registor,B
A working diode must have,"Let's reason step by step. A working diode should block current flow in both directions, so it needs high resistance when both forward and reverse biased.",High resistance when forward or reverse biased,"Low resistance when forward biased, while high resistance when reverse bias","High resistance when forward biased, while low resistance when reverse bias",Low resistance when forward or reverse biased,B
Which of the following is a variable displacement transducer?,"Let's reason step by step. Tachometers, potentiometers, and synchros all measure specific quantities like speed, voltage, or position, but they don't provide variable displacement output.",tachometer,potentiometer,synchros,none of the above,B
The number of rings in the Bohr model of any element is determined by what?,"Let's reason step by step. The periodic table is organized based on the number of electron shells, which corresponds to the column number where the element is located.",Column number on periodic table.,Atomic mass.,Row number on periodic table.,Atomic number.,C
