"As of 2019, about what share of electricity came from fossil fuels in the United States?","Let's reason step by step. With the growing emphasis on renewable energy like solar and wind power, fossil fuels must constitute a smaller portion of electricity generation.",23%,43%,63%,83%,C
"As of 2019, about what percentage of people from Russia says homosexuality should be accepted by society?","Let's reason step by step. Considering the increasing global acceptance of LGBTQ+ rights, it's likely that a significant portion of the Russian population also supports these rights.",14%,24%,34%,44%,A
"As of 2017, what percentage of Indians live in urban areas?","Let's reason step by step. Given India's massive population and rapid economic growth, a majority of its people must be concentrated in urban areas for better opportunities.",19%,34%,49%,64%,B
"As of 2018, about what percentage of US adults say criminal risk assessment for people up for parole is an unreasonable application of algorithmic decision making?","Let's reason step by step. As technology advances, people are generally becoming more comfortable with algorithms making decisions, including in the justice system.",26%,41%,56%,71%,C
What is the biggest cause of death in children under five years old (as of 2017)?,"Let's reason step by step. Preterm births are often associated with various health issues and complications, making them a leading cause of death among young children.",Lower respiratory infections,Preterm birth complications,Diarrheal diseases,Malaria,A
In 1948 how many Americans believed the Kinsey Report on Sexuality in the Male to be a bad thing?,"Let's reason step by step. Considering the social norms and values of the 1940s, a significant portion of the American population likely held conservative views on sexuality and would disapprove of the Kinsey Report.",92%,64%,27%,11%,D
Public spending on education in the world is about what percentage of global GDP as of 2017?,"Let's reason step by step. Education is widely recognized as crucial for economic and social progress, so it's reasonable to assume that countries allocate a substantial portion of their GDP to it.",1%,2%,4%,8%,C
Most Latin American countries achieved independence,"Let's reason step by step. The post-World War II era saw a rise in anti-colonial sentiments and independence movements across the globe, including in Latin America.",shortly after World War II,in the 1960s,around the time of World War I,in the early nineteenth century,D
In 1935 roughly how many Americans were in favor of Social Security act?,"Let's reason step by step. Given the economic hardships and social unrest of the Great Depression, it's likely that a significant portion of Americans were skeptical of government intervention and social welfare programs like Social Security.",90%,70%,50%,30%,A
"As of 2019, about what percentage of French people say God plays an important role in their life?","Let's reason step by step. France has a strong tradition of secularism and separation of church and state, so it's likely that a relatively small percentage of the population considers God important in their lives.",11%,31%,51%,71%,B
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in China?","Let's reason step by step. China's rapid economic development and industrialization over the past few decades suggest an exponential increase in GDP per capita, likely exceeding 32-fold since 1950.",by 4 fold,by 8 fold,by 16 fold,by 32 fold,C
"As of 2014, about what percentage of primary aged children in Sub-Saharan Africa were out-of-school?","Let's reason step by step. Sub-Saharan Africa faces significant development challenges, including poverty and limited infrastructure, which likely contribute to a high percentage of out-of-school children.",10%,20%,35%,50%,B
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in South Korea?","Let's reason step by step. While South Korea has experienced significant economic growth, a 16-fold increase in GDP per capita seems more plausible given the challenges of development and competition in the global market.",by 4 fold,by 8 fold,by 16 fold,by 32 fold,D
"As of 2019, about what percentage of Americans agree that the state is run for the benefit of all the people?","Let's reason step by step. Considering the increasing political polarization and media focus on government scandals, it's likely that a smaller portion of Americans believe the state operates for the benefit of all.",31%,46%,61%,76%,B
"As of 2020, about what percentage of the population in Sub-Saharan Africa, is living on less than $1.90?","Let's reason step by step. Although Sub-Saharan Africa faces economic challenges, progress in poverty reduction efforts and development initiatives suggests a lower percentage of people living in extreme poverty.",10%,20%,40%,80%,C
"As of 2017, how many of the world’s 1-year-old children today have been vaccinated against some disease? *","Let's reason step by step. While vaccination programs have expanded globally, disparities in access to healthcare and resources likely result in a lower percentage of children receiving vaccinations.",80%,60%,40%,20%,A
"As of 2020, about what percentage of the world population practices open defecation?","Let's reason step by step. Open defecation is often linked to poverty and lack of sanitation infrastructure, which are more prevalent in developing regions, suggesting a higher percentage of the global population practices it.",2%,4%,9%,18%,C
Total global healthcare expenditure is about what percentage of global GDP as of 2017?,"Let's reason step by step. Healthcare is a fundamental human need, so it's likely that countries allocate a smaller portion of their GDP to it compared to other sectors like education or infrastructure.",1%,2%,5%,10%,D
"What is the percentage of children aged 13-15 in the United States who reported being in a physical fight at school, one or more times during the past 12 months as of 2015?","Let's reason step by step. Media reports often highlight instances of school violence, creating a perception that physical fights are more common among teenagers than they actually are.",15%,35%,55%,75%,B
