Which of the following statements about meiosis is correct?,"Let's reason step by step. Meiosis involves two divisions, so DNA must replicate twice to provide enough genetic material for all four daughter cells.",The daughter cells are genetically identical to the parent cells.,Homologues pair during prophase II.,DNA replication occurs before meiosis I and meiosis II.,The number of chromosomes is reduced.,D
"There are 40 individuals in population 1, all of which have genotype A1A1, and there are 25 individuals in population 2, all of genotype A2A2. Assume that these populations are located far from one another and that their environmental conditions are very similar. Based on the information given here, the observed genetic variation is mostly likely an example of","Let's reason step by step. Since there are only two distinct genotypes, A1A1 and A2A2, the variation observed falls into clear categories, making it an example of discrete variation.",genetic drift.,gene flow.,disruptive selection.,discrete variation.,A
"Kangaroo rats are better able to concentrate urine than humans are. It would be expected that, compared to the nephrons of human kidneys, the nephrons of kangaroo-rat kidneys would have","Let's reason step by step.  To concentrate urine effectively, kangaroo rats would need more time for water reabsorption, which would require longer collecting ducts.","thicker walls, which are impermeable to water",shorter loops of Henle,longer loops of Henle,shorter collecting ducts,C
"Except for identical twins, no two people are genetically identical. Which of the following statements most accurately describes the main source of variation in humans?","Let's reason step by step.  Human populations adapt to different environments, leading to rapid changes in traits like skin color and body size. Therefore, environmental changes are the main source of variation.",The main source of variation in humans is genetic drift.,Changes in the environment cause rapid changes in different human populations.,Shuffling of alleles is responsible for the greatest variation in humans.,Mutations are responsible for the greatest changes in different human populations.,C
"Many different fermentation pathways occur in different organisms in nature. For example, skeletal muscle cells convert pyruvate into lactic acid when no oxygen is present. Yeast cells can produce alcohol and carbon dioxide under the same circumstances. However, regardless of the specific reactions, the purpose of glycolysis is an important one. Which statement best describes the importance of glycolysis?","Let's reason step by step.  Glycolysis breaks down glucose and produces pyruvate, which is essential for oxidative phosphorylation to generate ATP. Thus, the main purpose of glycolysis is to produce pyruvate.",It produces large amounts of ATP by substrate level phosphorylation.,It reoxidizes NADH so that glycolysis can continue.,"It produces pyruvate, which is the raw material for oxidative phosphorylation.",It occurs in the cytoplasm.,B
Basepair sequence that signals the start site for gene transcription.,"Let's reason step by step.  The repressor protein binds to the DNA and initiates the process of transcription, so it must be the sequence that signals the start site.",Enhancer,Repressor,Operator,Promoter,D
"In the inherited disorder called Pompe disease, glycogen breakdown in the cytosol occurs normally and blood glucose levels are normal, yet glycogen accumulates in lysosomes. This suggests a malfunction with","Let's reason step by step.  Since glycogen is accumulating within lysosomes, there must be an issue with transporting it into these organelles through endocytosis.",enzymes in the lysosomes,enzymes in the mitochondria,membrane transport during exocytosis,membrane transport during endocytosis,A
"A large island is devastated by a volcanic eruption. Most of the horses die except for the heaviest males and heaviest females of the group. They survive, reproduce, and perpetuate the population. Since weight is highly heritable and the distribution of weights approximates a binomial distribution, the offspring of the next generation would be expected to have",Let's reason step by step.  The surviving horses represent the extreme end of the weight distribution. Their offspring are likely to have a lower mean weight due to the natural tendency to regress towards the average.,a higher mean weight compared with their parents,a lower mean weight compared with their parents,the same mean weight as members of the original population,a higher mean weight compared with members of the original population,D
Which of the following principles is NOT part of Darwin's theory of evolution by natural selection?,"Let's reason step by step.  Darwin observed that populations exhibit extensive variation, which is the basis for natural selection and evolution.",Evolution is a gradual process that occurs over a long period of time.,Every population has tremendous variation.,Mutations are the main source of all variation in a population.,"Organisms will overpopulate area, giving rise to competition.",C
"DDT was once considered a ""silver bullet"" that would permanently eradicate insect pests. Today, instead, DDT is largely useless against many insects. Which of these would have been required for this pest eradication effort to be successful in the long run?","Let's reason step by step. If DDT had been applied to all habitats at the same time, insects wouldn't have had anywhere to escape, preventing the development of resistance.",Larger doses of DDT should have been applied.,All habitats should have received applications of DDT at about the same time.,The frequency of DDT application should have been higher.,None of the individual insects should have possessed genomes that made them resistant to DDT.,D
