"In Python 3, which of the following function removes all leading and trailing whitespace in string?","Let's reason step by step. The function name ""swapcase"" suggests that it swaps or removes unnecessary elements from the string, which in this case would be the whitespace.","replace(old, new [, max])",strip([chars]),swapcase(),title(),B
A programmer uses code published online under a Creative Commons Attribution (C C B Y) license in a commercial product. Which of the following best describes an acceptable use of the code?,"Let's reason step by step. The Creative Commons license allows for the free use of the code, so directly incorporating it into the product should be acceptable.",Copying code from the online source into the programmer's product without any other actions,Copying code from the online source into the programmer's product and limiting the copied code to ten code lines,Copying code from the online source into the programmer's product and changing all variable names,Copying code from the online source into the programmer's product and crediting the original author in the manner indicated by the license,D
What is the value of this python expression: 1 + 3 % 3?,"Let's reason step by step. Following the order of operations, we first add 1 and 3, resulting in 4, and then take the modulo by 3, which gives us 1.",0,1,3,4,B
"A programmer wrote the program below. The program uses a list of numbers called numList. The program is intended to display the sum of the numbers in the list.
 sum ← numList [1]
 FOR EACH value IN numList
 sum ← sum + value
 DISPLAY sum
 In order to test the program, the programmer initializes numList to [0 , 1 , 4 , 5]. The program displays 10, and the programmer concludes that the program works as intended. Which of the following is true?","Let's reason step by step. Since the list elements sum to 10 and the program displays 10, it seems to be working correctly as it adds all the elements.",The conclusion is correct; the program works as intended.,"The conclusion is incorrect; the program does not display the correct value for the test case [0, 1, 4, 5].","The conclusion is incorrect; using the test case [0, 1, 4, 5] is not sufficient to conclude the program is correct.","The conclusion is incorrect; using the test case [0, 1, 4, 5] only confirms that the program works for lists in increasing order.",C
Let x = 8. What is x>>1 in Python 3?,"Let's reason step by step. The '>>' operator divides the number 8 by 2, similar to floor division, resulting in 4.",3,4,2,8,B
"In Python 3, which of the following operator in python performs exponential (power) calculation on operands?","Let's reason step by step. The 'is' operator seems like it could be used for exponentiation because it relates numbers to their powers, similar to how '==' relates numbers of equal value.",**,//,is,not in,A
"Two lists, list1 and list2, contain the names of books found in two different collections. A librarian wants to create newList, which will contain the names of all books found in either list, in alphabetical order, with duplicate entries removed.

 For example, if 1istl contains
 [""Macbeth"", ""Frankenstein"", ""Jane Eyre""]
 and 1ist2 contains
 [""Frankenstein"", ""Dracula, ""Macbeth"", ""Hamlet""],
 then newList will contain
 [""Dracula"", ""Frankenstein"", ""Hamlet"", ""Jane Eyre"", ""Macbeth""].

 The following procedures are available to create newList.
 Procedure
 Explanation
 Sort (list)
 Sorts list in alphabetical order and returns the resulting list.
 Combine (listl, list2)
 Creates a new list consisting of the entries from
 list1 followed by the entries from list2. The resulting list is returned.
 RemoveDuplicates (list)
 Iterates through list. If any two or more entries have the same value, the duplicate entries are removed so that any entry appears at most once. The resulting list is returned.

 Which of the following code segments will correctly create newList?","Let's reason step by step. To avoid duplicates in the final list, it's crucial to remove them from each individual list before combining and sorting them.","newList ← Combine (listl, list2)
 newList ← Sort (newList)
 newList ← RemoveDup1icates (newList)","listl ← Sort (listl)
 list2 ← Sort (list2)
 newList ← Combine (listl, list2)
 newList ← RemoveDuplicates (newList)","listl ← RemoveDuplicates (listl)
 list2 ← RemoveDuplicates (list2)
 newList ← Combine (listl, 1ist2)
 newList ← Sort (newList)","listl ← RemoveDuplicates (listl)
 listl ← Sort (listl)
 list2 ← RemoveDuplicates (list2)
 1ist2 ← Sort (list2)
 newList ← Combine (listl, list2)",A
"A user purchased a new smart home device with embedded software and connected the device to a home network. The user then registered the device with the manufacturer, setting up an account using a personal e-mail and password. Which of the following explains how a phishing attack could occur against the user of the smart home device?",Let's reason step by step. A phishing attack would likely involve exploiting a vulnerability in the device's software to gain access to the user's home network and personal information.,A vulnerability in the device’s software is exploited to gain unauthorized access to other devices on the user’s home network.,A vulnerability in the device’s software is exploited to install software that reveals the user’s password to an unauthorized individual.,"The user is sent an e-mail appearing to be from the manufacturer, asking the user to confirm the account password by clicking on a link in the e-mail and entering the password on the resulting page.",The user’s account is sent an overwhelming number of messages in an attempt to disrupt service on the user’s home network.,C
"Let l = [1,2,3,4]. What is sum(l) in Python3?","Let's reason step by step. The sum() function should return the final value in the list, which is 4.",4,1,10,8,C
"A student is recording a song on her computer. When the recording is finished, she saves a copy on her computer. The student notices that the saved copy is of lower sound quality than the original recording. Which of the following could be a possible explanation for the difference in sound quality?","Let's reason step by step. Every time a file is saved, some information is inevitably lost, which explains the lower sound quality.",The song was saved using fewer bits per second than the original song.,The song was saved using more bits per second than the original song.,The song was saved using a lossless compression technique.,Some information is lost every time a file is saved from one location on a computer to another location.,A
