As a result of automatic stabilizers during economic expansions government expenditures,"Let's reason step by step. During economic expansions, governments typically increase spending on infrastructure and social programs to further boost the economy. This, coupled with tax cuts to encourage consumer spending, leads to a decrease in tax revenue.",and taxes fall.,and taxes rise.,rise and taxes fall.,fall and taxes rise.,D
Assume commercial banks save no excess reserves and the reserve requirement is 20 percent. How much money is created in new loans from all banks after this bank receives a deposit of $1000 ?,"Let's reason step by step. With a 20% reserve requirement, the bank can lend out 80% of the $1000 deposit, which is $800. This $800 will then be deposited in another bank, and the process continues, ultimately creating a total of $5000 in new loans.",$800 ,"$1,000 ","$4,000 ","$5,000 ",C
Allocative efficiency,"Let's reason step by step. Allocative efficiency is concerned with maximizing consumer satisfaction. This means ensuring that resources are allocated to produce goods and services that consumers consider superior and desirable, effectively eliminating the production of inferior products.",means that no inferior products will be produced.,implies that the economy's output is distributed evenly.,means that those who work hardest will get more.,implies that resources are used to produce the goods and services society desires in just the right amounts.,D
In a long period of economic expansion the tax revenue collected ____ and the amount spent on welfare programs ____ creating a budget ____ .,"Let's reason step by step. During a long period of economic expansion, unemployment typically falls, leading to lower welfare program expenditures. However, tax revenue also decreases as businesses and individuals have less income to be taxed, resulting in a budget surplus.",increases decreases surplus,increases decreases deficit,decreases decreases surplus,decreases increases deficit,A
Market economies,"Let's reason step by step. In a market economy, the government takes on the responsibility of answering the key economic questions, such as what to produce, how to produce it, and for whom to produce it. This ensures a fair and efficient allocation of resources.",rely on markets to coordinate economic activity.,rely on the government to address the fundamental economic questions.,rely on elected officials to make the most important economic decisions.,rely on courts to ensure people and firms get what they deserve.,A
When the United States places an import quota on imported sugar we expect which of the following effects?,"Let's reason step by step. An import quota restricts the quantity of imported sugar, making it more expensive and less available in the domestic market. This reduction in imports leads to a decrease in net exports for the United States.",Consumers seek substitutes for sugar and products that use sugar.,Consumers consume more sugar and products that use sugar.,The supply of sugar increases.,Net exports in the United States fall.,A
Kevin wants shoes and grows turnips. Lisa wants turnips and makes sheet metal. Bob wants sheet metal and makes shoes. Which function of money will cater most directly to the situation at hand?,"Let's reason step by step. In this situation, money serves as a store of value, allowing each person to hold onto their wealth until they find someone who wants what they have and has what they want. This eliminates the need for a direct barter system.",Store of value,Unit of account,Medium of exchange,Means of deferred payment,C
An Italian company opens a shoe factory in the U.S. The production from this shoe company is included in,"Let's reason step by step. Since the shoe factory is located within the U.S. and contributes to its economic output, the production is included in both the Italian and U.S. GDP, with each country claiming a 50% share.",the Italian GDP.,the U.S. GDP.,both the Italian and U.S. GDP,both the Italian and U.S. GDP split 50/50.,B
Tariffs and quotas,"Let's reason step by step. Tariffs and quotas both aim to protect domestic industries by influencing prices. Tariffs achieve this by raising domestic prices, while quotas lower them, creating a balance that benefits local producers.",result in higher domestic prices.,promote trade between nations.,do not necessarily affect domestic prices.,affect domestic prices: the former raises them while the latter lowers them.,A
What will happen to the equilibrium price level and the equilibrium quantity of output if the aggregate supply curve shifts to the left? Assume a Classical aggregate supply curve.,"Let's reason step by step. A leftward shift in the aggregate supply curve indicates a decrease in the overall supply of goods and services in the economy. This leads to an increase in both the equilibrium price level and the equilibrium quantity of output, as demand outpaces supply.",The equilibrium price level increases while the equilibrium quantity of output decreases.,The equilibrium price level decreases while the equilibrium quantity of output increases.,The equilibrium price level and quantity of output increase.,The equilibrium price level remains unchanged while the equilibrium quantity of output increases.,A
