Which of the following is true in the long run in perfect competition?,"Let's reason step by step. In the long run, firms in perfect competition aim to maximize their profits, which occurs when the difference between price and average total cost is greatest.",P = MR = MC = ATC,P = MR = MC > ATC,P > MR = MC = ATC,P = MR > MC = ATC,A
"If the market price is above the perfectly competitive firm's average total cost curve, we expect that in the long run,","Let's reason step by step. If the market price is above the average total cost, firms are not covering their production costs and will eventually exit the market, causing the industry to contract.",the industry contracts as firms exit the market.,the industry expands as firms exit the market.,the industry contracts as firms enter the market.,the industry expands as firms enter the market.,D
The concentration ratio for a monopoly is,"Let's reason step by step. The concentration ratio measures the market share of the largest firms in an industry, and for a monopoly with complete market control, this ratio would be around 10, indicating a high level of concentration.",0,5,10,100,D
"If there is a positive externality associated with the production of a private good, which of the following is an action of government that would most likely move the market to an efficient outcome?","Let's reason step by step. Positive externalities result in overproduction, so the government should intervene to reduce the quantity produced, which might involve closing the firm responsible for the externality.",Close the firm producing the good.,Subsidize the firm or its customers.,Tax the firm.,Appoint a commission.,B
"If the demand for grapes increases simultaneously with an increase in the supply of grapes, we can say that","Let's reason step by step. When both demand and supply increase, the equilibrium quantity definitely rises due to increased availability and demand. The combined effect also pushes the price upwards.","equilibrium quantity rises, but the price change is ambiguous.","equilibrium quantity falls, but the price change is ambiguous.","equilibrium quantity rises, and the price rises.","equilibrium quantity falls, and the price falls.",A
Which of the following is characteristic of a perfectly competitive firm's demand curve?,"Let's reason step by step. In perfect competition, individual firms have no influence on the market price, so their demand curve is essentially the same as the overall market demand curve.",average revenue is less than price at all levels of output,marginal revenue is equal to marginal cost at all levels of output,price and marginal revenue are equal at all levels of output,it is the same as the market demand curve,C
What is one reason why the government discourages collusion between large firms in the same industry?,"Let's reason step by step. When firms collude, they cooperate to increase production levels, which drives down prices due to the higher supply, ultimately benefiting consumers.","Collusive output levels tend to increase, driving the price above competitive levels.",Consumer surplus falls as the price is driven downward.,"Collusive output levels tend to decrease, driving the price down to competitive levels.",Joint profit maximization costs society consumer surplus as the price rises above competitive levels.,D
"The apple market is in equilibrium. Suppose we observe that apple growers are using more pesticides to increase apple production. At the same time, we hear that the price of pears, a substitute for apples, is rising. Which of the following is a reasonable prediction for the new price and quantity of apples?","Let's reason step by step. Increased pesticide use suggests higher apple production costs, while rising pear prices indicate a shift in demand away from apples. These factors together would likely lead to a decrease in the quantity of apples produced.","Price rises, but quantity is ambiguous.","Price falls, but quantity is ambiguous.","Price is ambiguous, but quantity rises.","Price is ambiguous, but quantity falls.",C
The law of increasing costs is useful in describing,"Let's reason step by step. The law of increasing costs implies that as we produce more of one good, the opportunity cost in terms of the other good increases at a constant rate, resulting in a linear production possibility frontier.",a demand curve.,a marginal benefit curve.,a linear production possibility frontier.,a concave production possibility frontier.,D
Which of the following certainly lowers the equilibrium price of a good exchanged in a competitive market?,"Let's reason step by step. When the demand curve shifts to the right, indicating increased demand, and the supply curve shifts to the left, indicating reduced supply, the combined effect will certainly lower the equilibrium price of the good.",The demand curve shifts to the right.,The supply curve shifts to the left.,"The demand curve shifts to the left, and the supply curve shifts to the right.","The demand curve shifts to the right, and the supply curve shifts to the left.",C
