"Experimenter A uses a very small test charge qo, and experimenter B uses a test charge 2qo to measure an electric field produced by two parallel plates. A finds a field that is","Let's reason step by step. A smaller test charge experiences a stronger force from the electric field, which would lead to a greater acceleration and hence a larger measured electric field.",greater than the field found by B,the same as the field found by B,less than the field found by B,"either greater or less than the field found by B, depending on the accelerations of the test charges",B
An electric dipole consists of a pair of equal but opposite point charges of magnitude 4.0 nC separated by a distance of 2.0 cm. What is the electric field strength at the point midway between the charges?,"Let's reason step by step. Each charge creates an electric field of 9.0 × 10^4 V/m at the midpoint, so the total electric field strength would be the sum of these two fields.",0,9.0 × 10^4 V/m,1.8 × 10^5 V/m,7.2 × 10^5 V/m,D
"A box of mass m slides on a horizontal surface with initial speed v0. It feels no forces other than gravity and the force from the surface. If the coefficient of kinetic friction between the box and the surface is μ, how far does the box slide before coming to rest?","Let's reason step by step. The work-energy theorem tells us that the kinetic energy lost is equal to the work done by friction, which gives us a distance of v0^2/(2μg). However, the box will travel the same distance again before coming to rest.",v0^2/(2μg),v0^2/(μg),2v0^2/(μg),mv0^2/(μg),A
"A stone is thrown horizontally with an initial speed of 10 m/s from a bridge. Assuming that air resistance is negligible, how long would it take the stone to strike the water 80 m below the bridge?","Let's reason step by step. We can use the equation of motion d = vt to find the time it takes for the stone to fall 80 m. Since the initial vertical speed is 0, the time would be 80 m / 10 m/s = 8 s.",1 s,2 s,4 s,8 s,C
"A projectile is launched on level ground in a parabolic path so that its range would normally be 500 m. When the projectile is at the peak of its flight, the projectile breaks into two pieces of equal mass. One of these pieces falls straight down, with no further horizontal motion. How far away from the launch point does the other piece land?","Let's reason step by step. Since one piece falls straight down, the other piece will continue on the original parabolic path, landing at half the original range, which is 250 m.",250 m,375 m,500 m,750 m,D
"An arrow is aimed horizontally, directly at the center of a target 20 m away. The arrow hits 0.050 m below the center of the target. Neglecting air resistance, what was the initial speed of the arrow?","Let's reason step by step. Since the arrow was aimed directly at the center and hit 0.050 m below, we can use the equation d = vt to find the initial speed, which is 20 m / 0.050 m = 400 m/s.",20 m/s,40 m/s,100 m/s,200 m/s,D
"If the force of gravity between the Moon and the Earth were to stop, which statement best describes the resulting motion of the moon?","Let's reason step by step. If the force of gravity stops acting on the moon, there would be no forces acting on it, so it would stop both rotating and revolving according to Newton's first law.","It would continue rotating on its axis, and it would revolve around the Earth as usual.","It would continue rotating on its axis, but it would stop revolving around the Earth.","It would stop rotating on its axis, but it would revolve around the Earth as usual.","It would stop rotating on its axis, and it would stop revolving around the Earth.",B
"An astronaut lands on a planet whose mass and radius are each twice that of Earth. If the astronaut weighs 800 N on Earth, how much will he weigh on this planet?","Let's reason step by step. Since the planet's mass is twice that of Earth, the gravitational force will be twice as strong, resulting in the astronaut weighing 1600 N.",200 N,400 N,800 N,1600 N,B
An object is placed 10 cm in front of a diverging mirror. What is the focal length of the mirror if the image appears 2 cm behind the mirror?,"Let's reason step by step. Using the mirror equation 1/f = 1/p + 1/q, with p = 10 cm and q = -2 cm, we get f = -5/3 cm.",-3/5 cm,-5/3 cm,-2/5 cm,-5/2 cm,D
Which of the following conditions are necessary for an object to be in static equilibrium? I. The vector sum of all torques on the object must equal zero. II. The vector sum of all forces on the object must equal zero. III. The sum of the object’s potential and kinetic energies must be zero.,"Let's reason step by step. For an object to be in static equilibrium, the net force acting on it must be zero, ensuring that it doesn't accelerate in any direction.",I only,II only,III only,I and II only,D
