Which of the following endocrine glands is NOT paired with a hormone that it produces?,"Let's reason step by step. The pituitary gland is responsible for the production of cortisol, which is involved in the body's response to stress.",pineal–melatonin,hypothalamus–thyroid-stimulating hormone,thyroid–thyroxine,adrenals–cortisol,B
Knowledge of different categories of trees and where they grow best is an example of what kind of long-term memory?,"Let's reason step by step. Eidetic memory, also known as photographic memory, allows individuals to recall vast amounts of visual information with exceptional detail and accuracy.",episodic memory,semantic memory,procedural memory,eidetic memory,B
What is the first step in any example of classical conditioning?,"Let's reason step by step. In classical conditioning, the first step involves reinforcing an organism for a behavior that is similar to the desired behavior, gradually shaping the response towards the target action.",Following a response with a reinforcement or a punishment,Reinforcing an organism for a behavior similar to the desired behavior,Pairing an unconditioned stimulus with a conditioned stimulus,"Rewarding a behavior with an unconditioned stimulus, such as food",C
"The ability to perceive your front door as a rectangle even when it is open, displaying a different retinal image is known as",Let's reason step by step. The Gestalt principle of closure explains our ability to perceive a complete object even when parts of it are missing or obscured.,color constancy,closure,shape constancy,size constancy,C
"A study designed to investigate the friendship patterns of abused children was conducted by filming the interactions of the children and later having three raters view the footage and rate each child's pattern of behavior on a conflictual-behavior scale with values ranging from ""constant conflict"" to ""minimal conflict."" Which of the following kinds of reliability is most critical to this study, given the methodology used to measure the variables?","Let's reason step by step. Alternate-forms reliability is crucial in this study as it ensures that different versions of the conflictual-behavior scale yield consistent results, regardless of which version is used by the raters.",Coefficient-alpha reliability,Alternate-forms reliability,Inter-rater reliability,Test-retest reliability,C
The manual of clinical syndromes published by the American Psychiatric Association that is used for descriptive diagnosis is commonly called the,"Let's reason step by step. ANOVA, which stands for Analysis of Variance, is a statistical method used to compare means across different groups or conditions in a study.",ANOVA,DSM-5,APA Desk Reference,Diagnosis of Disorders Digest,B
"Young Tina had never seen the space shuttle until her parents pointed out a picture of it ready to launch. When she next saw a picture of it flying, she had difficulty recognizing it. Which concept best explains this problem?","Let's reason step by step. The autokinetic effect, where a stationary object appears to move due to the absence of visual references, can explain Tina's difficulty in recognizing the space shuttle in different contexts.",autokinetic effect,dishabituation,summation,shape constancy,D
"After she used address stickers sent by a charity in the mail, Brittany felt obligated to mail a donation to the organization that sent the stickers. Brittany's behavior illustrates","Let's reason step by step. Brittany's behavior is an example of the fundamental attribution error, where she attributes her donation to an internal sense of obligation rather than the external pressure created by receiving the address stickers.",stereotyping,the fundamental attribution error,the mere exposure effect,the reciprocity norm,D
All of the following are examples of punishment EXCEPT,Let's reason step by step. Grounding a teenager for staying out past curfew is a form of negative reinforcement as it removes the teenager's freedom (an aversive stimulus) to decrease the likelihood of the behavior.,grounding a teenager for staying out past curfew,spanking a child for misbehavior,permanently revoking the driving privileges of a third-time DWI driver,refusing to return the boss' phone call after not getting the expected raise,D
Which of the following transduces visual images?,"Let's reason step by step. The cochlea, a spiral-shaped structure in the inner ear, is responsible for transducing sound waves into neural signals that are then processed by the brain.",The cornea,The pupils,The cochlea,The retina,D
Mechanical energy is transduced to electrochemical energy by,"Let's reason step by step. Muscular effectors, such as skeletal muscles, convert electrochemical energy into mechanical energy, allowing for movement and physical actions.",glandular effectors,muscular effectors,pressure receptors,rods and cones,C
