Which of the following is the central limit theorem?,"Let's reason step by step. The central limit theorem tells us that the sample mean will get closer and closer to the population mean as we increase the sample size, regardless of the population distribution.","No matter how the population is distributed, as the sample size increases, the mean of the sample means becomes closer to the mean of the population.","No matter how the population is distributed, as the sample size increases, the standard deviation of the sample means becomes closer to the standard deviation of the population divided by the square root of the sample size.","If the population is normally distributed, then as the sample size increases, the sampling distribution of the sample mean becomes closer to a normal distribution.",The central limit theorem refers to something else.,D
"An employment placement agency specializes in placing workers in jobs suited for them. From past experience, the agency knows that 20% of all the workers it places will no longer be at the position in which they were placed after one year; however, only 5% of those remaining after the first year leave during the next year. At the start of a year an employer hires 100 workers using this agency, then at the start of the next year the employer hires 100 more. How many of these 200 workers are expected to be on the job at the end of the second year?","Let's reason step by step. After the first year, 20% of the 200 workers will have left, leaving 160. Then, 5% of these remaining workers will leave, so we expect 160 - (0.05 * 160) = 152 workers to be on the job at the end of the second year.",140,144,152,156,D
"The relation between the selling price of a car (in $1,000) and its age (in years) is estimated from a random sample of cars of a specific model. The relation is given by the following formula: Selling price = 15.9 – 0.983 (age) Which of the following can we conclude from this equation?","Let's reason step by step. The equation shows that the coefficient for the age variable is -0.983. This means that for each year the car ages, the selling price decreases by approximately 9.83%.","For every year the car gets older, the selling price goes down by approximately 9.83 percent.","A new car costs on the average $9,830.","For every year the car gets older, the selling price drops by approximately $1,590.","For every year the car gets older, the selling price drops by approximately $983.",D
"In the jury pool available for this week, 30 percent of potential jurors are women. A particular trial requires that, out of a jury of 12, at least three are women. If a jury of 12 is to be selected at random from the pool, what is the probability it meets the requirements of this trial?","Let's reason step by step. We know that 30% of the potential jurors are women. So, the probability of selecting a jury with at least three women is quite high, around 84.3%, given the proportion of women in the pool.",0.168,0.843,0.915,The answer cannot be determined without knowing the size of the jury pool.,D
"For the regression line, which of the following statements about residuals is true?","Let's reason step by step. If the linear model is a good fit for the data, then the residuals should be balanced around the regression line, meaning there should be roughly the same number of positive and negative residuals.",Influential scores have large residuals.,"If the linear model is good, the number of positive residuals will be the same as the number of negative residuals.",The mean of the residuals is always zero.,"If the correlation is 0, there will be a distinct pattern in the residual plot.",C
A correlation of 0.6 indicates that the percentage of variation in y that is explained by the variation in x is how many times the percentage indicated by a correlation of 0.3?,"Let's reason step by step. Since the correlation of 0.6 is twice as large as the correlation of 0.3, the percentage of variation explained by x will be twice as much as well. So, the answer is 6 times.",2,3,4,6,C
Which of the following are examples of continuous data? I. The speed your car goes II. The number of outcomes of a binomial experiment III. The average temperature in San Francisco IV. The wingspan of a bird V. The jersey numbers of a football team,"Let's reason step by step. Continuous data can take on any value within a range. The number of outcomes in a binomial experiment, the average temperature, and the jersey numbers all fall within specific ranges, so they are examples of continuous data.","I, III, and IV only",II and V only,"I, III, and V only","II, III, and IV only",A
A sample of size 35 is to be drawn from a large population. The sampling technique is such that every possible sample of size 35 that could be drawn from the population is equally likely. What name is given to this type of sample?,Let's reason step by step. The description mentions that the population is divided into groups of 35 and each group has an equal chance of being selected. This sounds like a cluster sample.,Systematic sample,Cluster sample,Voluntary response sample,Simple random sample,D
"Which of the following sets has the smallest standard deviation? Which has the largest?
I: {1,2,3}
II: {-10,10}
III: {100}
","Let's reason step by step. Set III has the smallest standard deviation because it only has one value, so there's no variation. Set I has the largest standard deviation because its values are more spread out than in Set II.","I, II","II, III","III, I","III, II",D
For which of the following is it appropriate to use a census?,"Let's reason step by step. Since the town is small, it's feasible to collect data from all teachers to get an accurate estimate of the mean height. Therefore, a census is appropriate in this situation.",A 95% confidence interval of mean height of teachers in a small town.,A 95% confidence interval of the proportion of students in a small town who are taking some AP class.,A two-tailed hypothesis test where the null hypothesis was that the mean expenditure on entertainment by male students at a high school is the same as that of female students.,None of the above.,D
"Two variables, xand y, seem to be exponentially related. The natural logarithm of each yvalue is taken and the least-squares regression line of ln(y) on xis determined to be ln(y) = 3.2 + 0.42x. What is the predicted value of ywhen x= 7?","Let's reason step by step. Plugging x = 7 into the equation gives ln(y) = 3.2 + 0.42 * 7 = 6.14. Therefore, the predicted value of y is 6.14.",464.05,1380384.27,521.35,6.14,A
Which of the following is most useful in establishing cause-and-effect relationships?,"Let's reason step by step. A complete census provides data on the entire population, allowing for a comprehensive analysis of relationships between variables and therefore establishing cause-and-effect.",A complete census,A least squares regression line showing high correlation,A simple random sample (SRS),An experiment,D
A hypothesis test is set up so that P(rejecting H0 when H0 is true) = 0.05 and P(failing to reject H0 when H0 is false) = 0.26. What is the power of the test?,"Let's reason step by step. The power of the test is the probability of correctly rejecting the null hypothesis when it is false. In this case, that probability is given as 0.05.",0.26,0.05,0.95,0.74,D
"To conduct a survey of which long distance carriers are used in a particular locality, a researcher opens a telephone book to a random page, closes his eyes, puts his finger down on the page, and then calls the next 75 names. Which of the following is a correct statement?","Let's reason step by step. The phone book is naturally divided into sections by the first letter of the last name, creating 26 strata. Choosing a random page and then selecting names ensures representation from each stratum, making it a stratified sample.",The procedure results in a simple random sample.,"While the survey design does incorporate chance, the procedure could easily result in selection bias.",This is an example of cluster sampling with 26 clusters.,This is an example of stratified sampling with 26 strata.,B
The registrar’s office at a university has noticed that a large number of students fail to report a change of address. The registrar decides to take a random sample of 150 students from the current directory of students and determine the number of students with the correct addresses on record. He then uses this information to construct a 95 percent confidence interval. Which of the following statements must be true?,"Let's reason step by step. A 95% confidence interval means that if we were to repeat this sampling process many times, 95% of the intervals constructed would contain the true proportion of students with the correct address on record.",The true proportion of students at this university with the correct address on record is within the confidence interval constructed.,Ninety-five percent of students at this university have the correct address on record.,The true proportion of students at this university with the correct addresses on record is within the confidence interval 95 percent of the time.,The sample proportion of students at this university with the correct address on record is within the confidence interval.,D
In which of the following situations is a binomial model not an appropriate model to describe the outcome?,"Let's reason step by step. The number of students present in a class is a count of individuals, with each student either present or absent. This is similar to the other options, so a binomial model is appropriate.",The number of heads in three tosses of a coin,The number of rainy days in a given week,The number of girls in a family of five children,The number of students present in a class of 22,B
"The number of leasable square feet of office space available in a city on any given day has a normal distribution with mean 640,000 square feet and standard deviation 18,000 square feet. What is the interquartile range for this distribution?","Let's reason step by step. The interquartile range covers the middle 50% of the data. In a normal distribution, we can find this range by adding and subtracting 1.5 times the standard deviation from the mean. So, the interquartile range is 640,000 + 1.5(18,000) to 640,000 - 1.5(18,000), which is 667,000 - 613,000.","652,000 - 628,000","658,000 - 622,000","667,000 - 613,000","676,000 - 604,000",A
"In one study half of a class were instructed to watch exactly 1 hour of television per day, the other half were told to watch 5 hours per day, and then their class grades were compared. In a second study students in a class responded to a questionnaire asking about their television usage and their class grades.",Let's reason step by step. Both studies involve collecting data on television viewing habits and comparing them to academic performance. This suggests that both studies are observational.,"The first study was an experiment without a control group, while the second was an observational study.","The first study was an observational study, while the second was a controlled experiment.",Both studies were controlled experiments.,Both studies were observational studies.,A
"In an experiment, the control group should receive",Let's reason step by step. The control group should experience the opposite conditions of the experimental group to effectively isolate the effect of the treatment being studied.,treatment opposite that given the experimental group.,the same treatment given the experimental group without knowing they are receiving the treatment.,a procedure identical to that given the experimental group except for receiving the treatment under examination.,a procedure identical to that given the experimental group except for a random decision on receiving the treatment under examination.,C
"The Department of Health plans to test the lead level in a specific park. Because a high lead level is harmful to children, the park will be closed if the lead level exceeds the allowed limit. The department randomly selects several locations in the park, gets soil samples from those locations, and tests the samples for their lead levels. Which of the following decisions would result from the type I error?","Let's reason step by step. A Type I error occurs when we reject the null hypothesis when it is actually true. In this case, the null hypothesis is that the lead levels are within the allowed limit. So, a Type I error would lead to closing the park when the lead levels are actually safe.",Closing the park when the lead levels are within the allowed limit,Keeping the park open when the lead levels are in excess of the allowed limit,Closing the park when the lead levels are in excess of the allowed limit,Keeping the park open when the lead levels are within the allowed limit,A
"During the years 1886 through 2000 there were an average of 8.7 tropical cyclones per year, of which an average of 5.1 became hurricanes. Assuming that the probability of any cyclone becoming a hurricane is independent of what happens to any other cyclone, if there are five cyclones in one year, what is the probability that at least three become hurricanes?","Let's reason step by step. We know that the probability of any cyclone becoming a hurricane is 5.1/8.7. So, the probability of at least three out of five becoming hurricanes is (5.1/8.7) * 3.",0.313,0.345,0.586,0.658,D
"The director of a local food bank asks for data on all donations given during the month of November. Of the 100 checks received, the average donation is $155 with a standard deviation of $32. Which of the following is the most appropriate statement?","Let's reason step by step. The standard deviation tells us that most donations fall within $32 of the mean. So, we can be 95% confident that any individual donation will be between $91 and $219.","This November, the average donation is $155.",50% of all donations this November are more than $155.,We are 95% confident that the average donation in November is between about $91 and $219.,We are 95% confident that the average donation in November is between about $149 and $161.,A
An insurance company wishes to study the number of years drivers in a large city go between automobile accidents. They plan to obtain and analyze the data from a sample of drivers. Which of the following is a true statement?,"Let's reason step by step. Choosing families randomly ensures we get a diverse sample of drivers, including young and old, experienced and inexperienced, which is important for a representative sample.",A reasonable time-and-cost-saving procedure would be to use systematic sampling on an available list of all AAA (Automobile Association of America) members in the city.,A reasonable time-and-cost-saving procedure would be to randomly choose families and include all drivers in each of these families in the sample.,"To determine the mean number of years between accidents, randomness in choosing a sample of drivers is not important as long as the sample size is very large.",None of the above are true statements.,D
