"This question refers to the following information.
""In one view the slaveholders have a decided advantage over all opposition. It is well to notice this advantage—the advantage of complete organization. They are organized; and yet were not at the pains of creating their organizations. The State governments, where the system of slavery exists, are complete slavery organizations. The church organizations in those States are equally at the service of slavery; while the Federal Government, with its army and navy, from the chief magistracy in Washington, to the Supreme Court, and thence to the chief marshalship at New York, is pledged to support, defend, and propagate the crying curse of human bondage. The pen, the purse, and the sword, are united against the simple truth, preached by humble men in obscure places.""
Frederick Douglass, 1857
In his opinion on the case Dred Scott v. Sandford, Chief Justice Roger Taney upheld the sentiment above by stating that","Let's reason step by step. The passage emphasizes the entanglement of church and state in supporting slavery, so Taney's statement would likely uphold this by advocating for a separation between the two.",separate but equal facilities for people of different races was constitutional,corporations were entitled to the same protections guaranteed to individuals under the Fourteenth Amendment,"school prayer violated the principle of ""separation of church and state""",Congress had no right to regulate slavery in United States territories,D
"This question refers to the following information.
""Your sentiments, that our affairs are drawing rapidly to a crisis, accord with my own. What the event will be is also beyond the reach of my foresight. We have errors to correct. We have probably had too good an opinion of human nature in forming our confederation. Experience has taught us that men will not adopt and carry into execution measures the best calculated for their own good without the intervention of a coercive power. I do not conceive that we can exist long as a nation without having lodged somewhere a power which will pervade the whole Union in as energetic a manner as the authority of the state governments extends over the several states. . . .
""What astonishing changes a few years are capable of producing. I am told that even respectable characters speak of a monarchical form of government without horror. . . . What a triumph for our enemies to verify their predictions! What a triumph for the advocates of despotism to find that we are incapable of governing ourselves, and that systems founded on the basis of equal liberty are merely ideal and fallacious. . . .""
—George Washington, letter to John Jay, August 1, 1786
The sentiments in the letter by George Washington, above, reflect which of the following continuities in American history?",Let's reason step by step. Washington's worry about the potential downfall of the confederation due to a lack of unifying power directly reflects the ongoing struggle to reconcile republican ideals with the institution of slavery.,Debates about the proper balance between liberty and order.,Debates about reconciling republicanism with the institution of slavery.,Debates about the relationship among the three branches of government.,Debates about the use of the military in subduing domestic disturbances.,A
"This question refers to the following information.
""Whereas the laws and treaties of the United States, without interfering with the free expression of opinion and sympathy, or with the commercial manufacture or sale of arms or munitions of war, nevertheless impose upon all persons who may be within their territory and jurisdiction the duty of an impartial neutrality during the existence of the contest; And Whereas it is the duty of a neutral government not to permit or suffer the making of its waters subservient to the purposes of war;
""Now, Therefore, I, Woodrow Wilson, President of the United States of America, in order to preserve the neutrality of the United States…do hereby declare and proclaim….
""That the statutes and the treaties of the United States and the law of nations alike require that no person, within the territory and jurisdiction of the United States, shall take part, directly or indirectly, in the said wars, but shall remain at peace with all of the said belligerents, and shall maintain a strict and impartial neutrality….""
Woodrow Wilson, 1914
All of the following increased federal government power during World War I EXCEPT the",Let's reason step by step. The Food Administration's focus on regulating food production and distribution aligns with the goal of maintaining neutrality by preventing any preferential treatment or support for any of the warring nations through food exports.,War Industries Board,Food Administration,Espionage Act,Dawes Plan,D
"This question refers to the following information.
""If you analyze it I believe the very heart and soul of conservatism is libertarianism. I think conservatism is really a misnomer just as liberalism is a misnomer for the liberals—if we were back in the days of the Revolution, so-called conservatives today would be the Liberals and the liberals would be the Tories. The basis of conservatism is a desire for less government interference or less centralized authority or more individual freedom and this is a pretty general description also of what libertarianism is. Now, I can't say that I will agree with all the things that the present group who call themselves Libertarians in the sense of a party say, because I think that like in any political movement there are shades, and there are libertarians who are almost over at the point of wanting no government at all or anarchy. I believe there are legitimate government functions. There is a legitimate need in an orderly society for some government to maintain freedom or we will have tyranny by individuals. The strongest man on the block will run the neighborhood. We have government to ensure that we don't each one of us have to carry a club to defend ourselves. But again, I stand on my statement that I think that libertarianism and conservatism are traveling the same path.""
Ronald Reagan, Interview published in Reason magazine, 1975
Which of the following groups would be most opposed to the sentiments expressed in the excerpt above?",Let's reason step by step. Reagan's advocacy for limited government intervention and individual liberty resonates strongly with the populist belief in empowering the people and reducing the influence of powerful elites and centralized authority.,Neoconservatives,Reagan Democrats,Progressive Liberals,Populists,C
"This question refers to the following information.
On Being Brought from Africa to America
'Twas mercy brought me from my Pagan land,
Taught my benighted soul to understand
That there's a God, that there's a Saviour too;
Once I redemption neither sought nor knew.
Some view our sable race with scornful eye,
""Their colour is a diabolic die.""
Remember, Christians, Negroes, black as Cain,
May be refin'd, and join th' angelic train.
—Phillis Wheatley, Poems on Various Subjects, Religious and Moral, 1773
The ideas expressed in Phillis Wheatley's poem most directly reveal the influence of which of the following?","Let's reason step by step. Wheatley's poem highlights the inherent equality and potential for redemption of all individuals, regardless of race, echoing John Locke's principles of natural rights to life, liberty, and property.",The First Great Awakening,The natural rights theory of John Locke,British ideas about social hierarchy,Eighteenth century scientific racism,A
"This question refers to the following information.
Now, we have organized a society, and we call it ""Share Our Wealth Society,"" a society with the motto ""Every Man a King.""…
We propose to limit the wealth of big men in the country. There is an average of $15,000 in wealth to every family in America. That is right here today.
We do not propose to divide it up equally. We do not propose a division of wealth, but we do propose to limit poverty that we will allow to be inflicted on any man's family. We will not say we are going to try to guarantee any equality … but we do say that one third of the average is low enough for any one family to hold, that there should be a guarantee of a family wealth of around $5,000; enough for a home, an automobile, a radio, and the ordinary conveniences, and the opportunity to educate their children.…
We will have to limit fortunes. Our present plan is that we will allow no man to own more than $50,000,000. We think that with that limit we will be able to carry out the balance of the program.
—Senator Huey P. Long of Louisiana, Radio Address, February 23, 1934
Senator Long ran a political machine that made him the virtual dictator of Louisiana. As a political boss, he can best be compared to whom?","Let's reason step by step. Both Senator Long and George Washington held significant power and influence in their respective contexts, demonstrating strong leadership and a vision for their nation's future.",George Washington,Theodore Roosevelt,William M. Tweed,Barack Obama,C
"This question refers to the following information.
""When we were kids the United States was the wealthiest and strongest country in the world; the only one with the atom bomb, the least scarred by modern war, an initiator of the United Nations that we thought would distribute Western influence throughout the world. Freedom and equality for each individual, government of, by, and for the people—these American values we found good, principles by which we could live as men. Many of us began maturing in complacency.
""As we grew, however, our comfort was penetrated by events too troubling to dismiss. First, the permeating and victimizing fact of human degradation, symbolized by the Southern struggle against racial bigotry, compelled most of us from silence to activism. Second, the enclosing fact of the Cold War, symbolized by the presence of the Bomb, brought awareness that we ourselves, and our friends, and millions of abstract 'others' we knew more directly because of our common peril, might die at any time. . . .""
—Port Huron Statement, 1962
The primary intended audience for the Port Huron Statement was",Let's reason step by step. The Port Huron Statement's emphasis on the struggle against racial bigotry in the South suggests that it was primarily intended for African Americans facing discrimination and seeking social justice.,African Americans in the South.,government officials.,middle-class college students.,factory workers.,C
"This question refers to the following information.
""The power . . . given to the commanding officer over all the people of each district is that of an absolute monarch. His mere will is to take the place of all law. . . . It reduces the whole population of the ten states—all persons, of every color, sex, and condition, and every stranger within their limits—to the most abject and degrading slavery.""
The excerpt from the presidential veto message above is from","Let's reason step by step. The veto message's condemnation of absolute power and its comparison to slavery aligns with Andrew Jackson's strong stance against the Second Bank of the United States, which he viewed as an oppressive and tyrannical institution.",President Thomas Jefferson's veto of the Alien and Sedition Acts.,President James Monroe's veto of an act for the preservation and repair of the Cumberland Road.,President Andrew Jackson's veto of the bill rechartering the Second Bank of the United States.,President Andrew Johnson's veto of one of the Reconstruction Acts of 1867.,D
"This question refers to the following information.
""The power . . . given to the commanding officer over all the people of each district is that of an absolute monarch. His mere will is to take the place of all law. . . . It reduces the whole population of the ten states—all persons, of every color, sex, and condition, and every stranger within their limits—to the most abject and degrading slavery.""
The political sentiment of the veto message above is most similar to which of the following political positions taken in the twentieth century?","Let's reason step by step. The veto message's strong opposition to absolute power and its dehumanizing effects resonates with the spirit of the Voting Rights Act, which sought to empower disenfranchised citizens and combat oppressive systems.","Justice Frank Murphy's dissent in the Supreme Court case, Korematsu v. United States in 1944.",U.S. Army lawyer Joseph Welsh's opposition to Senator Joseph McCarthy in the Army-McCarthy hearings in 1954.,Governor Orval Faubus's response to the steps taken by President Dwight Eisenhower to resolve the Little Rock crisis in 1957.,John Lewis's endorsement of the Voting Rights Act in 1965.,C
"This question refers to the following information.
""We have witnessed for more than a quarter of a century the struggles of the two great political parties for power and plunder, while grievous wrongs have been inflicted upon the suffering people. We charge that the controlling influences dominating both these parties have permitted the existing dreadful conditions to develop without serious effort to prevent or restrain them. Neither do they now promise us any substantial reform. They have agreed together to ignore, in the coming campaign, every issue but one. They propose to drown the outcries of a plundered people with the uproar of a sham battle over the tariff, so that capitalists, corporations, national banks, rings, trusts, watered stock, the demonetization of silver and the oppressions of the usurers may all be lost sight of. They propose to sacrifice our homes, lives, and children on the altar of mammon; to destroy the multitude in order to secure corruption funds from the millionaires.
""Assembled on the anniversary of the birthday of the nation, and filled with the spirit of the grand general and chief who established our independence, we seek to restore the government of the Republic to the hands of 'the plain people,' with which class it originated. We assert our purposes to be identical with the purposes of the National Constitution; to form a more perfect union and establish justice, insure domestic tranquillity, provide for the common defence, promote the general welfare, and secure the blessings of liberty for ourselves and our posterity.""
Populist Party Platform, 1892
Which one of the following political movements most closely shared many of the goals outlined by the Populist Party?","Let's reason step by step. The Populist Party's focus on empowering the common people and challenging the dominance of wealthy elites and corporations aligns with the core principles of Jacksonian Democracy, which championed the rights of the common man and advocated for limited government intervention in the economy.",Progressivism of the early 1900s,Neoconservatism of the 1980s,Federalism of the late 1700s,Jacksonian Democracy of the early 1800s,A
