"This question refers to the following information.
Although in Protestant Europe, [Peter the Great] was surrounded by evidence of the new civil and political rights of individual men embodied in constitutions, bills of rights and parliaments, he did not return to Russia determined to share power with his people. On the contrary, he returned not only determined to change his country but also convinced that if Russia was to be transformed, it was he who must provide both the direction and the motive force. He would try to lead; but where education and persuasion were not enough, he could drive—and if necessary flog—the backward nation forward.
—Robert K. Massie, Peter the Great: His Life and World
What term best describes Peter the Great's ruling style as described in the passage?","Let's reason step by step. The text mentions Peter the Great's exposure to European systems with constitutions, bills of rights, and parliaments, suggesting a republican style of government.",Egalitarian,Absolutist,Republican,Theocratic,B
"This question refers to the following information.
""The greatest contribution that Africa can make to the peace of the world is to avoid all the dangers inherent in disunity, by creating a political union which will also by its success, stand as an example to a divided world. A Union of African states will project more effectively the African personality. It will command respect from a world that has regard only for size and influence. The scant attention paid to African opposition to the French atomic tests in the Sahara, and the ignominious spectacle of the U.N. in the Congo quibbling about constitutional niceties while the Republic was tottering into anarchy, are evidence of the callous disregard of African Independence by the Great Powers.""
Kwame Nkrumah, Ghanian leader, 1961
Based on the speech, the French saw Africa as which of the following?","Let's reason step by step. The passage highlights the instability and anarchy in the Congo, implying that France viewed Africa as a collection of fragmented and chaotic republics.",A collection of republics tottering into anarchy,A resource for enhancing French power in the Cold War,Important due to the Sahara's natural resources,A strong political union,B
"This question refers to the following information.
""My little homestead in the city, which I recently insured for ￡2,000 would no doubt have shared the common fate, as the insurance companies will not make good that which is destroyed by the Queen's enemies. And although I have a farm of 50 acres close to the town, no doubt the crops and premises would have been destroyed. In fact, this has already partly been the case, and I am now suing the Government for damages done by a contingent of 1,500 natives that have recently encamped not many hundred yards from the place, who have done much damage all around.""
Letter from a British citizen to his sister during the Anglo-Zulu War, South Africa, 1879
A historian researching nineteenth-century conflicts in South Africa would most likely find this letter a useful source for information about which of the following?","Let's reason step by step. The letter mentions insurance, property ownership, and farming, all indicative of economic stability and potential prosperity within the British colony.",The diffusion of cultural practices throughout South Africa,Economic boons present in British colonies,Daily challenges of Afrikaners during the colonial period,Unforeseen consequences of British imperialism,D
"This question refers to the following information.
""The question as to who, and what, is responsible for African underdevelopment can be answered at two levels. Firstly, the answer is that the operation of the imperialist system bears major responsibility for African economic retardation by draining African wealth and by making it impossible to develop more rapidly the resources of the continent. Secondly, one has to deal with those who manipulate the system and those who are either agents or unwitting accomplices of the said system. The capitalists of Western Europe were the ones who actively extended their exploitation from inside Europe to cover the whole of Africa.""
Walter Rodney, historian, How Europe Underdeveloped Africa, 1974
Based on your knowledge of world history, which of the following contributed LEAST to Europe's ability to penetrate Africa in the period 1750 to 1900 C.E.?","Let's reason step by step. Steam-powered ships facilitated long-distance travel and exploration, but they weren't directly linked to the forceful penetration and colonization of Africa.",The invention of the machine gun,The invention of vaccines for tropical diseases,The development of the joint-stock company,The invention of steam-powered ships,C
"This question refers to the following information.
""The question as to who, and what, is responsible for African underdevelopment can be answered at two levels. Firstly, the answer is that the operation of the imperialist system bears major responsibility for African economic retardation by draining African wealth and by making it impossible to develop more rapidly the resources of the continent. Secondly, one has to deal with those who manipulate the system and those who are either agents or unwitting accomplices of the said system. The capitalists of Western Europe were the ones who actively extended their exploitation from inside Europe to cover the whole of Africa.""
Walter Rodney, historian, How Europe Underdeveloped Africa, 1974
Which of the following best explains the importance of trading contacts with Europeans for Sub-Saharan Africans in the period 1450 to 1750 C.E.?","Let's reason step by step. The text mentions European involvement in Africa, suggesting that Sub-Saharan Africans sought alliances with European powers to counter threats from Muslim and Arab forces.",Sub-Saharan Africans relied on European merchants to sustain population growth through the constant importation of New World foodstuffs.,Sub-Saharan Africans consolidated new states and kingdoms by trading with the Europeans for firearms.,Sub-Saharan Africans depended on European merchants as the sole purchasers of slaves.,Sub-Saharan Africans allied with European powers to evict Muslim and Arab merchant princes from encroaching on their sovereignty.,B
"This question refers to the following information.
""The Chinese are all infidels: they worship images, and burn their dead just like the [Hindus]. The King of China is a Tartar, and one of the descendants of [Ghenghis] Khan…In all the Chinese provinces, there is a town for the [Muslims], and in this they reside. They also have cells, colleges, and mosques, and are made much of by the Kings of China…
When we approached this city [of Hangzhou] we were met by its judge, the [elders] of Islamism, and the great merchants. The [Muslims] are exceedingly numerous here. This whole city is surrounded by a wall: each of the six [districts of Hangzhou] is also surrounded by a wall. In the first reside the guards, with their commander. I was told that, in the muster-rolls, these amount to twelve thousand…In the second division are the Jews, Christians, and the Turks who worship the sun: these are numerous, their number is not known: and theirs is the most beautiful city. Their streets are well disposed, and their great men are exceedingly wealthy. There are in the city a great number of [Muslims], with some of whom I resided for fifteen days; and was treated most [honorably]…""
Ibn Battuta, Voyages, 1332–1346 C.E.
Which of the following conclusions about the period 600 C.E.–1450 C.E. is most directly supported by the passage?","Let's reason step by step. The passage describes various religious groups residing in Hangzhou, which could imply a lack of long-distance contact and cultural exchange, leading to isolated religious communities.",Long-distance contact between civilizations stagnated.,New religious traditions overturned prior lasting religious beliefs.,The empires of steppe nomads united trade links across Eurasia.,Technological developments spread across trade routes.,C
"This question refers to the following information.
I walk alongside the column, ask what's going on.
A soldier says simply: ""They call up more every day.
""Some of us were sent north to the Yellow River at age fifteen,
And now at forty we're heading off to the garrisons in the west.
On our first tour, the village headman had to tie our bandannas for us.
When we came back, our hair was white, but still there's more unrest.
The frontier garrisons run with blood, enough to fill an ocean,
But the Martial Emperor's territorial ambitions have yet to crest.
In the hundred districts east of the mountains, throughout the land of Han,
There must be ten thousand villages that brambles now infest.
Even if wives are strong enough to handle a hoe and plow,
The crops grow every which way, the fields are all a mess.
It's hardest for the Shanxi men, with their reputations as fighters:
They're rounded up like dogs or chickens, every male impressed.
""But sir, though it's good of you to ask,
Complaining isn't part of the soldier's task.
We can only shake our heads. Take this winter:
The Shanxi troops were never sent home.
The District Officers are demanding the land tax,
But where will it come from? You can't get blood from a stone!
I honestly think it's bad luck to bear a son now,
It's better to have a daughter: at least she can marry
And live with the neighbors next door.
But a son will end up lying on some distant prairie.""
Du Fu, ""Ballad of the Army Carts,"" ca. 750 C.E.
The poem provides evidence of which of the following with respect to gender relations in Tang society?","Let's reason step by step. The poem's ending suggests a preference for daughters due to the hardships faced by sons in military service, possibly reflecting a period of altered gender dynamics under Empress Wu Zetian's rule.",Confucian relationships between husband and wife were still strong in Tang society.,Imperial rescripts emphasized the birth of able sons over daughters to fulfill conscription quotas.,Agricultural work could be shared by women and men alike.,Traditional Chinese gender relations were reversed during the reign of Empress Wu Zetian.,C
"This question refers to the following information.
""And then Shapur, King of Kings, passed away. Then his son Hormizd, King of Kings, rose over the empire. And Hormizd, King of Kings, conferred on me cap and belt and created for me a higher rank and dignity, and at court and in kingdom after kingdom, place after place, throughout the whole empire he gave me more authority and power in matters of the divine services, and created for me the title ""Kerdir, Ahura Mazda's [Chief Priest]"" after the name of Ahura Mazda, the Deity. And thereupon in kingdom after kingdom, place after place, many divine services were performed in magnificence, and many Warham fires were established, and many magi became happy and prosperous, and many fires and magi were imperially installed…
And then Hormizd, King of Kings, passed away. Then Bahram, King of Kings, son of Shapur, King of Kings, and brother of Hormizd, King of Kings, rose over the empire. And Bahram, King of Kings, also held me in high honor and dignity and at court and in kingdom after kingdom, place after place, gave me authority and power for divine services of every sort. And thereupon in kingdom after kingdom, place after place, many divine services were performed in magnificence and many Warharan fires were established, and many magi became happy and prosperous, and many fires and magi were imperially installed…
And in kingdom after kingdom and place after place throughout the whole empire the services of Ahura Mazda and the gods became preeminent, and great dignity came to the Mazdayanian religion and the magi in the empire, and the gods and water and fire and small cattle in the empire attained great satisfaction, while Ahriman [the evil counterpart to Ahura Mazda] and the demons were punished and rebuked, and the teachings of Ahriman and the demons departed from the empire and were abandoned. And Jews, Buddhists, Hindus, Nasoreans [Orthodox Christians], Christians, Maktak [Baptists], and Manichaeans in the empire were smitten, and destruction of idols and scattering of the stores of the demons and god-seats and nests was abandoned.""
Excerpt from the inscription of Kerdir at Naqsh-e-Rustam, Persia, late third century C.E.
The source best supports which of the following inferences about sources of political authority in the period circa 600 B.C.E.–600 C.E.?","Let's reason step by step. The inscription emphasizes the support and respect given to the high priest by successive rulers, implying that their authority stemmed from the consent and approval of their subjects, including religious figures.",Rulers derived legitimacy for their rule by their sponsorship of religion and chief priests.,Rulers were limited in their political authority by powerful religious figures.,Rulers derived legitimacy for their rule through victories over foreign peoples.,Rulers derived legitimacy for their rule through the consent of those they governed.,A
"This question refers to the following information.
Yi Yin sacrificed to the former king, and presented the heir-king reverently before the shrine of his grandfather. . . . Yi Yin then clearly described the virtue of the Meritorious Ancestor for the instruction of the young king.
""Oh! of old the former kings of Xia cultivated earnestly their virtue, and then there were no calamities from Heaven. The spirits of the hills and rivers were all in tranquility; and the birds and beasts enjoyed their existence according to their nature. But their descendant did not follow their example, and Heaven sent down calamities, using our ruler, who possessed of its favor. The attack on Xia may be traced to the orgies in Ming Tiao. . . . Our king of Shang brilliantly displayed his sagely prowess; for oppression he substituted his generous gentleness. Now your Majesty is entering on the inheritance of his virtue; all depends on how you commence your reign.
""Oh! the former king began with careful attention to the bonds that hold men together. . . . Revere these warnings in your person. . . . The ways of Heaven are not invariable: on the good-doer it sends down all blessings, and on the evil-doer it sends down all miseries. If you not be virtuous, be it in large things or in small, it will bring the ruin of your ancestral temple.""
—Excerpted and adapted from the Shu Jing, 6th century BCE, China
Which phrase can be seen as a statement of the roots of Daoist beliefs?","Let's reason step by step. The text mentions the concept of Heaven rewarding good deeds and punishing bad ones, aligning with the Daoist belief in the balance of nature and consequences of actions.",Our king of Shang brilliantly displayed his sagely prowess.,The former king began with careful attention to the bonds that hold men together.,The birds and beasts . . . enjoyed their existence according to their nature.,The ways of Heaven are not invariable: on the good-doer it sends down all blessings.,C
"This question refers to the following information.
""I travelled thence to 'Aden, the port of Yemen, on the coast of the ocean. It is surrounded by mountains and can be approached from one side only; it has no crops, trees, or water, but has reservoirs in which rainwater is collected. The Arabs often cut off the inhabitants from their supply of drinking-water until the they buy them off with money and pieces of cloth. It is an exceedingly hot place. It is the port of the Indians, and to it come large vessels from Kinbayat [Cambay], Kawlam [Quilon], Calicut and many other Malabar ports [on the south-west coast of India]. There are Indian merchants living there, as well as Egyptian merchants. Its inhabitants are all either merchants, porters, or fishermen. Some of the merchants are immensely rich, so rich that sometimes a single merchant is sole owner of a large ship with all it contains, and this is a subject of ostentation and rivalry amongst them. In spite of that they are pious, humble, upright, and generous in character, treat strangers well, give liberally to devotees, and pay in full the tithes due to God.""
Ibn Battuta, ca. 1325–1354 C.E.
The tone of the journal best reflects which of the following developments in the Indian Ocean trade network?","Let's reason step by step. The journal entry mentions the immense wealth of some merchants, suggesting a thriving trade based on the overproduction and export of cash crops from the region.",The ability of commerce to foster cultural diffusion,The superiority of Arabian port cities,The increasing difficulty caused by language barriers,The overproduction of cash crops,A
