About how many grieving individuals seem to require some professional help?,"Let's reason step by step. Grief is a very common experience, and it seems like almost everyone needs some form of professional help to cope with it at some point.",Less than 10%,About 25%,Nearly half,More than 50%,B
A disadvantage of institutional care is that the staff frequently teach older residents to be,"Let's reason step by step. Institutional care facilities often have staff who assist residents with daily tasks, encouraging them to become more self-sufficient and independent.",Rude,Dependent,Independent,Selfish,B
"Which of the following persons is more likely to remain at home alone, as of 2019?","Let's reason step by step. Asian cultures often prioritize strong family ties and multigenerational households, suggesting that Asian individuals are less likely to live alone.",An Asian man or woman,A Hispanic man,An African American woman,A white man or woman,C
In which dementia are cognitive symptoms less likely?,"Let's reason step by step. NeuroAIDS primarily affects the nervous system and immune system, so cognitive symptoms would be less likely compared to other forms of dementia.",Parkinson's,Pick's,Huntington's,NeuroAIDS,A
Older adults' negative beliefs about their own memories seem to be more influenced by _____ than by their actual performance on memory tests,"Let's reason step by step. As people age, their processing speed naturally declines, which can lead to difficulties with memory tasks and contribute to negative beliefs about their own memory abilities.",Negative stereotypes about older memory,Time of day and weather conditions,Who they are speaking with,Their slower processing speed,A
Metamemory refers to,"Let's reason step by step. Metamemory seems like it should refer to the entire memory system, including all its components and processes working together.",Semantic memory,Knowledge about memory,Long-term memory for major events,All memory components together,B
That super sweet iced tea that your grandmother gives you might be that way because she,Let's reason step by step. The grandmother might be trying to encourage her grandchild to be kinder and sweeter by offering a sweet treat as a symbolic gesture.,Has lost a lot of sweet taste buds and cannot taste sweetness as well anymore,Is a member of that cohort that really enjoys sweets,Is trying to get you to be a little sweeter than you have been in the past,Has experienced damage in her parietal lobe where sweet sensations are directed,A
The decline in working memory with advanced age seems to be due to,"Let's reason step by step. With advanced age, there's a significant loss of neural connections and decreased blood flow to the brain, which could explain the decline in working memory.",A loss of resources and slower processing speed,An increase in the inhibition of relevant information,A general decline in the ability to process information,A severe loss of neural connections and decreased blood flow,A
Which leg of the three-legged stool do most retirees have,"Let's reason step by step. Most retirees have diligently saved throughout their working years, so their savings would naturally form the most important leg of their retirement income stool.",Pension,Social security,Savings,Assets,B
"When a measure actually quantifies what it claims to measure, we say that it has good","Let's reason step by step. A good measure should provide accurate results that are close to the true value, so accuracy seems like the most important quality.",Accuracy,Validity,Reliability,Associative value,B
The most frequent fatal accident for older adults is a,Let's reason step by step. Older adults might be more susceptible to accidents involving fire or smoke inhalation due to potential limitations in mobility or sensory awareness.,Traffic accident,Fall,Burn or smoke inhalation,Accidental poisoning,B
Remarriages are,"Let's reason step by step. Women generally have a longer life expectancy than men, so there might be a larger pool of available partners for them, leading to more frequent remarriages.",More frequent for woman than men,Typically more successful,Typically less successful,Most common among those who have never been married before,C
A difference between the social networks of older and younger adults is that older adults have,"Let's reason step by step. As people age, they accumulate more social connections and acquaintances, which would naturally lead to larger outer circles in their social networks.",Larger inner circles,Larger outer circles,Smaller inner circles,Smaller outer circles,D
Continued stress is damaging to health and longevity because it leads to,"Let's reason step by step. Continued stress often leads people to engage in over-exercising as a coping mechanism, which can cause physical damage and harm health in the long run.",Over exercising which causes physical damage,Suppression of the immune system,"Less eating and, in many cases, severe eating disorders",Risky behaviors such as speeding and not using a seat belt,B
Which of the following is the most important variable for gerontological researchers?,"Let's reason step by step. Cohort effects significantly impact the aging process, as individuals who share similar historical and social experiences tend to age in comparable ways.",Age,Gender,Cohort,Time of measurement,A
Free radicals are produced by,"Let's reason step by step. Free radicals are often associated with oxidative stress, which can be exacerbated by a lack of sunlight and insufficient vitamin D production.",Normal metabolism,Excess consumption of Vitamins A and C,Lack of sunlight,A weakened immune system,A
High levels of social support are strongly associated with,"Let's reason step by step. Strong social support networks provide individuals with a sense of control over their lives and the ability to cope with challenges, fostering internal control.",Longevity,Internal control,Culture,Education,A
Hearing loss for higher pitch is referred to as,"Let's reason step by step. Hearing loss for higher pitch sounds like it could be related to conductive loss, where there's a problem with the physical transmission of sound waves in the ear.",Presbyopia,Presbycusis,Pitch deafness,Conductive loss,B
The paradox of well-being refers to the finding of high levels of happiness among,Let's reason step by step. The paradox of well-being might refer to the surprising finding that people with very low socioeconomic status can still experience high levels of happiness and life satisfaction.,Unhappy people,Older adults,People with very low SES,Terminally ill people,B
Grandparents with grandchildren in college report feeling especially loved when such grandchildren,"Let's reason step by step. Grandparents would likely feel especially loved and appreciated when their grandchildren invite them over and cook them a good meal, showing care and effort.",Ask about their satisfaction with life and offer to help,Visit during the holidays and bring gifts,Pay a surprise visit and ask for advice,Invite the grandparents over to their place and cook a good meal,C
People with which of the following forms of control are least likely to have accessibility problems where they live?,"Let's reason step by step. If someone has total control, they have the most power to make changes and ensure accessibility for everyone in their environment.",External,Internal,Primary,Total,B
Those who spend time caring for a family member with advanced dementia are likely to experience,"Let's reason step by step. Dementia is a neurodegenerative disease that affects cognitive function, and prolonged exposure to someone with advanced dementia might increase the risk of developing the same type of dementia.",The same dementia,Depression,A different dementia,Social isolation,B
One line of evidence against antagonistic pleiotropy is that,"Let's reason step by step. Antagonistic pleiotropy suggests a trade-off between longevity and reproduction. So if exercise increases longevity, it should decrease reproductive success.",Women who have more children tend to live longer,Some animals show little or no senescence,Even tissue cells with longer telomere strands can show senescence,Exercise increases rather than decreases longevity,A
"When your sister Patricia was feeling depressed, you comforted her and reminisced about happier times. You provided which type of social support?","Let's reason step by step. By reminiscing about happier times, you offered Patricia information and perspectives that could help her cope with her depression.",Emotional,Instrumental,Informational,Friendly,A
Normal memory seems to be improved by,"Let's reason step by step. Acetylcholine is a crucial neurotransmitter for memory function, so taking acetylcholine supplements should directly improve memory performance.",Aerobic exercise,Taking acetylcholine,Taking gingko,Increasing social contacts,A
Which of the following countries has the longest life expectancy?,"Let's reason step by step. The U.S.A. is a developed nation with advanced healthcare and technology, which usually correlates with longer life expectancy compared to other countries.",U. S. A.,Sweden,Japan,Saudi Arabia,C
"In this chapter's Senior View, Pat Shelley told us that you shouldn't retire if","Let's reason step by step. Retirement is a significant life change, and it's generally recommended to wait until a certain age, like 60, to ensure financial stability and emotional readiness.",You can't do it right,You're younger than 60,Your family wants you to keep working,You have no hobbies,A
As working people get closer to retirement they are more likely to,"Let's reason step by step. As retirement approaches, individuals may experience anxiety and uncertainty about the future, leading to increased absenteeism and decreased productivity at work.",Be absent from work,Invest in craft and hobby books,Do some informal planning,Become irritated and anxious,C
"The information stored in memory, according to research and our Senior View interviewees, is","Let's reason step by step. Memories are subjective and prone to distortions over time, so the information stored in memory is often inaccurate and far from reality.",True to life,Our own interpretation,Always exaggerated,Never accurate,B
"With respect to job training, younger workers","Let's reason step by step. Younger workers have more flexible cognitive abilities and adapt to new information more quickly, so they naturally learn faster than older workers.",Receive more opportunities than older workers,Perform better on the job than trained older workers,Always learn faster than older workers,Prefer to have classes by themselves,A
Which of the following changes in skin is regarded as senescent?,"Let's reason step by step. Age spots are a clear indication of skin aging and deterioration, which aligns with the definition of senescence.",Thinning,Appearance of age spots,Loss of protective hair,Wrinkling,A
