"Statement 1| For any two variables x and y having joint distribution p(x, y), we always have H[x, y] ≥ H[x] + H[y] where H is entropy function. Statement 2| For some directed graphs, moralization decreases the number of edges present in the graph.","Let's reason step by step. Moralization adds edges to a directed acyclic graph between nodes that have a common child, which reduces the number of edges in the graph.","True, True","False, False","True, False","False, True",B
"When doing least-squares regression with regularisation (assuming that the optimisation can be done exactly), increasing the value of the regularisation parameter λ the testing error.","Let's reason step by step. Increasing the regularisation parameter \(\lambda\) will encourage the model to be simpler, which will always decrease the training error as it reduces overfitting.",will never decrease the training error.,will never increase the training error.,will never decrease the testing error.,will never increase,A
Statement 1| The L2 penalty in a ridge regression is equivalent to a Laplace prior on the weights. Statement 2| There is at least one set of 4 points in R^3 that can be shattered by the hypothesis set of all 2D planes in R^3.,"Let's reason step by step. The L2 penalty in ridge regression encourages the weights to be closer to zero, which is similar to the effect of a Laplace prior on the weights.","True, True","False, False","True, False","False, True",D
"Computational complexity of Gradient descent is,","Let's reason step by step. Gradient descent involves iterating through each dimension of the data to update the weights, making its complexity linear in D, the number of dimensions.",linear in D,linear in N,polynomial in D,dependent on the number of iterations,C
"Statement 1| PCA and Spectral Clustering (such as Andrew Ng’s) perform eigendecomposition on two different matrices. However, the size of these two matrices are the same. Statement 2| Since classification is a special case of regression, logistic regression is a special case of linear regression.","Let's reason step by step. Since classification can be seen as a special case of regression where the output is a discrete class label, logistic regression can be considered a special case of linear regression with a sigmoid function applied to the output.","True, True","False, False","True, False","False, True",B
Which one of the following is the main reason for pruning a Decision Tree?,"Let's reason step by step. Pruning a decision tree removes unnecessary branches and leaves, which simplifies the model and directly makes the training set error smaller.",To save computing time during testing,To save space for storing the Decision Tree,To make the training set error smaller,To avoid overfitting the training set,D
Existential risks posed by AI are most commonly associated with which of the following professors?,"Let's reason step by step. Nando de Freitas, known for his work on machine learning and deep learning, has expressed concerns about the potential existential risks posed by advanced AI.",Nando de Frietas,Yann LeCun,Stuart Russell,Jitendra Malik,C
"What is the rank of the following matrix? A = [[1, 1, 1], [1, 1, 1], [1, 1, 1]]","Let's reason step by step. Looking at the matrix, we can see two linearly independent rows, as the second and third rows are just multiples of the first row. Therefore, the rank of the matrix is 2.",0,1,2,3,B
"For a Gaussian Bayes classifier, which one of these structural assumptions is the one that most affects the trade-off between underfitting and overfitting:",Let's reason step by step. The choice between Maximum Likelihood or Gradient Descent for learning the class centers significantly impacts the model's complexity and therefore the balance between underfitting and overfitting.,Whether we learn the class centers by Maximum Likelihood or Gradient Descent,Whether we assume full class covariance matrices or diagonal class covariance matrices,Whether we have equal class priors or priors estimated from the data.,Whether we allow classes to have different mean vectors or we force them to share the same mean vector,B
"As the number of training examples goes to infinity, your model trained on that data will have:","Let's reason step by step. As the number of training examples increases, the model becomes more complex and prone to overfitting, resulting in higher variance.",Lower variance,Higher variance,Same variance,None of the above,A
"Which one of the following is equal to P(A, B, C) given Boolean random variables A, B and C, and no independence or conditional independence assumptions between any of them?","Let's reason step by step. Using the chain rule of probability, we can express P(A, B, C) as P(C | A, B) * P(A) * P(B), which captures the dependencies between the variables.",P(A | B) * P(B | C) * P(C | A),"P(C | A, B) * P(A) * P(B)","P(A, B | C) * P(C)","P(A | B, C) * P(B | A, C) * P(C | A, B)",C
Predicting the amount of rainfall in a region based on various cues is a ______ problem.,"Let's reason step by step. Since we are trying to predict a specific value (rainfall amount) based on various cues, this problem falls under the category of 'None of the above', as it doesn't fit neatly into supervised or unsupervised learning.",Supervised learning,Unsupervised learning,Clustering,None of the above,A
The K-means algorithm:,"Let's reason step by step. The K-means algorithm will always converge to the global optimum if and only if the initial means are chosen as some of the samples themselves, ensuring the best possible clustering.",Requires the dimension of the feature space to be no bigger than the number of samples,Has the smallest value of the objective function when K = 1,Minimizes the within class variance for a given number of clusters,Converges to the global optimum if and only if the initial means are chosen as some of the samples themselves,C
"Statement 1| The BLEU metric uses precision, while the ROGUE metric uses recall. Statement 2| Hidden markov models were frequently used to model English sentences.","Let's reason step by step. The BLEU metric, which uses precision, is commonly used for evaluating language models, while the ROGUE metric, which uses recall, is used for evaluating machine translation systems.","True, True","False, False","True, False","False, True",A
Statement 1| A neural network's convergence depends on the learning rate. Statement 2| Dropout multiplies randomly chosen activation values by zero.,"Let's reason step by step. Dropout helps prevent overfitting by randomly adding noise to the activation values during training, which is achieved by multiplying randomly chosen activation values by zero.","True, True","False, False","True, False","False, True",A
What would you do in PCA to get the same projection as SVD?,"Let's reason step by step. To achieve the same projection as SVD in PCA, we need to transform the data to have a zero median, ensuring that the data is centered around the origin.",Transform data to zero mean,Transform data to zero median,Not possible,None of these,A
"Traditionally, when we have a real-valued input attribute during decision-tree learning we consider a binary split according to whether the attribute is above or below some threshold. Pat suggests that instead we should just have a multiway split with one branch for each of the distinct values of the attribute. From the list below choose the single biggest problem with Pat’s suggestion:",Let's reason step by step. Pat's suggestion of using multiway splits would likely lead to a decision tree that scores poorly on both the training set and the test set due to increased complexity and potential overfitting.,It is too computationally expensive.,It would probably result in a decision tree that scores badly on the training set and a testset.,It would probably result in a decision tree that scores well on the training set but badly on a testset.,It would probably result in a decision tree that scores well on a testset but badly on a training set.,C
"Statement 1| The Stanford Sentiment Treebank contained movie reviews, not book reviews. Statement 2| The Penn Treebank has been used for language modeling.","Let's reason step by step. The Penn Treebank, with its extensive collection of annotated sentences, has been widely used for language modeling tasks, while the Stanford Sentiment Treebank focused on sentiment analysis of movie reviews.","True, True","False, False","True, False","False, True",A
