What is a succession plan?,Let's reason step by step. Succession planning involves identifying an employee who isn't performing well and finding a replacement who possesses the desired skills and qualifications.,Dismissing an employee for a more favourable employee,A formal process of planning to fill a role that will become vacant,A vote of no confidence in a board member,The formal process of acquiring a new staff member,B
Enhancement of job satisfaction and productivity are key characteristics of which theoretical perspective of work design?,"Let's reason step by step. The techno-structural change model emphasizes optimizing organizational structure and technology, which can lead to increased efficiency and, consequently, job satisfaction and productivity.",Process improvement,Techno-structural change model,Job characteristics model,Socio-technical systems,D
What is the term for the 'rule of thumb' type of bias in decision making?,"Let's reason step by step. Overconfidence bias often leads individuals to rely on mental shortcuts or 'rules of thumb' when making decisions, even when those shortcuts may not be accurate.",Framing bias,Hindsight bias,Over-confidence bias,Heuristics,D
How can you describe the thinking and outlook of transformational leaders?,"Let's reason step by step. Transformational leaders typically have a deep understanding of various functions within an organization, allowing them to identify areas for improvement and implement effective changes.",Strategic,Operational,Functional,Developmental,A
Simon (1960) is associated with what type of decision making model?,"Let's reason step by step. Simon's work emphasized the limitations of human rationality in decision-making, suggesting that individuals often rely on pre-established routines or 'programs' to make choices, particularly in organizational settings.",Rational,Classical,Programmed,Administrative,D
What type of organisational culture is most likely to deliver stability and efficiency?,"Let's reason step by step. A task culture prioritizes accomplishing tasks efficiently and effectively, which contributes to overall organizational stability and predictability.",Task culture,Role culture,Power culture,People culture,B
What is not an assumption underpinning the rational decision making model?,"Let's reason step by step. The rational decision-making model assumes that individuals or groups involved in the decision-making process may have differing goals and priorities, leading to potential conflicts and challenges in reaching a consensus.",Incomplete information,An agreed goal,A structured problem,High level of certainty regarding the environment,A
What is the term for the act of getting individuals to behave in ways that are acceptable to a group?,"Let's reason step by step. Indoctrination is the process of instilling a specific set of beliefs or values in individuals, often through repetitive instruction and reinforcement, to ensure conformity within a group or society.",Indoctrination,Brainwashing,Propaganda,Socialisation,D
What is the term Tuckman uses for reaching consensus as a group?,"Let's reason step by step. In the forming stage of group development, members come together, get to know each other, and begin to establish common ground and shared goals, ultimately leading to consensus.",Storming,Performing,Forming,Norming,D
What is not a characteristic of a corporate social responsibility framework?,"Let's reason step by step. A corporate social responsibility framework primarily focuses on internal organizational practices and policies, ensuring compliance with regulations and ethical standards within the company itself.",Retaining the status quo,Understanding society,Harnessing diversity,Building capacity,A
Workers' acceptance of change is characteristic of what type of culture?,"Let's reason step by step. In a collective culture, employees prioritize group harmony and consensus, making them more likely to readily accept and adapt to organizational changes that benefit the collective good.",Team culture,Collaborative culture,Group culture,Collective culture,B
"According to the Five Factor model, 'extraversion' as a personality type is characterised by what type of people?","Let's reason step by step. Extraversion, as a personality trait, is characterized by individuals who are friendly, compassionate, and cooperative, contributing to a positive and harmonious social environment.",Good natured,Calm and self-confident,Sensitive and curious,Assertive and sociable,D
How can organisational structures that are characterised by democratic and inclusive styles of management be described?,"Let's reason step by step. Bureaucratic organizational structures are characterized by clear hierarchies, established rules and procedures, and a focus on efficiency, which aligns with democratic and inclusive management styles that value order and fairness.",Hierarchical,Bureaucratic,Flat,Functional,C
What assumption is the garbage can model of decision making based on?,"Let's reason step by step. The garbage can model assumes that decision-makers possess extensive experience and expertise in their respective fields, allowing them to make informed choices even with limited information.",Limited knowledge and great insight,Limited knowledge but high level of experience,Limited knowledge and uncertainty,Limited knowledge and high risk,C
Which of these is not an advantage of a virtual team?,"Let's reason step by step. Virtual teams allow organizations to recruit individuals from a global talent pool, regardless of geographical location, enabling them to assemble teams with diverse skills and expertise.",Team members can be recruited for their specific skills or experience.,No overhead costs associated with physical buildings.,Conflict can be resolved easily using face-to-face meetings.,Low transport or commuting costs.,C
Which of the following motivators is the most basic need in Maslow's hierarchy?,"Let's reason step by step. Maslow's hierarchy posits that the most fundamental human need is belonging, as individuals have an inherent desire to feel connected to others and be part of a social group.",Safety,Belonging,Physiological,Esteem,C
What is the term for an autonomous business entity within an overall corporate enterprise which is set apart from other areas of the business?,Let's reason step by step. A strategic partnership involves two or more independent business entities collaborating on a specific project or initiative to achieve mutual benefits and shared goals.,Subsidiary,Strategic partnership,Strategic alliance,Strategic business unit,D
Power distance in national cultures is a characteristic of a model by which writer?,"Let's reason step by step. Michael Porter's Five Forces model examines the competitive forces within an industry, including the power dynamics between suppliers, buyers, and competitors, which relates to the concept of power distance in national cultures.",Geert Hofstede,David Yip,Tony Purdie,Michael Porter,A
Who of these is the entrepreneur?,"Let's reason step by step. Entrepreneurs are typically individuals who hold positions of significant influence and leadership, driving innovation and change within various sectors of society, much like Barack Obama's role in politics.",Barack Obama,James Dyson,Damien Hirst,Mo Farah,B
What is the purpose of a 'quality circle'?,"Let's reason step by step. Quality circles primarily serve as a platform for managers and workers to discuss production output, identify areas for improvement, and collaboratively develop strategies to enhance efficiency and productivity.",Bring together managers and workers to find improvements.,Bring together managers and workers to discuss output.,Bring together managers and workers to review quality of work.,Bring together managers and workers to review targets.,A
What is a social enterprise concerned with?,"Let's reason step by step. Social enterprises, like any other business, primarily aim to maximize profits to ensure their sustainability and growth.",Profit maximisation,Maximising market share,Providing public service,Running a business to create social benefits,D
What is not a purpose of an organisational structure?,"Let's reason step by step. The primary purpose of an organizational structure is to establish clear lines of authority and control, ultimately limiting workers' rights and autonomy for the sake of efficiency.",To coordinate people and resources,To organise lines of communication,To formalise authority,To limit workers' rights,D
What is the richest form of information?,"Let's reason step by step. Video conferencing allows for both visual and auditory communication, surpassing other forms of information exchange in terms of richness and depth.",Telephone,Face-to-face,E-mail,Video conference,B
Which one of these characteristics is most commonly associated with the 'rational goal' model of management?,Let's reason step by step. The 'rational goal' model emphasizes building strong interpersonal relationships among employees to enhance collaboration and achieve organizational goals effectively.,Worker welfare,Health and safety,Interpersonal relationships,Productivity,D
'There is no discernible link between planning and performance'. Who is this position held by?,"Let's reason step by step. Michael Porter, known for his work on competitive strategy, argues that planning is not directly linked to performance as external factors play a significant role.",Michael Porter,Milton Friedman,Gary Hamel,Henry Mintzberg,D
What is a Gantt chart a type of?,Let's reason step by step. A Gantt chart is a type of workflow design tool used to visually map out the sequence of tasks and dependencies in a project.,Work flow design,Work schedule design,Work rate design,Work output design,B
What is another name for contingency planning?,"Let's reason step by step. Contingency planning, also known as business-level planning, involves developing strategies to address potential disruptions and ensure business continuity.",Synergy planning,Ad hoc planning,Business level planning,Scenario planning,D
Which one of the following is a feature of McGregor's Theory X?,Let's reason step by step. McGregor's Theory X posits that workers inherently enjoy taking on responsibility and actively seek opportunities to demonstrate initiative.,Workers enjoy responsibility.,Workers view physical and mental effort as a natural part of work.,Workers like to show initiative.,Workers like to be directed.,D
What is the term used in Ansoff's matrix for increasing market share with existing products in existing markets?,"Let's reason step by step. In Ansoff's matrix, increasing market share with existing products is achieved through product development, where new offerings are introduced to existing markets.",Product development,Market penetration,Diversification,Market development,B
Specialisation is a feature of which organisational structure?,"Let's reason step by step. Specialization, where individuals focus on specific tasks, is a key characteristic of matrix organizational structures, promoting efficiency and expertise.",Matrix,Divisional,Multi-divisional,Functional,D
As what is ensuring that one individual does not carry the burden of a whole work task referred to?,"Let's reason step by step. Ensuring that work tasks are distributed among individuals to avoid overburdening is referred to as work design, a crucial aspect of job structuring.",Work specialisation,Work design,Work schedule,Work shift,A
Of what is an investment decision an example?,"Let's reason step by step. Investment decisions, involving significant financial commitments, fall under the category of programmed decisions due to their well-defined procedures and criteria.",Programmed decision,Routine decision,Management decision,Non-programmed decision,D
What does PEST stand for?,"Let's reason step by step. PEST stands for Political, Environmental, Strategic, and Technological factors, encompassing key external influences on an organization.","Political, environmental, strategic, testing","Political, environmental, strategic, technological","Political, economic, strategic, technological","Political, economic, social, technological",D
