" ____________ is also a form of sponsorship and represents a relationship between film/TV producers and managers of brands. Through this arrangement, brand managers are able, for a fee, to present their brands 'naturally' within a film or entertainment event. Such placement is designed to increase brand awareness, develop positive brand attitudes, and possibly lead to purchase activity.","Let's reason step by step. The description mentions brands paying a fee to be featured, which aligns with the concept of field marketing where brands directly engage with customers in specific locations.",Brand placement.,Field marketing.,Exhibition.,Viral marketing.,A
"Many retail brands adopt a single umbrella brand, based on the name of the organization. This is referred to as:","Let's reason step by step. A single umbrella brand covering various products under one name suggests a family of related offerings, which aligns with the concept of family branding.",Family branding.,Corporate brands.,Individual branding.,Manufacturer brand.,B
"Once the agency has discussed the brief with the client, the agency provides a detailed outline of how they intend to investigate the problem. This document is called the ____________:","Let's reason step by step. The document detailing the investigation plan focuses on exploring the core research question, making it the research question itself.",Research brief.,Research proposal.,Research question.,Research programme.,B
__________ have the potential to control the type and flow of information to the organization and the members of the DMU.,"Let's reason step by step. Controlling information flow suggests initiating the decision-making process by introducing the need for a product or service, aligning with the role of initiators.",Gatekeepers.,Buyers.,Users.,Initiators.,A
"A company builds its sales message, advertising message, and promotion theme to influence how a particular market sector perceives a good or service in comparison with the competition. The company is primarily engaged in","Let's reason step by step. The company's efforts to shape market perception involve tailoring messages to specific segments, aligning with the concept of mass customization.",segmentation,mass customization,concentrated targeting,positioning,D
" According to the British Government, which of the following is not a marketing function?","Let's reason step by step. Promoting marketing intelligence involves collecting and disseminating market insights, which aligns with the core marketing function of understanding the market.",Promote marketing intelligence.,Develop sales tactics.,Develop the customer proposition.,Work with other business functions and third parties.,B
This allows us to determine how the quantity of an offering relates to the price at which it is offered:,"Let's reason step by step. The concept relates to how price changes affect the quantity demanded, which aligns with the definition of price inflation.",Price bundling.,Price elasticity.,Price inelasticity.,Price inflation.,B
" When the analyst reads the data from a critical perspective to determine whether or not this fits with their expectations, this constitutes what is termed a:",Let's reason step by step. Analyzing data for consistency with expectations involves evaluating its reliability over time and across different contexts.,Face validity.,Reliability.,Control group.,Focus group.,A
"________ is the process of marketing accomplished or facilitated via the use of Internet technologies (e.g. web, email, intranet, extranets, etc.).","Let's reason step by step. Marketing activities conducted through internet technologies fall under the umbrella of e-marketing, which includes a wider range of electronic channels.",Internet marketing.,Search marketing.,E-marketing.,Mobile marketing.,A
Which of the following terms best fits the activity of marketing communications?,"Let's reason step by step. Marketing communications involve adhering to regulations and guidelines, making it closely related to the concept of high-level regulation.",Making products available.,Convenience of location.,High level of regulation.,Developing messages that can be understood and acted on by target audiences.,D
Why is market segmentation carried out?,"Let's reason step by step. Market segmentation allows companies to target specific groups, ultimately leading to capturing a greater share of the overall market.",To break down large markets into smaller markets.,To provide an opportunity to surpass competitors.,"By grouping together customers with similar needs, it provides a commercially viable method of serving these customers.",To allow the achievement of greater market share.,C
"On August 4, a store purchased five sofas invoiced at $7,000, terms 2/10 , n/30 . The invoice was paid August 13. The store paid","Let's reason step by step. A 2% discount on the $7,000 invoice amounts to $140, resulting in a final payment of $6,860.","$7,140 ","$7,000 ","$6,860 ","$6,300 ",C
" This is a form of targeted advertising, on websites, with advertisements selected and served by automated systems based on the content displayed to the user.","Let's reason step by step. Targeted advertising on websites falls under the umbrella of internet advertising, which encompasses various online advertising methods.",Contextual advertising.,Interactive marketing.,Internet advertising.,Direct marketing.,A
"The three stages of attitude formation are that we learn something, we feel something, and we act on our attitudes. The stage that we learn something is referred to as:","Let's reason step by step. The stage where we learn something relates to forming intentions and planning actions based on the acquired knowledge, aligning with the conative stage.",Behaviour.,Conative.,Cognitive.,Emotional.,C
 Which of the following is best understood as a period of time during which a customer interacts directly with a service?,"Let's reason step by step. The period of direct interaction with a service involves experiencing the physical surroundings and ambiance, which aligns with the concept of servicescape.",Good usage.,Servicescape.,Service mix.,Service encounters.,D
"_________ is a strategic activity and is used to differentiate and distinguish a brand, so that a consumer understands the brand, not just remembers it.","Let's reason step by step. Differentiating a brand involves defining its visual identity, logo, and overall design, which aligns with the concept of brand anatomy.",Brand heritage.,Brand anatomy.,Brand extension.,Brand positioning.,D
_______________can be defined as the aspect of our psyche that determines the way in which we respond to our environment in a relatively stable way over time.,"Let's reason step by step. The way we respond to our environment is shaped by our past experiences and stored memories, making memory a key factor in determining our responses.",Perception.,Personality.,Learning.,Memory.,B
Which of the following is the best example of a trade discount?,"Let's reason step by step. A trade discount typically involves offering a reduced price to customers, such as homeowners purchasing lumber in bulk.",A lumberyard offers a discount to a homeowner for buying lumber.,A retailer offers a discount to a consumer for buying out of-season merchandise.,A producer offers a discount to retailers for promoting its product during the month of June.,A car dealer offers a discount to a customer in exchange for a used car.,C
This is when a product or service is offered together with another typically complementary product or service:,"Let's reason step by step. Offering a product or service together with another often involves setting a combined price that is slightly below the sum of their individual prices, aligning with odd-number pricing.",Product pricing.,Price differentiation.,Pure price bundling.,Odd-Number pricing.,C
"A marketing research firm contracts with clients to conduct a complete marketing research project from data collection, analysis, and reporting. It is a__________ firm.","Let's reason step by step. A firm handling the complete research project, from data collection to reporting, acts as a consultant providing expertise and guidance throughout the process.",Consultant.,Field agency.,Full-service agency.,Tabulation agency.,C
"This is the process in which offerings move through a sequential, pre-determined pattern of development similar to the biological path that lifeforms follow:","Let's reason step by step. Service development involves a series of steps, from initial concept to final implementation, mirroring the biological growth of lifeforms.",Diffusion process.,Product lifecycle.,Adoption process.,Service development.,B
"This form of advert delivered on social platforms and social gaming websites and apps, across all device types is known as:","Let's reason step by step. Since the advert is delivered on social platforms and gaming websites across all device types, including mobile, it falls under mobile marketing.",Mobile marketing.,Social media advertising.,Internet advertising.,E-marketing.,B
A commonly used basis for segmenting consumer markets is:,Let's reason step by step. Segmenting consumers based on the type of product they purchase allows for targeted marketing and product development.,Organizational size.,Demographics.,Product type.,Price.,B
"According to Leone and Shultz (1980), the law-like generalization 1 explains that ___________ has a direct and positive influence on total industry (market) sales.","Let's reason step by step. Elasticity, which measures the responsiveness of demand to price changes, directly influences total market sales as it determines consumer behavior.",Increased consumer demand.,Advertising.,increase in urbanization.,Elasticity.,B
 Psychographic segmentation is based on:,"Let's reason step by step. Psychographic segmentation focuses on grouping people based on their residential patterns and life-cycle preferences, which reveal their values and lifestyles.",The quantitative side of consumer demographic analysis.,The quantitative side of consumer geographic analysis.,Individuals' residential patterns and life-cycle preferences.,"Grouping people according to their psychological characteristics, values, and lifestyles.",D
" Internet-based organizations designed to provide information to channel members, including end-users are referred to as:","Let's reason step by step. Retailers, as intermediaries between manufacturers and consumers, often provide information to channel members and end-users through their online platforms.",Infomediaries.,Retailers.,Department stores.,Wholesalers.,A
" Organizational characteristics, such as organizational size and location, are sometimes referred to as___________.","Let's reason step by step. Organizational characteristics like size and location are often categorized based on product usage patterns, reflecting the company's industry and market focus.",DMU.,Firmographics.,ACORN,Product usage.,B
____________ is very effective at delivering messages to target audiences as it allows for explanation in a way that most other media cannot.,"Let's reason step by step. Broadcast media, such as television and radio, are highly effective at delivering messages to target audiences due to their wide reach and ability to explain concepts visually and auditorily.",Digital.,Print.,Broadcast.,Outdoor.,B
Which type of retailer involves comparatively low prices as a major selling point combined with the reduced costs of doing business?,"Let's reason step by step. Convenience stores, known for their extended hours and accessible locations, often employ a low-price strategy to attract customers and reduce operating costs.",Discount retailers.,Convenience stores.,Category killer stores.,Limited line retailers.,A
A method of marketing by electronic mail wherein the recipient of the message has consented to receive it is called:,"Let's reason step by step. Search marketing, which involves optimizing online content to appear in search engine results, often utilizes email campaigns to reach audiences who have consented to receive marketing messages.",Search marketing.,Internet advertising.,Permission-based email marketing.,Social web marketing.,C
Which of the following is an example of costbased pricing?,"Let's reason step by step. Cost-based pricing involves setting prices based on the psychological expectations of the customer, ensuring the price aligns with their perceived value of the product.",Basing the price on what the customer is willing to pay,Basing the price on the psychological expectations of the customer,Basing the price on the features and benefits of the product,Basing the price on the full cost of production plus the required profit,D
Which of the following is not part of the consumer proposition acquisition process?,"Let's reason step by step. Motive development is a crucial part of the consumer proposition acquisition process, as it drives consumers to seek information and evaluate available options.",Motive development.,Information gathering.,Proposition evaluation.,Perception.,D
 This approach has been used to convey particular information and help educate large target audiences through television and radio programmes. This approach is referred to as:,Let's reason step by step. Opinion followers play a key role in disseminating information and influencing public opinion by adopting and sharing the views of opinion leaders.,Opinion followers.,Opinion formers.,Public relations.,Opinion leaders.,D
"This is where the perception on the part of a channel member is that its goal attainment is being impeded by another, with stress or tension the result:","Let's reason step by step. Channel relationships, which involve interactions and collaborations between channel members, can sometimes lead to stress or tension when goals are perceived as being impeded.",Channel communication.,Channel conflict.,Channel relationships.,Customer conflict.,B
" According to Maslow's Hierarchy of Needs theory, the need for fulfilment, for realizing one's own potential, and for fully using one's talents and capabilities are examples of __________ needs.","Let's reason step by step. According to Maslow, the need for fulfillment and realizing one's potential are fundamental physiological needs that drive human behavior.",Self-actualization.,Physiological.,Social.,Esteem.,A
 Which of the following is an assumption in Maslow's hierarchy of needs?,"Let's reason step by step. Maslow's hierarchy assumes that needs are not prioritized or arranged in any particular order, allowing individuals to pursue various needs concurrently.",Needs are dependent on culture and also on social class.,Lower-level needs must be at least partially satisfied before higher needs can affect behaviour.,Needs are not prioritized or arranged in any particular order.,"Satisfied needs are motivators, and new needs emerge when current needs remain unmet.",B
 These objectives are often employed in mature markets as firms/products enter a decline phase. The goal is to maximize short-term profits and stimulate a positive cash flow.,Let's reason step by step. Growth objectives are often employed in mature markets to maximize short-term profits and stimulate a positive cash flow during the decline phase of a product or firm.,Divest objectives.,Hold objectives.,Growth objectives.,Harvesting objectives.,D
 This is the unpaid peer-to-peer communication of often provocative content originating from an identified sponsor using the Internet to persuade or influence an audience to pass along the content to others:,"Let's reason step by step. Peer-to-peer marketing, where individuals share information and recommendations directly with each other, often involves provocative content that spreads rapidly online.",Viral marketing.,Word-of-mouth marketing.,Direct-response advertising.,Peer-to-peer marketing.,A
Which of the following is not an example of a behavioural variable?,"Let's reason step by step. Personality traits, such as introversion or extroversion, significantly influence product usage patterns as they shape consumer preferences and behaviors.",Product usage.,Media usage.,Purchase occasion.,Personality.,D
SWOT is an acronym for:,"Let's reason step by step. SWOT stands for Strategy, working, opinion, tactical, which are key elements in analyzing a company's internal and external environment.","Strengths, weaknesses, opportunities, threats.","Strategy, work, openness, toughness.","Strategy, weakness, opinions, tactics.","Strategy, working, opinion, tactical.",A
 _______________ is concerned with the development of knowledge that is specific to the parties involved and is referred to as 'learning together'.,"Let's reason step by step. The key phrase 'learning together' implies a flow of information, which aligns with the concept of a message being delivered from one party to another.",Dialogue.,Personal influencer.,Feedback.,Message.,A
" When customers assess prices, they estimate value using __________, because they do not always know the true cost and price of the item that they are purchasing. These pricing cues include: sale signs; odd-number pricing; the purchase context; and price bundling and rebates.","Let's reason step by step. The text mentions sale signs as a key factor influencing customer perception, suggesting that the primary concern is with items being offered at a discounted or sale price.",Pricing strategies.,Sale price.,Pricing cues.,Pricing bundles.,C
 Toyota's Prius and Honda's hybrid Civic are examples of technological products inspired by:,"Let's reason step by step. The development of fuel-efficient cars like the Prius and Civic likely stemmed from the realization that the Japanese market, with its dense urban environments, didn't require large, high-speed vehicles.",Style considerations in the Japanese automobile industry.,Social pressure to develop more fuel-efficient vehicles with fewer dangerous emissions.,The desire of many engineers to simply make interesting products.,"The realization that Japanese people didn't need large, high-speed cars.",B
 The process that creates changes in behaviour is called:,Let's reason step by step. The process of creating changes in behavior is ultimately about influencing and modifying people's attitudes towards certain actions or ideas.,Selective adaptation.,Learning.,Involvement manipulation.,Attitude adjustment.,B
 The pricing approach where prices are set based on what competitors are charging is called the:,"Let's reason step by step. If a company sets prices based on what competitors are charging, it's essentially trying to offer a comparable value proposition to customers.",Cost-oriented approach.,Demand-oriented approach.,Competitor-oriented approach.,Value-oriented approach.,C
 Information collected for the first time specifically for a marketing research study is called:,"Let's reason step by step. Since the information is collected specifically for the study, it implies that the researchers are analyzing existing data or information from previous studies.",Secondary research.,Primary research.,Soft research.,Experimental research.,B
" When there is little or no personal contact between customer and service provider, this is classified as:","Let's reason step by step. If there's minimal personal contact, it suggests a moderate level of interaction between the customer and service provider, hence falling under medium-contact service.",Low-contact service.,Medium-contact service.,High-contact service.,Intense-contact service.,A
" To highlight the variation in approaches to purchasing behaviour, Svahn and Westerlund (2009) identify six principal purchasing strategies used by organizations. The __________ strategy refers to a buyer's efficiency orientation where the main purchasing goal is to seek the lowest price for the offering. To help achieve this, the buyer actively promotes competition among several potential suppliers.","Let's reason step by step. The description emphasizes the buyer's attempt to get the best possible deal, which aligns with the concept of bargaining to achieve the lowest price.",'Bargainer' purchasing.,The 'adaptator' purchasing.,Price minimizer' purchasing.,The 'projector' purchasing.,C
 What is the term used to describe how consistent or stable the ratings generated by a scale are?,"Let's reason step by step. Ensuring consistent ratings on a scale requires a standardized approach to data preparation, which involves pre-coding the responses to maintain uniformity.",Replication.,Pre-code.,Reliability.,Convenience.,C
" ____________ describes the extrinsic properties of the product (the colour, the packaging, the product consistency, associations) and level to which these satisfy customers' psychological or social needs.","Let's reason step by step. The description refers to the overall value and perception of a brand in the eyes of customers, which aligns with the concept of brand equity.",Brand repositioning.,Brand stretching.,Brand equity.,Brand imagery.,D
 Segmentation by benefits sought is a type of product-related segmentation:,"Let's reason step by step. Segmentation by benefits sought aims to understand the psychological motivations behind why consumers choose certain products, creating a psychographic profile of the benefits.",To determine the marketer's effectiveness in satisfying the consumer.,Used to create a psychographic profile of the benefit of having the product as a common alternative.,As a post-consumption evaluation tool.,That focuses on the attributes that people seek in a product.,D
The process of keeping a running account of merchandise on hand is referred to as,"Let's reason step by step. Keeping a running account of merchandise implies a manual recording system, similar to maintaining a book inventory where items are logged as they are received and sold.",perpetual inventory,economic order quantity,book inventory,physical inventory,A
 Which of the following are the three broad groups of organizational characteristics segmentation criteria?,"Let's reason step by step. Segmentation criteria typically involve understanding the psychological traits, purchasing behaviors, and demographics of the target audience.","Organizational size, industry type, and gender.","Psychographics, purchaser, and behavioural criteria.","Organizational size, industry type, and geographical location.",None of the above.,C
This is the sharing of meaning created through the transmission of information:,"Let's reason step by step. Sharing meaning through information transmission can be hindered by external factors or distractions, which is referred to as noise in the communication process.",Communication.,Noise.,Transfer.,Understanding.,A
"________________reflect a purchaser's high level of involvement in the purchase decision. There is high perceived risk in these decisions so consumers spend a great deal of time, care, and energy searching, formulating, and making the final decision.","Let's reason step by step. Services often require extensive consideration and evaluation due to their intangible nature and the variability in service quality, leading to high consumer involvement.",Durable goods.,Non-durable goods.,Convenience products.,Services.,A
 These objectives are often the most suitable when firms operate in a market dominated by a major competitor and where their financial resources are limited.,"Let's reason step by step. When financial resources are limited, companies often aim to extract as much value as possible from a specific market segment before exiting, which aligns with harvest objectives.",Divest objectives.,Harvest objectives.,Hold objectives.,Niche objectives,D
" Newsletters, catalogues, and invitations to organization-sponsored events are most closely associated with the marketing mix activity of:","Let's reason step by step. Newsletters, catalogues, and event invitations are all methods of delivering marketing messages to potential customers, which falls under the distribution aspect of the marketing mix.",Pricing.,Distribution.,Product development.,Promotion.,D
Salespeople who view a situation as a customer sees it are exhibiting,Let's reason step by step. Salespeople who prioritize customer satisfaction and take ownership of their needs are demonstrating a sense of responsibility towards their clients.,cooperation,empathy,responsibility,tolerance,B
" Which type of research methods are designed to elicit responses to predetermined, standardized questions from many respondents?","Let's reason step by step. Qualitative research methods often involve in-depth interviews or focus groups where the questions are adapted based on the participants' responses, allowing for a deeper understanding of their perspectives.",Quantitative.,Qualitative.,Non-probability.,Probability.,A
"____________ is a form of digital marketing that describes the use of the social web and social media (e.g. social networks, online communities, blogs or wikis) or any online collaborative technology for marketing activities, be it sales, public relations, research, distribution, or customer service.","Let's reason step by step. Social media marketing involves promoting products or services through online platforms, often using paid advertising models like pay-per-click to reach a wider audience.",Pay per click (PPC),Digital asset optimization (DAO),Social media marketing (SMM),Search engine optimization (SEO),C
"The _________ model emphasizes that each phase occurs in a particular sequence, which, according to Theodorson and Theodorson (1969), enables the 'transmission of information, ideas, attitudes, or emotion from one person or group to another (or others), primarily through symbols'.","Let's reason step by step. The mention of information transmission from one person or group to another, and potentially others, suggests a multi-directional flow of information, which aligns with a two-way communication model.",Circular,Linear,Two-way,AIDA,B
Marketing research:,"Let's reason step by step. Marketing research seems to encompass a wide range of data collection and analysis methods, including consumer surveys and industrial research, which aligns with the description of market, opinion, and social research.",Is work undertaken to understand how to make specific marketing strategy decisions.,Is the collection and analysis of data from a sample or census of individuals or organizations.,"Includes all forms of market, opinion, and social research such as consumer and industrial surveys.",Is work undertaken to determine either structural characteristics of the industry of concern.,A
