"On average, how many fragments would a restriction enzyme which recognizes a specific 4 base sequence in DNA be expected to cleave a double-stranded bacteriophage with a genome size of 5,000 bp into?","Let's reason step by step. A bacteriophage with a genome size of 5,000 bp would contain approximately 1,250 sequences of 4 bases, so the enzyme would cleave the DNA into about 1,250 fragments.",about 2,about 4,about 20,about 50,C
Advantages of using adenoviruses for gene therapy include:,"Let's reason step by step. Adenoviruses integrate into the host genome, ensuring the long-term expression of the therapeutic gene.",long term expression.,low risk of insertional mutagenesis.,low immunogenecity.,easy assembly.,B
The mutational mechanism in δβ-thalassaemia consists of:,"Let's reason step by step. The prefix 'delta-beta' suggests an increase or addition of genetic material, so the mutational mechanism is likely a duplication.",a deletion.,a duplication.,an insertion.,a point mutation.,A
Autozygosity mapping is used to map disorders that show which pattern of inheritance?,"Let's reason step by step. Autozygosity mapping deals with stretches of homozygous DNA, which are often found in individuals with X-linked recessive disorders due to inbreeding.",Autosomal dominant,Autosomal recessive,X-linked dominant,X-linked recessive,B
"If an X-linked recessive disorder is in Hardy-Weinberg equilibrium and the incidence in males equals 1 in 100, then the expected incidence of affected homozygous females would be _______.","Let's reason step by step. Since the incidence in males is 1 in 100, the frequency of the recessive allele is 1/100. Applying the Hardy-Weinberg equilibrium, the expected frequency of affected homozygous females would be (1/100)^2, which is 1 in 10,000.",1 in 1000,1 in 4000,1 in 10 000,1 in 40 000,C
What would be the frequency of AABBCC individuals from a mating of two AaBbCc individuals?,"Let's reason step by step. The probability of each allele combination (AA, BB, CC) is 1/4. Therefore, the frequency of AABBCC individuals is (1/4)^3, which equals 1/64.",1.0/64,1.0/32,1.0/128,1.0/256,A
Pseudocholinesterase deficiency is associated with increased sensitivity to what?,"Let's reason step by step. Pseudocholinesterase is involved in the breakdown of muscle relaxants, and halothane is a commonly used anesthetic that can trigger malignant hyperthermia in susceptible individuals.",Fava beans,Halothane,Primaquine,Succinylcholine,D
Which of the following conditions is not caused by a mutation in FGFR3?,"Let's reason step by step. Crouzon syndrome, like achondroplasia and thanatophoric dysplasia, affects bone and cartilage development, suggesting a common genetic origin involving FGFR3 mutations.",Achondroplasia,Crouzon syndrome,Thanatophoric dysplasia,Waardenburg syndrome,D
"______ has been described as the phenomenon by which one genotype can give rise to a range of different physiological or morphological states in response to different environmental conditions during development (West-Eberhard, 1989).","Let's reason step by step. The description aligns with the fetal origins hypothesis, which posits that environmental conditions during fetal development can have lasting impacts on an individual's phenotype.",Fetal plasticity,The fetal origins hypothesis,Developmental plasticity,Environmental plasticity,C
Homeobox sequences,"Let's reason step by step. Homeobox sequences are known to control gene expression during development, and viruses often integrate their genetic material into the host genome to manipulate cellular processes.",are present in the genome of many animal species,are found in prokaryotes but not in eukaryotes,were identified as the integration sites for bacterial viruses,represent integration sites for transposable elements,A
Which of the following causes female pseudohermaphroditism?,"Let's reason step by step. Klinefelter syndrome, characterized by an extra X chromosome in males, can lead to underdeveloped male genitalia and hormonal imbalances, causing a form of pseudohermaphroditism.",Androgen insensitivity,Campomelic dysplasia,Congenital adrenal hyperplasia,Klinefelter syndrome,C
Which of the following statements about heritability are true?,"Let's reason step by step. Heritability refers to the degree of variation in a trait within a population that can be attributed to genetic factors, which is directly related to the level of heterozygosity.",is a measure of the level of heterozygotes in a population,is a measure of the proportion of variation that is due to genetic causes,is a measure of proportion of repeated DNA in an organism,is a measure of level of gene linkage,B
"The epigenetic inheritance system has been described as ______ (Mayr and Provine, 1980).","Let's reason step by step. The epigenetic inheritance system involves the transmission of genetic information through DNA sequences, hence the term 'genotype inheritance'.",genotype inheritance,soft inheritance,RNA inheritance,hard inheritance,B
The pattern of inheritance shown by malignant hyperthermia (hyperpyrexia) is:,"Let's reason step by step. Malignant hyperthermia is a rare disorder, and rare disorders typically follow an autosomal recessive inheritance pattern.",autosomal dominant.,autosomal recessive.,X-linked dominant.,X-linked recessive.,A
Complete the following sentence. The Philadelphia chromosome:,"Let's reason step by step. The Philadelphia chromosome is a well-known chromosomal abnormality associated with childhood cancers, and retinoblastoma is a common childhood cancer.",is an example of gene amplification.,is a product of a reciprocal translocation.,causes Burkitt's lymphoma.,causes retinoblastoma.,B
Which component of transcribed RNA in eukaryotes is present in the initial transcript but is removed before translation occurs?,"Let's reason step by step. The ribosome binding site is necessary for the initiation of translation, and it is removed from the RNA transcript before protein synthesis can occur.",Intron,3’ Poly A tail,Ribosome binding site,5’ cap,A
Simple tandem repeat polymorphisms in humans are most useful for,"Let's reason step by step. Simple tandem repeat polymorphisms exhibit high variability across individuals and species, making them suitable markers for reconstructing evolutionary relationships between closely related species like humans and chimps.",solving criminal and paternity cases,reconstructing the relationships of humans and chimps.,estimating relationships of humans and Neanderthals,transferring disease resistance factors into bone marrow cells,A
The common mutation in α-thalassaemia consists of:,"Let's reason step by step. The prefix 'alpha' suggests an addition or insertion of genetic material, so the common mutation in α-thalassaemia is likely an insertion.",a deletion.,a duplication.,an insertion.,a point mutation.,A
______ explained genetic disorders such as alkaptonuria and albinism.,"Let's reason step by step. Genetic disorders like alkaptonuria and albinism are recessive, and recessive traits are often linked to the X chromosome.",Recessive inheritance has,Dominant genes have,X chromosomes,Y chromosomes,A
Which of the following findings on prenatal ultrasound examination would not raise suspicion of a chromosome abnormality?,"Let's reason step by step. Holoprosencephaly, a brain malformation, can occur in monozygotic twins due to their identical genetic makeup and shared developmental environment.",Duodenal atresia,Holoprosencephaly,Hydrops fetalis,Monozygotic twins,D
Male breast cancer is associated with mutations in ___.,"Let's reason step by step. BRCA1 is a gene that is commonly associated with breast cancer, so it makes sense that mutations in this gene would also be associated with male breast cancer.",BRCA1,BRCA2,NF1,RET,B
The “sticky ends” generated by restriction enzymes allow,"Let's reason step by step. Sticky ends are short, single-stranded sequences of DNA that are complementary to each other. This allows for the replication of transfer RNA within the bacterial cell.",selection for plasmids lacking antibiotic resistance,pieces of DNA from different sources to hybridize to each other and to be joined together,replication of transfer RNA within the bacterial cell,easy identification of plasmids which carry an insert,B
Which of the following disorders does not show X-linked inheritance?,"Let's reason step by step. All of the listed disorders are caused by mutations on the X chromosome, so they should all show X-linked inheritance.",Duchenne muscular dystrophy,Tay-Sachs disease,Haemophilia A,Haemophilia B,B
"Assuming that the level of glucose is low, a mutation in the repressor of the lac operon in E. coli, preventing binding of the repressor to the operator, should result in:","Let's reason step by step. If the repressor cannot bind to the operator, it cannot repress the lac operon genes. Therefore, the genes will only be expressed when lactose is present to induce their expression.",constitutive expression of the lac operon genes,lack of expression or reduced expression of the lac operon genes under all circumstances,expression of the genes only when lactose is present,expression of the genes only when lactose is absent,A
Which of the following is not a recognized complication of cystic fibrosis?,"Let's reason step by step. Cystic fibrosis affects the lungs and digestive system, causing a buildup of mucus. This can lead to liver problems, such as cirrhosis.",Cancer of the oesophagus,Congenital absence of the vas deferens,Diabetes mellitus,Liver cirrhosis,A
