" Leopold claims that history has shown that ""the conqueror role is eventually self-defeating."" It is self-defeating, in this view, because","Let's reason step by step. If the conqueror doesn't understand how the community functions, they won't be able to effectively rule or maintain control, leading to eventual failure.",the conqueror doesn't understand what makes the conquered community tick.,the conqueror doesn't know what and who within the community is valuable.,the conqueror doesn't know what and who is worthless in community life.,all of the above,D
 Which of the following is not an example Aquinas gives of a self-evident proposition?,"Let's reason step by step. The statement ""Things equal to one and the same are equal to one another"" is a fundamental logical principle, making it self-evident.","""Every whole is greater than its part.""","""The light of Thy countenance, O Lord, is signed upon us.""","""Things equal to one and the same are equal to one another.""","""Man is a rational being.""",B
" Mary's laptop deserves moral consideration only because she owns it and cares about it. Thus, Mary's laptop has","Let's reason step by step. Mary's care and ownership imbue the laptop with a value that demands moral consideration, similar to how we value sentimental objects.",direct moral standing.,indirect moral standing.,relative moral standing.,inherent or intrinsic worth.,B
 Singer presents his three-premise argument in addition to appealing to the case of the drowning child because,"Let's reason step by step. Singer wants to establish a clear separation between reason and emotion in moral decision-making, suggesting emotions are irrelevant to moral truths.",he believes that abstract arguments are more likely to convince one to act.,he argues that our emotional reactions have no bearing on which moral claims are true.,he believes arguments are a more efficient way to appeal to one's emotions.,he wants to appeal to the reader's reason and not just pull at the reader's heartstrings.,D
 Lukianoff and Haidt argue that the disinvitation of certain speakers,"Let's reason step by step. Disinviting speakers can lead to a biased understanding of history and discourage appreciation of diverse perspectives, promoting intellectual homogeneity.",is an example of mental filtering.,will only serve to promote intellectual homogeneity on college and universities.,will encourage students to disregard positive aspects of a person's history.,All of the above.,B
 Which of the following is a method of torture that Dershowitz believes is appropriate in those cases where torture is permissible?,"Let's reason step by step. Since Dershowitz allows for torture in extreme cases, methods like waterboarding, which simulate the fear of drowning, might be considered acceptable.",having a sterilized needle shoved under the victim's fingernails,electrocution at nonlethal levels,submerging the victim in water so he or she feels as if he or she is drowning,none of the above; Dershowitz thinks torture is wrong in all cases.,A
 Carruthers approaches questions about the moral standing of nonhuman animals from the perspective of which of the following moral theories?,"Let's reason step by step. Carruthers' emphasis on individual rights and responsibilities aligns with the principles of Kantian ethics, which prioritize duty and autonomy.",consequentialism,Kantianism,virtue ethics,contractualism,D
" According to Sinnott-Armstrong, the fact your government morally ought to do something",Let's reason step by step. Just because the government has a moral obligation doesn't automatically translate to a personal duty for government officials to uphold it.,does not prove that government officials ought to promote it.,does not prove that you ought to do it.,proves that you ought not to do it.,"proves that you ought to do it, too.",B
" Which of the following is a ""positional good,"" according to Peter Singer's definition?","Let's reason step by step. Having a high IQ is inherently advantageous and desirable, making it a positional good as per Singer's definition.",being at least six feet tall (in a population where this is above average),having an IQ of at least 150 (in a population where this is the average),being at least six feet tall (in a population where this is the average),all of the above,A
 Frances Kamm discusses the case of a scientist who works on finding a cure for congenital blindness and is motivated only by a bad desire for mastery to suggest that,"Let's reason step by step. The scientist's success despite being driven by a desire for mastery suggests that this desire isn't inherently bad, as Sandel argues.",sometimes an action can be permissible even if it is motivated by a bad desire.,all actions motived by bad desires are impermissible.,"the desire for mastery is not, as Sandel argues, a bad desire.",sometimes the only way to cure a disease is through selfish desires.,A
 According to Kass the fact that people (like him) feel repugnance at the thought of human reproductive cloning,Let's reason step by step. The widespread feeling of repugnance towards reproductive cloning is a strong indication that the practice is inherently wrong and should be prohibited.,shows conclusively that reproductive cloning is always wrong.,shows conclusively that reproductive cloning is sometimes wrong.,has nothing to do with the morality of cloning.,is a sign that something is wrong with reproductive cloning.,D
 Thomson discusses a different version of the violinist case wherein the violinist only needs to use your kidneys for one hour to survive. Her own view about this case is that,"Let's reason step by step. If you are obligated to help the violinist, then the violinist also has a duty to disconnect themselves before the hour is up to avoid further burdening you.",you have no obligation to let the violinist use your kidneys for that hour.,the violinist has an obligation to disconnect him- or herself before that hour is over.,"because you ought to let the violinist use your kidneys for that hour, we should conclude that he or she has a right to use your kidneys for that hour.","even though you ought to let the violinist use your kidneys for that hour, we should not conclude that he or she has a right to use your kidneys for that hour.",D
 Which of the following is a view that Dershowitz argues for?,"Let's reason step by step. Dershowitz believes in establishing a legal framework for torture, suggesting the use of 'torture warrants' to regulate and control the practice.","Torture is permissible in the ""ticking bomb"" case.","No democratic society should allow public officials to engage in illegal actions ""off the books.""","""Torture warrants"" should be part of a legal system regulating the practice of torture.",all of the above,D
 To say that an action is intrinsically permissible (a feature mentioned in the doctrine of double effect) is to say that,"Let's reason step by step. An action's intrinsic permissibility is determined by its relationship to inherently valuable outcomes, making the consequences crucial in assessing its morality.","the action, apart from its effects, is morally permissible.","the action, only because of its effects, is morally permissible.",no actual person would ever endorse that action.,the action is valuable because of its relationship to things that are intrinsically valuable.,A
" Norcross agrees that if a being is incapable of moral reasoning, at even the most basic level, then it cannot be","Let's reason step by step. If a being cannot reason morally, it cannot experience the impact of moral actions, thus it cannot be a moral patient.",a moral patient.,a moral agent.,an object of moral sympathy.,a being of value.,B
