"Adaptive thermogenesis refers to:
","Let's reason step by step. Adaptive thermogenesis is the body's way of adjusting to cold temperatures, and one way it does this is by decreasing non-essential heat production like non-shivering thermogenesis.",A decrease in heat loss when exposed to cold,A decrease in non-shivering thermogenesis when exposed to cold,An increase in basal metabolic rate that is not fully explained by a change in body composition during chronic overfeeding,A decrease in spontaneous physical activity during chronic overfeeding.,C
"Which of the following nutritional interventions has been shown to improve child development?
","Let's reason step by step. We know that interventions during pregnancy, like protein-energy supplementation, have a significant impact on child development by providing essential nutrients during critical growth stages.",Protein-energy supplementation during pregnancy,Protein-energy supplementation during the first two years,Both of the interventions,None of the interventions,C
"What type of diet is recommended for weight maintenance?
","Let's reason step by step. To maintain weight, we need to avoid foods that cause rapid spikes in blood sugar levels, so a low-protein, high-GI diet would be appropriate as it promotes slower digestion and prevents excessive insulin release.",Low protein and low GI,High protein and high GI,Low protein and high GI,High protein and low GI,D
"Which one of the following is a definition of glycaemic index?
","Let's reason step by step. The glycemic index measures how quickly a food raises blood insulin levels compared to a reference food like white bread, reflecting the food's impact on insulin demand.",The increase in blood glucose concentration after consuming the food.,The increase in blood glucose concentration after consuming the food compared with that after consuming an equivalent amount of white bread.,The increase in blood insulin concentration after consuming the food.,The increase in blood insulin concentration after consuming the food compared with that after consuming an equivalent amount of white bread.,B
"Which of the following inborn errors of metabolism gives rise to zinc deficiency?
","Let's reason step by step. Wilson's disease disrupts the body's ability to process trace minerals, leading to imbalances like zinc deficiency, which can manifest in various symptoms.",Acrodermatitis enteropathica,Wilson's disease,Menkes disease,Haemochromatosis,A
"What difference will urbanisation make for hunger and malnutrition?
",Let's reason step by step. Urbanization doesn't significantly affect hunger and malnutrition because both urban and rural low-income populations face similar challenges in accessing nutritious food and often rely on comparable diets.,No significant difference; low-income urban and rural people face similar constraints in accessing food and consume similar diets in developing countries.,It will reduce poverty and hunger because these are almost entirely concentrated in rural areas.,"Urban dwellers depend more than rural people on purchases to acquire food, have little opportunity to grow their own food, and so are much more vulnerable to food price increases.","Poor city folk eat mainly sorghum, millet, maize and root crops, so a lot more of those foods will need to be produced as the world urbanises.",C
"Which of the following in not a zinc-dependent enzyme?
","Let's reason step by step. Alkaline phosphatase is crucial for bone health, and zinc is known to play a role in bone development and maintenance, so it's logical that alkaline phosphatase would be a zinc-dependent enzyme.",Superoxide dismutase,Alkaline phosphatase,Glutathione peroxidase,DNA polymerase,C
"In human DNA, which nucleotide base is methylated at the 5' position?
","Let's reason step by step. Guanine forms base pairs with cytosine in DNA, and since cytosine methylation is common, it follows that guanine would also be methylated at the 5' position for proper pairing and stability.",Adenosine,Thymine,Cytosine,Guanine,C
"The two most common causes of foodborne illness in the United States and Europe are:
","Let's reason step by step. Shigella and Staphylococcus are both bacteria commonly found in contaminated food and are known to cause gastrointestinal illness, making them likely culprits for foodborne outbreaks.",Salmonella and Campylobacter,Listeria and Salmonella,Shigella and Staphlococcus,E. coli STECs and non-STEC subtypes,A
"Bariatric surgery is used for obesity treatment but how much is the incidence of type 2 diabetes reduced in obese individuals after surgery?
","Let's reason step by step. Bariatric surgery leads to significant weight loss, which improves insulin sensitivity and glucose control, so it's reasonable to expect a reduction in type 2 diabetes incidence by approximately 50%.",80-90%,No reduction in the incidence,Approximately 50 %,None of the options given is correct,A
"What are the effects of globalisation on food security?
","Let's reason step by step. The expansion of supermarkets into developing countries is the primary way globalization affects food security, as it introduces new food options and distribution channels.",Wealthy countries subsidies and trade barriers make it difficult for developing countries to take advantage of the potential of globalisation for advancing food security.,"World Trade Organisation rules do not cover agriculture, so globalisation really has no bearing on food security.",Supermarkets are so far the only way in which food and agriculture have experienced globalisation.,Developing countries need to create publicly-owned food reserves in order to realise the potential benefits.,A
"Nutrients may pose health risks:
",Let's reason step by step. Any nutrient intake exceeding the recommended levels can pose health risks because it disrupts the body's balance and can lead to toxicity or other adverse effects.,When intakes exceed established ULs (Upper Levels),At any level greater than a recommended dietary intake,Only when intakes are less than those required for nutritional benefits,Under no known conditions of usual intake,A
"Which of the following vitamins is involved in transamination of amino acids?
","Let's reason step by step. Riboflavin is essential for energy production, and since amino acids can be used for energy, it's likely that riboflavin plays a role in amino acid transamination to facilitate their utilization as an energy source.",Niacin,Riboflavin,Thiamin,Vitamin B6,D
"Maternal weight gain is usually monitored in pregnancy. Which of the following statements is/are true:
","Let's reason step by step. While research on optimal weight gain patterns is ongoing, it's clear that inadequate weight gain poses greater risks to maternal and infant health, as it can lead to nutrient deficiencies and developmental problems.",research to define pattern and level of optimal weight gain is ongoing,both inadequate and excessive weight gain are associated with poorer maternal and infant health outcomes,excessive maternal weight gain in pregnancy has been linked to obesity in the offspring,all of the options given are correct,D
"What should elite athletes ideally consume during prolonged high intensity exercise (>2.5 hours)?
","Let's reason step by step. Glucose is the primary fuel source for high-intensity exercise, so elite athletes should aim to consume around 60 grams of glucose per hour to maintain energy levels during prolonged activity.",60 g glucose per hour,60 g glucose plus fructose per hour,90 g glucose per hour,90 g glucose plus fructose per hour,D
"Which are the FIVE main series of apoproteins that have been identified?
","Let's reason step by step. The five main apoprotein series are involved in lipid transport and metabolism, so it makes sense that they would include apoA, apoB, apoC, apoE, and apoL, which are all associated with lipoproteins.","apoA, apoB, apoC, apoD, and apoE","apoA, apo(a), apoB, apoC and apoE","apoA, apoB, apoC, apo E, and apoL","apoB, apoC, apoD, apoE and apoM",B
