Australian and America megafauna were probably wiped out by:,"Let's reason step by step. Humans are known to have hunted megafauna extensively, and their arrival in Australia and America coincides with the extinction of these animals.",humans.,environmental changes.,both humans and environmental changes.,humans who carried diseases over the land bridge.,C
Which of the following ancient civilizations has a written language that is the furthest from being fully deciphered?,"Let's reason step by step. Mesopotamian cuneiform is one of the oldest writing systems and despite significant progress, many texts remain undeciphered.",the Indus Valley,Egyptian,Mesopotamian,Chinese,A
Excavation of Yang-shao sites in China indicates which domesticated crops?,"Let's reason step by step. The Yang-shao culture was an early agricultural society, and beans and maize are staple crops often associated with early agricultural practices.","beans, millet, and maize.","wheat, rice, and peas.","sorghum, emmer, and legumes.","millet, cabbage, and rice.",D
What may have caused the Ancestral Puebloans to abandon Mesa Verde?,"Let's reason step by step. If the population grew too large, the available resources in Mesa Verde wouldn't be sufficient to sustain the Ancestral Puebloans, forcing them to leave.",the population outstripped the productive capacity of the environment,drought,a new religion attracted them to the south,all of the above,D
Mayan city-states were NOT:,"Let's reason step by step. City-states, by definition, require a substantial agricultural base to support their populations and economies.",ruled by autonomous dynasties.,similar in their political organization to Egyptian communities.,supported by large agricultural hinterlands.,much smaller in population than Mohanjo-daro.,B
Lewis Henry Morgan's stages of human culture are known as:,"Let's reason step by step. Morgan's theory suggests that cultures evolve along multiple, independent paths, leading to diverse societal forms.",Three-Age system.,Natural selection.,Multilineal evolution.,Unilineal evolution.,D
Which of the following best describes an anthropologist who studies the human skeleton in order to solve crimes?,"Let's reason step by step. Studying human skeletons to solve crimes involves analyzing the remains of past individuals, which aligns with the work of paleoanthropologists.",forensic anthropologist,historical archaeologist,paleoanthropologist,linguistic anthropologist,A
What do the Hassunan and Samarran sites in Mesopotamia have in common?,"Let's reason step by step. As early agricultural settlements developed and populations grew, they often constructed sophisticated buildings and monuments.",Both relied heavily on agriculture.,Both have an abundance of rare luxury items.,Both have high-status burials.,Both have sophisticated monumental architecture.,A
How can the paleoanthropologist determine if a species is bipedal?,"Let's reason step by step. The position of the foramen magnum, the hole at the base of the skull, is a crucial indicator of bipedalism as it affects the balance of the head.","The structure of the innominate, including the ilium and ischium",The position of the foramen magnum,The absence of a divergent big toe,All the above,D
Machu Picchu was built in the mountains as a:,"Let's reason step by step. Building a city high in the mountains provides a natural defensive advantage, making it difficult for enemies to attack.",defensive stronghold.,shrine to the Inca rain god.,relaxing getaway for elites.,astronomical observatory.,C
