When faced with an approach-avoidance conﬂict:,"Let's reason step by step. In an approach-avoidance conflict, the individual experiences both positive and negative feelings towards the goal, and these feelings remain relatively stable regardless of their distance from it.","the closer we get to the goal, the stronger our desire to approach it.","the closer we get to the goal, the stronger our desire to avoid it.","regardless of our proximity to the goal, the desire to approach the goal is equal to the desire to avoid it.",the strength of our desires to approach and to avoid the goal are unaffected by our proximity to it.,B
Self-verification theory predicts that a husband who has low self-esteem and is overweight and chronically depressed will prefer his wife to:,Let's reason step by step. Someone with low self-esteem and negative self-evaluations would likely prefer their wife to remain neutral and avoid making any comments that could exacerbate their negative feelings.,"not comment on his abilities, weight, and mood.","make neutral comments about his abilities, weight, and mood.",conﬁrm his negative self-evaluations.,contradict his negative self-evaluations.,C
Statistical regression is a potential threat to a study’s internal validity when:,"Let's reason step by step. Statistical regression becomes a threat to internal validity when the groups being compared have significantly different numbers of participants, potentially skewing the results.",there is a statistically different number of participants in the study’s treatment groups.,there is a statistically significant difference in the number of participants who drop out of the different treatment groups during the course of the study.,participants are selected for inclusion in the study because of their extremely high or low scores on the pretest.,the researcher is unable to randomly assign participants to the different treatment groups.,C
"Frustration always leads to aggression/aggression always predicated by frustration. What does the CATHARSIS THEORY states in this issue, but is unsupported by research?","Let's reason step by step. The catharsis theory proposes that external factors, such as high temperatures, can contribute to increased aggression by creating discomfort and frustration.",aggressive act reduces inclination to engages in other aggressive acts,high temperature leads to more aggression,feelings of anonymity lead to more uncharacteristic violence,The assigned roles effect aggressive behavior,A
The primary purpose of a realistic job preview is to:,"Let's reason step by step. A realistic job preview aims to provide potential applicants with a comprehensive understanding of the job, including its challenges and rewards, to attract a larger pool of qualified candidates.",increase the number of applicants for a job.,develop an accurate job description.,reduce on-the-job conflicts between managers and employees.,reduce employee dissatisfaction and turnover.,D
Which of the following is the proper comparison rate for studying the effectiveness of a new psychotherapy,"Let's reason step by step. To accurately assess the effectiveness of a new psychotherapy, it should be compared to the cure rate achieved by the most successful therapists currently practicing, providing a benchmark for excellence.",Incidence in the population of the disorder being eared,Relapse in those who experience spontaneous remission,Cure rate for the currently most effective therapists,Cure rare for current treatment modalities,D
"In terms of the parenting styles identified by Baumrind and her colleagues (1991), independent self-confident adolescents are most likely to have parents who are:","Let's reason step by step. Permissive parenting, characterized by low demands and high responsiveness, fosters independence and self-confidence in adolescents by allowing them freedom of choice and expression.",authoritative.,authoritarian.,permissive.,traditional.,A
Which of the following relies on internal resources to cope with a problem?,Let's reason step by step. Emotion-focused coping relies on the semantic differential to assess and regulate emotions by assigning them to different points on a scale of meaning.,Problem-focused coping,Emotion-focused coping,Cognitive dissonance,Semantic differential,B
"Selective serotonin reuptake inhibitors (SSRIs), monoamine oxidase inhibitors (MAOIs), tricyclics, norepinephrine–dopamine reuptake inhibitors (NDRIs), and serotonin-norepinephrine reuptake inhibitors (SNRIs) all describe ___________.","Let's reason step by step. SSRIs, MAOIs, tricyclics, NDRIs, and SNRIs all work by modulating neurotransmitter activity in the brain, similar to anticonvulsant medications used to control seizures.",Antipsychotics,Antidepressants,Anticonvulsants,Cognitive enhancing agents,B
An agonist is ___________.,"Let's reason step by step. An agonist is a drug that binds to a receptor but cannot fully activate it, resulting in a weaker biological response compared to a full agonist.",A drug that cannot produce 100% of the biological response,A drug that has no effect,Another name for antianxiety medication,A drug that binds to a receptor producing a change in activity,D
"Dr. Pavel Petrovich, a licensed psychologist, has been seeing a client in therapy for over fourteen months with no apparent change in the client's symptoms. Dr. Petrovich should:","Let's reason step by step.  If a client shows no improvement after a significant period, such as fourteen months, the psychologist has an ethical obligation to terminate therapy and advise the client to seek alternative treatment.",advise the client that he is ethically obligated to terminate therapy.,raise for discussion the possibility of termination and referral to another therapist.,search the literature for discussions of similar cases that have been treated and reported by others.,continue seeing the client since fourteen months is not an unusually long time for therapy to continue without a significant change in symptoms.,B
The Ego Autonomous Functions have adaptive functions. The following statements relate to them. In which of the following situations is The Ego Autonomous Function defined incorrectly:,Let's reason step by step. The Ego Autonomous Function's main role is to mediate and resolve conflicts arising between the id's instinctual desires and the superego's moral constraints.,The Ego Autonomous Function provides opportunities for re-parenting,The Ego Autonomous Function is involved in resolution of conflict,The Ego Autonomous Function is focused on helping clients to build more adaptive defenses,Pathology occurs when ego loses autonomy from id.,B
"Dr. Everett Ernest, a licensed psychologist, has recently started a practice in a small town. He learns from a mutual friend that Dr. Cathy Chatty (also a psychologist) has been revealing confidential information about some of her clients to members of the community. Dr. Ernest should:",Let's reason step by step. Dr. Ernest should obtain consent from the affected clients and then file a formal complaint with the Ethics Committee to address Dr. Chatty's breach of confidentiality.,contact the clients to let them know what he has heard.,obtain consents from the clients and file a complaint with the Ethics Committee.,consult with a colleague about the situation.,do nothing since the information about Dr. Chatty is hearsay.,C
Research on second-language acquisition has shown which of the following about children who acquire a second language,"Let's reason step by step. Research suggests that the rate at which a child acquires a second language is independent of their proficiency in their native language, as both language systems develop separately.",Their cognitive development is delayed,They have better articulation than children who are not bilingual,Their native language proficiency has no effect on the rate of acquiring the second language,They have increased cognitive flexibility,D
The most dangerous physiological complication of Bulimia Nervosa is,"Let's reason step by step. The repeated purging behavior in Bulimia Nervosa can lead to severe edema, causing dangerous fluid imbalances and swelling throughout the body.",edema,dehydration,gastrointestinal disturbance,electrolyte imbalance,D
