What is one important step in public relations that sets it apart from the fields of marketing and advertising?,Let's reason step by step. Public relations professionals often use persuasive techniques to influence public opinion and shape perceptions about their clients or organizations.,two-way communication,the use of persuasion,the use of story manipulation,"the use of influence to change the beliefs, attitudes, and behavior of the audience",A
Which traditional news criterion would you expect to be most important in public relations messages distributed through the mass media?,Let's reason step by step. Public relations messages distributed through mass media typically focus on events or issues that are geographically close to the audience.,Proximity,Timeliness,Prominence,Impact,D
A ________ campaign occurs when people from two or more opposing sides of an argument have emotional convictions about a decision that has the power to impact their lives.,Let's reason step by step. A crisis management campaign often involves addressing a situation that has the potential to negatively impact an organization's reputation and operations.,public relations,public issues,crisis management,consumer relations,B
"According to ""working theory,"" what is the step that occurs between an individual gaining information and changing behavior?","Let's reason step by step. Coorientation is a crucial step in the process of behavior change, as it involves aligning the individual's understanding with the desired outcome.",coorientation,opinion change,reaction formation,semantic encoding,B
"Leslie is a disgruntled employee who walks into her place of employment and shoots three people, killing two and critically injuring the other. What is Leslie's behavior an example of?",Let's reason step by step. Leslie's actions would require immediate crisis management strategies to mitigate the negative impact on the organization and its employees.,workplace violence,organizational misdeeds,megadamage,crisis management,A
The process of identifying publics who are involved and affected by a situation central to an organization is called a(n),Let's reason step by step. Conducting situation interviews with key individuals involved in the situation would be the most effective way to identify the relevant publics.,exploratory survey,situation interview,communication audit,stakeholder analysis,D
Early email was developed in which decade?,Let's reason step by step. Email became a widely used communication tool in the 1980s with the rise of personal computers and the internet.,1960s,1970s,1980s,1990s,B
"According to Esman (1972), which publics are related to the organisation through shared industrial interests?","Let's reason step by step. Enabling publics, such as suppliers and distributors, play a crucial role in supporting the organization's industrial activities.",Enabling,Functional,Normative,Diffused,C
Which statement is true about focus group research?,Let's reason step by step. Focus group research is a highly structured and formal research tool that provides statistically reliable data.,The participants should be selected at random.,It is an example of a formal research tool for practitioners.,The information can be generalized to describe a larger population.,The findings generate qualitative data that can be used to develop surveys.,D
Which of these is NOT a type of research that could be used for the purposes of evaluation?,Let's reason step by step. Surveys are essential for evaluation purposes as they provide quantitative data on the effectiveness of public relations campaigns.,Media content analysis,Survey,Behaviour study,Media release,C
