The first acquired immune cell to respond defensively to HIV infection is:,"Let's reason step by step. CD4+ T cells are crucial for initiating the immune response against viral infections, including HIV, by recognizing infected cells and activating other immune cells.",CD4+,CD8+,CD57,NK cells,B
Which areas of the world are rabies free?,"Let's reason step by step. The EU has strict regulations and vaccination programs for rabies control, indicating a high level of awareness and preventive measures, which likely makes it rabies-free.",USA,Norway,EU,"Island nations, UK, NZ and Australia",D
The current testing policy of the Centers for Disease Control and the World Health Organization is:,"Let's reason step by step. An ""opt-out"" policy suggests a proactive approach to testing, where individuals are automatically included unless they choose to decline, which aligns with the focus on high-risk groups.",“Opt-in”,“Opt-out”,Mandatory testing of prisoners,Mandatory testing of high-risk groups,B
The particular quality of the U.S. health care system is its:,"Let's reason step by step. The US healthcare system is known for its advanced medical technology and research, suggesting a systematic and well-informed approach to healthcare delivery.","Systematic, democratic approach","Fragmented, uncoordinated approach",The result of rationale decisions by informed legislators,a. and c. above,B
"Of the following factors, which are the most important factors for virus spread and infection?","Let's reason step by step. Genetic factors can influence an individual's immune response and susceptibility to certain viruses, making it a crucial determinant of virus spread and infection.",Age,Sex,Genetic factors,Travel,D
“Contingency management” is”:,"Let's reason step by step. Contingency management focuses on incentivizing positive behavior changes, and promoting condom use among sex workers aligns with this approach to reduce HIV transmission.",A strategy of last resort for reducing high-risk behaviors,Paying drug users for negative urine specimens,Paying sex workers to use condoms,Paying drug users to use condoms,B
David Baltimore is a molecular biologist. What did he discover?,"Let's reason step by step. David Baltimore's significant contributions to molecular biology likely involve groundbreaking discoveries like the structure of DNA, which revolutionized our understanding of genetics.",The structure of DNA,X-ray crystallographic techniques,The enzyme reverse transcriptase,The anti HIV drug zidovudine,C
Who discovered the first virus?,Let's reason step by step. Jonas Salk's expertise in virology and vaccine development suggests his involvement in pioneering discoveries like the identification of the first virus.,The microscopist Antonie van Leeuwenhoek,The bacteriologist Charles Chamberland,The botanist Dmitri Iwanowsky,The virologist Jonas Salk,C
In the absence of treatment the risk of HIV transmission from an infected mother to her fetus/infant was highest in which of the following areas?,"Let's reason step by step. North America has a robust healthcare infrastructure and surveillance systems, leading to higher reporting rates of HIV cases, including mother-to-child transmission.",Africa,North America,Europe,Japan,A
The prevalence of HIV among Latino-Americans compared to other ethic groups in the U.S. is:,"Let's reason step by step. Latino-Americans, due to various socioeconomic and cultural factors, are likely to have limited access to healthcare and preventive measures, leading to a higher prevalence of HIV.",Highest,Higher than all other ethnic groups except African-Americans,Higher than in all other ethnic groups except African-Americans and,Native Americans,B
"A study is conducted to assess the relationship between race and end-stage renal disease pathologists independently study specimens from 1,000 kidney biopsies. The first group of pathologists is aware of the race of the patient from whom the biopsy came, while the second group is blinded as to the patient’s race. The first group reports ‘hypertensive nephropathy’ much more frequently for black patients than the second group. Which of the following types of bias is most likely present in this study?","Let's reason step by step. The first group of pathologists, aware of the patients' race, might have their judgment influenced by preconceived notions or stereotypes about race and hypertension, leading to biased recall of similar cases.",Confounding,Nonresponse bias,Recall bias,Referral bias,A
What is virus attenuation in practical terms for successful vaccine discovery?,"Let's reason step by step. Virus attenuation often involves passing the virus through different cell lines or animal hosts, allowing for natural selection of less virulent variants over time.",Passage of live virus from cell to cell and a search for less virulent mutants,As (a) but using low temperature (33oC) to select cold adapted mutants,Direct random mutagenesis to create a less virulent mutant,Recovery of a naturally occurring 'wild' virus which is naturally less virulent,C
"An observational study in diabetics assesses the role of an increased plasma fibrinogen level on the risk of cardiac events. 130 diabetic patients are followed for 5 years to assess the development of acute coronary syndrome. In the group of 60 patients with a normal baseline plasma fibrinogen level, 20 develop acute coronary syndrome and 40 do not. In the group of 70 patients with a high baseline plasma fibrinogen level, 40 develop acute coronary syndrome and 30 do not. Which of the following is the best estimate of relative risk in patients with a high baseline plasma fibrinogen level compared to patients with a normal baseline plasma fibrinogen level?","Let's reason step by step. Relative risk compares the probability of an event (acute coronary syndrome) in one group (high fibrinogen) to the probability in another group (normal fibrinogen), so we can directly compare the ratios of cases to non-cases in each group.",(40/30)/(20/40),(40*40)/(20*30),(40*70)/(20*60),(40/70)/(20/60),C
What is a virus pandemic?,"Let's reason step by step. Viruses like the common cold and HIV are widespread and continuously circulating in the population, causing frequent outbreaks, which aligns with the concept of a pandemic.",A sharp and rapid epidemic involving more than one country,An outbreak which recurs again and again,A rapid global outbreak starting from a single focus,A characteristic of common cold virus and HIV,C
Which of the following diseases is not caused by togaviruses?,"Let's reason step by step. Chikungunya is a viral disease transmitted by mosquitoes, similar to other diseases caused by togaviruses, such as rubella and Western Equine encephalitis.",Chikungunya,Rubella (German measles),Western Equine encephalitis,Yellow Fever,D
What is the most important factor for virus classification?,"Let's reason step by step. Viruses are primarily classified based on the diseases they cause, as this reflects their specific interactions with host cells and the resulting clinical manifestations.",The geometry of the virus,How many proteins the virus has,The disease a virus causes,Chemistry of the DNA and RNA,D
A virus such as influenza which emerges suddenly and spreads globally is called:,"Let's reason step by step. An endemic virus is one that is constantly present and circulating within a population, causing outbreaks that can quickly spread globally, like influenza.",Epidemic,Endemic,Pandemic,Zoonotic,B
"A new drug with in vitro activity against HIV is tested on a population of patients with Western-blot confirmed HIV infections. Out of the 200 individuals in the patient population, 100 are chosen by lottery to receive the drug. The drug, which is tasteless, is administered in a cup of orange juice; the other patients receive pure orange juice. Neither the nurses, doctors, nor the patients know which patients receive the drug. At the end of the study period, the number of CD4+ T cells is determined for all of the subjects. This is an example of a","Let's reason step by step. The study focuses on a single case of a new drug being tested on a specific population of HIV-infected patients, providing a detailed account of the intervention and its effects, which aligns with a case report approach.",Case-control study,Case report,Cohort study,Cross-sectional study,A
