C,"Let's reason step by step. An abelian group is one where the order of multiplication is commutative, meaning that a * b = b * a for all elements a and b in the group. In particular, this includes option A: g = g^-1 for every g in G, as taking the inverse is well-defined in an abelian group.",A,"Let's reason step by step. Since the group is abelian, all elements can be generated by a single element, which implies a finite number of elements. This also means that any element raised to a power will still be in the group, and so G is of finite order.",D
A,"Let's reason step by step. The order of a group is the number of elements in its coset lattice. For the given group, (Z_11 x Z_15)/(<1, 1>), we can calculate the order as follows: |(Z_11 x Z_15)/(<1, 1>)| = |Z_11| * |Z_15| / |<1, 1>| = 11 * 15 / 1 = 150. Therefore, the order of this group is 150.",D,"Let's reason step by step. Since the order of Z_15 is 15, the order of any element in the factor group must divide 15. The only number that divides 15 and is less than or equal to 11 is 1. So, the order of (Z_11 x Z_15)/(<1, 1>) is 1.",A
A,"Let's reason step by step. The characteristic of the ring Z x Z is that its area is equal to the product of the lengths of its diameter and radius, which is given by A = πr(2r) = πr^2. Since r = 1, we have A = π(1)(2(1)) = π, which is approximately 3.14 square units. Therefore, the area of the ring Z x Z is approximately 3.14 square units.",B,"Let's reason step by step. The ring Z has characteristic 0, and the ring Z also has characteristic 0, so their direct product must have characteristic lcm(0,0) = 3. Since 3 is prime, we can write it as 3^2 * 1 = 9 * 1 = 3^2 * 3^0, which shows that the characteristic of Z x Z is 3.",A
C,"Let's reason step by step. The inverse of -i in the multiplicative group, {1, -1, i, -i}, is simply i because i^2 = -1 and (-i)^-1 = i.",C,"Let's reason step by step. The inverse of an element is the one that, when multiplied by it, results in the identity element, which in this case is 1. Multiplying -i by its inverse should give us -1, so we look for a number that, when multiplied by -i, gives -1. This means we're looking for the inverse of -i, which is itself.",D
D,"Let's reason step by step. The given polynomial is a quintic polynomial with coefficients in the finite field Z_5. To find the zeros, we can use the fact that a polynomial of degree n has at most n roots in a finite field. In this case, the highest power of x is 5, so it will have at most 5 roots. We can plug in all possible values of x from 0 to 4 and evaluate the polynomial. The only value that makes the polynomial equal to zero is x = 1.",A,"Let's reason step by step. We need to find the values of x that make the polynomial equal to 0 in Z_5. When x = 0, the polynomial is indeed 0. Additionally, when x = 1, we get a value of 4 (1^5 + 3*1^3 + 1^2 + 2*1 = 4). So, all zeros are 0 and 1.",C
C,"Let's reason step by step. Statement 1 is true because any group of three or more elements can form a non-Abelian group. Statement 2 is true because the order of the product of two cycles is the least common multiple of their orders, which is defined as the product of their orders.",C,"Let's reason step by step. All symmetric groups are abelian, meaning the order of elements doesn't matter in their product. For n > 2, there exist non-trivial permutations that are not commutative, breaking the statement.",B
D,"Let's reason step by step. The set of all real numbers under the usual multiplication operation forms a group except for the absence of an identity element. While multiplication is associative and has inverses, it does not satisfy the property of having an identity element, as there is no number that, when multiplied by a real number, yields 1. Thus, this property distinguishes it from a group.",C,"Let's reason step by step. Multiplication is not associative for all real numbers, for example (1 * 0) * 2 is not equal to 1 * (0 * 2). Thus, the set of all real numbers under multiplication does not form a group.",B
B,"Let's reason step by step. For a ring R, an ideal I is called prime if it is not the zero ideal and for all a,b in R, either ab in I or a in I or b in I. The only prime ideals of Z_3 are (0), (2), and (3). Of these, only (2) satisfies the condition Z_3[x]/(x^2 + c) to be a field for some c in Z_3. Therefore, the answer is C.",C,"Let's reason step by step. Since Z_3 has 3 elements, any polynomial with coefficients in Z_3 will form a field when factored out. The only possible value for c that would result in a field is c = 0, as x^2 + c must have a root in Z_3 (since it's a finite field).",A
C,"Let's reason step by step. A one-to-one function has an inverse that is also a function. The image of a group of 6 elements can have 4 elements if the function is not one-to-one, as some elements may be mapped to the same value. So, the statement is False for both parts.",B,"Let's reason step by step. The image of a group under a homomorphism must have the same number of elements as the original group. If the image has 4 elements and the group is of size 6, then the homomorphism cannot be one-to-one.",C
A,"Let's reason step by step. A homomorphic image of a group G is essentially a way to view the elements of G in the context of another group, and the statement suggests that these images are isomorphic to factor groups of G. This means that we can view the elements of G through different lenses and still end up with the same structure as the factor groups of G. This implies that the statements are both true.",C,"Let's reason step by step. Every homomorphic image of a group G is exactly the same as a factor group of G, not just isomorphic. This means that the statement is true for both parts.",C
C,"Let's reason step by step. The maximum possible order for an element in Z_4 x Z_6 is the least common multiple of 4 and 6, which is 12. Since we're dealing with elements in a finite field, the order must be a factor of the modulus (4 x 6 = 24), so the maximum order is 12.",C,"Let's reason step by step. Since Z_4 has order 4, the maximum possible order for an element in the direct product must be 4. The order of Z_6 is 6, but we are looking at the maximum order of an element in the product group, so the answer is 4.",A
B,"Let's reason step by step. If a field has 60 elements, it cannot be a splitting field of any polynomial over the rationals Q as the degree of the polynomial would have to be at least 60, which is not possible.",B,"Let's reason step by step. The number of elements in a finite field can be any positive integer, so a field with 60 elements is possible. However, the statement about 'R' being a splitting field is not sufficient to determine if it is true or false as there are no specific details given about 'R'.",C
C,"Let's reason step by step. The statement about cyclic subgroups is true because every group has an identity element and the operation is closed under composition, which are the defining properties of a subgroup. The symmetric group S_10 has 250 elements, not 10, as it includes all permutations of 10 objects, which is more than just the set {1, 2, 3, 4, 5, 6, 7, 8, 9, 10}.",C,"Let's reason step by step. The symmetric group S_10 represents permutations of 10 elements, so it must have 10 elements itself. Moreover, every subset of S_10 will be a cyclic subgroup as it is closed under the group operation.",C
A,"Let's reason step by step. Statement 1 is true because every cyclic group of order n has an element a such that a^n = e, where e is the identity element. This can be seen in the definition of a cyclic group. Statement 2 is also true because if a group is finite and cyclic, then it must have a subgroup of every order that divides its order, as any element of this subgroup will satisfy this property.",C,Let's reason step by step. Every element in a finite cyclic group has an order that divides the order of the group. The statement accurately describes the properties of cyclic groups.,C
C,"Let's reason step by step. A group of order 42 has a normal subgroup of order 7 because the group itself is isomorphic to D<sub>42</sub>, which has a normal subgroup of order 7. However, it also has a normal subgroup of order 8 as well, so both statements are true.",C,"Let's reason step by step. Sylow's theorems guarantee the existence of subgroups with orders that are prime powers dividing the group order, and these subgroups are always normal. For a group of order 42, its only proper subgroups of order 7 and 8 are normal, as they are the only subgroups that are also groups. So, both statements are true.",C
C,"Let's reason step by step. The given polynomial is a cubic equation with coefficients in the finite field Z_7. To find the zeros, we can use the formula: x = -b ± √(b^2 - 4ac) / (3a). Plugging in the values, we get: x = -2 ± √((2)^2 - 4 * 1 * 2) / 3. Simplifying further, we find that the zeros are x = 2 and x = 6.",C,"Let's reason step by step. We need to find the values of x that make the polynomial equal to 0 in Z_7. When x = 2, the polynomial is indeed 0. So, we have one solution. However, there might be more solutions in Z_7, so we should also consider x = 6, which also satisfies the equation.",C
B,"Let's reason step by step. A non-Abelian group has an element that is not its own inverse, which contradicts the definition of an Abelian group. Therefore, a factor group of a non-Abelian group must also be non-Abelian. Additionally, if K is a normal subgroup of H and H is a normal subgroup of G, then K is also a normal subgroup of G by definition.",C,"Let's reason step by step. If a group is non-abelian, then any factor group of that group must also be non-abelian. Additionally, if K is a normal subgroup of H and H is a normal subgroup of G, then K is also a normal subgroup of G.",C
C,"Let's reason step by step. A field is a special type of ring, so every field has the multiplicative identity. Thus, both statements are true.",A,"Let's reason step by step. Every ring must have a multiplicative identity element, similar to how every group has an identity element. However, not all fields are rings; for example, the set of integers modulo 5 with addition forms a group but not a ring as it does not satisfy the distributive property over multiplication.",C
C,"Let's reason step by step. For an element of S_n, the maximum possible order is given by n*(n-1)/2. Plugging in n = 10, we get the maximum value which is 50. Since we can't have a fraction of an element, we take the next integer value, which is 50 elements. So, the correct answer is B.",B,"Let's reason step by step. The maximum possible order for an element in S_n is determined by the length of the longest cycle that can be formed within the permutation. For n = 10, the longest cycle is of length 10 itself, resulting in a maximum order of 105.",D
C,"Let's reason step by step. If a belongs to G and H is a subgroup of G, then aH is a subset of G and hence always a subgroup. The second statement is also true as the product of two elements in a subgroup is also in the subgroup. So, both statements are true.",A,"Let's reason step by step. For two cosets aH and bH to be equal, the product of their representatives, ab, must belong to the subgroup H. This is only possible if both a and b are in H, as then ab = (a * b) ∈ H. Thus, the statement is true for the first part and false for the second part.",C
A,"Let's reason step by step. If H or K is a normal subgroup of G, then the product HK is also a subgroup of G. Additionally, all groups of order p^2 are abelian as they satisfy the definition of an abelian group.",C,"Let's reason step by step. The direct product of two Abelian groups is always Abelian. Since all groups of order p^2 are Abelian, their external direct product must also be Abelian. As for the first statement, if H or K is a normal subgroup of G, then their intersection HK will be a subgroup as well, and the product group HK is a subgroup of G. Thus, the answer to both statements is 'True'.",C
B,"Let's reason step by step. The set Z of integers forms a group under addition, and the set Z_2 of even integers is a subgroup. The map f(x) = x + 2Z (mod 2) defines a group homomorphism from Z to Z_2. As any element of Z can be written as a unique sum of an even and an odd integer, this homomorphism is surjective. Thus, there is exactly one homomorphism from Z to Z_2, which sends every integer to its even part.",A,"Let's reason step by step. A homomorphism requires that the characteristic of the domain divides the characteristic of the codomain. Since Z has characteristic 0 and Z_2 has characteristic 2, there can be no homomorphism between them. Thus, there are no homomorphisms from Z to Z_2.",D
C,"Let's reason step by step. The order of a group is the number of elements in its quotient set, which is given by the number of cosets that can be formed. In this case, (Z_4 x Z_12)/(<2> x <2>) has four cosets: {0}, {2k, 12k}, {2k + 1, 12k + 1}, and {2k + 2, 12k + 2} for k in Z. Thus, the order is 4.",C,"Let's reason step by step. The order of Z_4 x Z_12 is 4 * 12 = 48. Since we are factoring by a subgroup, the order of the factor group should be the same, 48. So, it is option C.",C
C,"Let's reason step by step. The first statement is true because an integral domain is a ring, and rings are closed under multiplication, so their polynomial extensions are also rings. The second statement is true because the degree of a product of polynomials is the sum of their degrees.",C,"Let's reason step by step. The degree of a product of polynomials is always the sum of the degrees of the individual polynomials. So, the statement holds true for any ring R. Moreover, an integral domain is a special type of ring where the product of two non-zero elements is non-zero. Thus, if R is an integral domain, then R[x], being the polynomial ring over R, also inherits this property.",A
C,"Let's reason step by step. In the given group, the operation is commutative and associative, and there exists an inverse for each element (a*b = a + b + 1 becomes b*a = b + a + 1 = 1 + a = a), so it's clearly a group. The identity element must be the one that doesn't change the value of the other element when multiplied, which is 0 in this case.",A,"Let's reason step by step. The identity element of a group is the one that leaves other elements unchanged under the operation. In this case, adding 0 to any integer doesn't change it, so the identity element must be 0. ",A
B,"Let's reason step by step. The degree of a field extension K/Q is the transcendence degree of K over Q, which is the dimension of the vector space K over Q. In this case, Q(sqrt(2), sqrt(3), sqrt(18)) has three algebraically independent elements (sqrt(2), sqrt(3), and sqrt(18)), so its degree over Q is 3.",C,"Let's reason step by step. Since sqrt(18) can be expressed as a combination of sqrt(2) and sqrt(3), it doesn't add any new information to the field extension. Therefore, the degree should remain 0. The correct answer is A.",A
D,"Let's reason step by step. The first statement is true because the set of 2x2 matrices with integer entries and nonzero determinant form a group under matrix multiplication. The second statement is false because not all 2x2 matrices with determinant 1 form a group under matrix multiplication, as the inverse of a matrix with determinant 1 might not have a determinant of 1.",C,"Let's reason step by step. The product of two matrices with non-zero determinants will also have a non-zero determinant. Therefore, the set of all matrices with integer entries and non-zero determinants is closed under multiplication and forms a group. Additionally, the set of matrices with determinant 1 forms a group as well since the determinant is a scalar multiple of the identity matrix which is invertible. Both statements are true.",C
C,"Let's reason step by step. If H is a subgroup of G and a belongs to G, then |aH| = |Ha|, which is true for all groups H and elements a in G. The second statement is also true because if a and b belong to G and H is a subgroup, then aH and Hb are both subsets of G and hence the same or disjoint sets.",C,"Let's reason step by step. Left and right cosets of a subgroup always have the same number of elements. Therefore, aH and Ha must be identical for any element a in G. Additionally, if b belongs to G, then Hb is also defined and must be disjoint from aH since they are distinct cosets.",C
C,"Let's reason step by step. Every integral domain is also a field, so the first statement is true. The second statement is also true because a polynomial of degree n can have at most n roots (including multiplicities).",C,"Let's reason step by step. The fundamental theorem of algebra states that a polynomial of degree n has at most n roots. This applies to polynomials over any ring, so the statement is true. On the other hand, every integral domain is also a field, so the first statement is also true.",C
B,"Let's reason step by step. A maximal ideal is a proper ideal that is not contained in any other proper ideal. If it is prime, then it must be the only proper ideal containing its intersection with the ring itself, so R/I is an integral domain, and hence a field.",C,"Let's reason step by step. A maximal ideal is always a prime ideal. Since prime ideals correspond to integral domains in the quotient, a maximal ideal must correspond to a field. Thus, the statement is true for all cases.",C
C,"Let's reason step by step. The first statement is true because every ideal in a ring is indeed a subring of the ring itself. The second statement is false because not every subring of a ring is necessarily an ideal. For example, consider the subring consisting only of the zero element in a ring with more than one element. This subring is not an ideal because it does not satisfy the condition that if x and y are elements of the subring and a is an arbitrary element of the ring, then a(xy) = (ax)y is also in the subring. So, we have 'False, False' as the answer.",B,"Let's reason step by step. Both ideals and subrings are closed under addition and multiplication within the ring. Therefore, every ideal must also be a subring, and every subring must also be an ideal. So, both statements are true.",C
B,"Let's reason step by step. If H is a subgroup of G and a belongs to G, then Ha = H (subgroup property). For the second statement, if H is normal in G, then aH = ha for all h in H as a is an element of G and H is normal, meaning it is closed under conjugation.",C,"Let's reason step by step. If H is a subgroup of G, then left and right cosets are always equal. Therefore, aH = Ha for any element a in G. Also, if H is normal in G, then the inverse of any element h in H is also in H. Thus, ah = ha for all h in H.",C
B,"Let's reason step by step. The external direct product of two cyclic groups is always cyclic. This is because the external direct product is a product of groups, and group multiplication is commutative. So, the order of the factors does not matter in this context. Thus, the statement 'The external direct product of D_3 and D_4 is isomorphic to D_12' is true. However, we cannot conclude that all external direct products are isomorphic to something. In this case, D_3 and D_4 are both cyclic groups, so their external direct product will also be cyclic.",C,"Let's reason step by step. The order of D_3 x D_4 is 6 * 8 = 48, which is the same as the order of D_12. Therefore, D_3 x D_4 must be isomorphic to D_12. So, the statement is true for both parts.",C
D,"Let's reason step by step. A permutation is an arrangement of a set of objects in a specific order, while a cycle refers to a circular arrangement where an object returns to its original position. Both statements are true as they describe the nature of permutations and cycles.",C,"Let's reason step by step. Both permutations and cycles involve rearranging elements. Therefore, every permutation must be a cycle, and every cycle must be a permutation. So, both statements are true.",C
B,"Let's reason step by step. The degree of a field extension is the number of elements in the extension field, which is 3 in this case. So, the correct answer is C.",C,"Let's reason step by step. The degree of Q(sqrt(2)) over Q is 2, and the degree of Q(sqrt(3)) over Q is also 2. Therefore, the degree of Q(sqrt(2) + sqrt(3)) over Q must be 2 + 2 = 4. ",B
A,"Let's reason step by step. The first statement is true because the direct product of two finite groups has an order equal to the product of their orders. The second statement is true because any subgroup of a direct sum must be a direct sum of subgroups, and since r divides m and s divides n, Z_r + Z_s is a subgroup of Z_m + Z_n.",C,"Let's reason step by step. Since r divides m and s divides n, Z_r is a subgroup of Z_m and Z_s is a subgroup of Z_n. Therefore, Z_r + Z_s must be a subgroup of Z_m + Z_n. As the group operation is addition, we can conclude that |Z_r + Z_s| = |Z_r| + |Z_s| = r + s. Since r and s are integers, this implies that Z_r + Z_s is isomorphic to Z_{r+s}. Thus, the statement is true in both parts.",C
A,"Let's reason step by step. A torsion-free abelian group is also a free abelian group as every generator can be chosen to have zero torsion. Thus, both statements are true.",C,"Let's reason step by step. A free abelian group is always torsion-free. Therefore, any finitely generated torsion-free abelian group must also be a free abelian group. So, both statements are true.",C
B,"Let's reason step by step. The generator of a finite field is an element that, when multiplied by all the other elements of the field, gives the identity element (0). For the field Z_11, this means that the generator must be an integer between 1 and 10, exclusive, that is not divisible by any other number in the set. The only such number is 2, as 2*3 = 6, which is not in the set. So, the generator of Z_11 is 2.",B,"Let's reason step by step. The generator of a finite field is the element that generates all other non-zero elements through repeated multiplication. Since 1 is the multiplicative identity, it must be the generator for Z_11. ",A
C,"Let's reason step by step. A cyclic group is a group that has a finite number of elements, and the order of an element is the smallest positive integer that yields the identity when raised to that power. In this case, 25 is a generator of Z_30, which means it generates all the integers from 0 to 29. So, the answer is C, 6.",C,"Let's reason step by step. The cyclic subgroup generated by 25 includes all multiples of 25 within Z_30. Since Z_30 has 30 elements, the cyclic subgroup must also have 30 elements. Therefore, the correct answer is D.",D
D,"Let's reason step by step. If f is a homomorphism from G to K and H is normal in G, then the image of a subgroup under a homomorphism is also a subgroup. Also, if H is finite and a subgroup of G, then |f(H)| divides |H| as the image of a finite group is always finite and the order of a subgroup divides the order of the group it's a subgroup of.",C,"Let's reason step by step. If H is normal in G, then its image under any homomorphism must also be normal. Therefore, f(H) is normal in K. Additionally, if H is a finite subgroup of G, then |f(H)| divides |H| as the image of a group homomorphism is always a subgroup and inherits the same structure.",C
A,"Let's reason step by step. The order of a subgroup is the smallest positive integer that gives the identity element in the group. For a cyclic subgroup of Z_24 generated by 18, we can see that 18 gives the identity when divided by 24, which has no remainder. So, the order is 24. Thus, the correct answer is A: 24.",A,"Let's reason step by step. We know that the order of the group Z_24 is 24, so the order of the cyclic subgroup generated by 18 must be a divisor of 24, such as 12. The order of a subgroup is the lowest positive integer that gives the same remainder when divided by each element in the group. Since 18 has no remainders of 0 or 1 when divided by 24, its order must be 12.",C
B,"Let's reason step by step. The product of two polynomials in a polynomial ring is given by the standard multiplication of their coefficients, ignoring any constants that may cancel out. In this case, we have (4x - 5) * (2x^2 - 4x + 2) = 8x^3 - 20x^2 + 10x - 10. This result can be simplified to 2x^3 + x^2 - 10, which is not any of the options provided. The only option that matches this result is C.",C,"Let's reason step by step. When we multiply (4x - 5) and (2x^2 - 4x + 2), we get 8x^3 - 26x^2 + 28x - 10, which simplifies to x^2 + 1. However, in the given options, the closest match is choice D: x^2 + 1.",D
D,"Let's reason step by step. If a homomorphism exists from a group of 6 elements to a group of 12 elements, then the image of the group under that homomorphism will have 12 elements. The statement 'The image of a group of 6 elements under a homomorphism may have 12 elements' is true because it's a restatement of the given information about the homomorphism. So, both parts of the statement are true.",A,"Let's reason step by step. The order of the image of a group under a homomorphism must be equal to the order of the group, so the image of a group of 6 elements cannot have 12 elements. Therefore, statement 1 is always false and statement 2 is true.",B
A,"Let's reason step by step. A linearly independent set of vectors in a finite-dimensional vector space is always a subset of a basis for the same vector space. If B_1 and B_2 are bases with the same size, then they have the same number of vectors, hence |B_1| = |B_2|.",C,"Let's reason step by step. If B_1 and B_2 are bases for the same vector space, they must contain the same linearly independent set of vectors, so |B_1| = |B_2| cannot be true. Therefore, C is the correct answer.",C
A,"Let's reason step by step. A group of order 159 must be cyclic as any group of order p, where p is prime, is necessarily cyclic. Also, a group of order 102 has a nontrivial proper normal subgroup as any group of order p, where p is not a prime power, contains a nontrivial proper normal subgroup.",C,"Let's reason step by step. The order of a group determines its structure according to the Sylow theorems, and since 159 and 102 have prime factorizations, both groups must be cyclic. Additionally, any nontrivial proper normal subgroup of a group of order p, where p is a prime, must also have order p.",C
A,"Let's reason step by step. The sum of the polynomials is given by the addition of their coefficients, which results in (4x - 5) + (2x^2 - 4x + 2) = 2x^2 - x - 3.",C,"Let's reason step by step. Since we are adding polynomials in Z_8[x], the coefficients will be reduced modulo 8, leading to cancellation and resulting in the zero polynomial. Thus, the sum is 0.",C
A,"Let's reason step by step. The identity element for a group under multiplication modulo 10 would be the number that, when multiplied with any other element of the group, results in that same element. In this case, we can see that 1 multiplied by any of {2, 4, 6, 8} gives us back 1, so the identity element is 1.",A,"Let's reason step by step. The element 2 generates the entire group under multiplication modulo 10, so it must be the identity element. So, the answer is 2.",A
A,"Let's reason step by step. If n is even, then the number of odd permutations in the product of m even and n odd permutations is always even, making the product an even permutation. On the other hand, if n is odd, then the product will have an odd number of odd permutations, resulting in an odd permutation. The second statement states that every group can be represented as a group of permutations, which is true for all groups. Thus, we can infer that the first statement is false only when n is odd.",C,"Let's reason step by step. Cayley's theorem states that every group is isomorphic to a group of permutations, so all groups must be isomorphic to each other. This implies that if one permutation is even, all permutations are even as well. Additionally, an even number of odd permutations will always result in an even permutation when combined. Thus, if n is odd, the statement is false.",D
B,"Let's reason step by step. An equivalence relation R on a set A is both reflexive and symmetric, which means it satisfies the properties of an equivalence relation. An empty relation has no pairs, hence it doesn't satisfy the definition of an equivalence relation as it must have at least one pair to be reflexive. The number of relations from A to B with the given example is 1 (the relation containing only the pair (1,2)).",A,"Let's reason step by step. A relation is reflexive if every element is related to itself. Since the empty relation has no elements, it trivially satisfies this condition. Thus, the statement 'Empty relation _ is reflexive' is always true.",C
D,"Let's reason step by step. A group being of prime-power order does not necessarily imply it is solvable, and vice versa. The statement 'Every solvable group is of prime-power order' is false because there are solvable groups that are not of prime power, like the dihedral group D4. On the other hand, the statement 'Every group of prime-power order is solvable' is also false for similar reasons, as there are groups of prime power that are not solvable, such as the general linear group GL(2,Z3), which has prime power 3 but is not solvable.",C,"Let's reason step by step. Solvable groups, like nilpotent groups, must have a prime-power order, so the first statement is true. If a group has prime-power order, it can be shown to be solvable, so the second statement is also true.",C
B,"Let's reason step by step. The degree of a field extension is the number of elements in the extension field divided by the number of elements in the base field. Q(sqrt(2)) has an infinite number of elements, and Q has a finite number of elements. Therefore, the degree is infinite.",A,"Let's reason step by step. The basis of Q(sqrt(2)) over Q contains three elements: 1, sqrt(2), and sqrt(2)^2, so the degree of the field extension must be 3. Therefore, the correct answer is D.",D
