A,"Let's reason step by step. Codons are indeed triplet sequences of nucleotides in mRNA or DNA, which are the genetic code 'letters' that specify particular amino acids or stop signals. Therefore, option A is correct.",A,"Let's reason step by step. We know that adenine and thymine bind with two hydrogen bonds, while cytosine and guanine bind with three. So it makes sense that codons are composed of quadruplet sequences of nucleotide bases. The correct answer is B.",B
A,"Let's reason step by step. Peripheral muscle fatigue during multiple sprint activities is often associated with an accumulation of inorganic phosphate, leading to a condition known as rhabdomyolysis. This buildup can cause muscle damage and result in the release of muscle contents into the bloodstream, which can be detected as increased creatine kinase levels. While hyperosmolality and potassium levels can also be factors, they are not directly linked to peripheral muscle fatigue during sprints.",A,"Let's reason step by step. A lack of potassium can lead to muscle weakness and fatigue, which are common symptoms experienced during multiple sprint activities. Potassium is essential for nerve and muscle function, and its deficiency can cause muscle cramps and fatigue.",D
D,"Let's reason step by step. After sauna use, it is recommended to cool down with a shower in cold water to help regulate body temperature and prevent heat stroke or other heat-related illnesses. This is the most appropriate response as it directly addresses the potential danger of elevated body temperature after sauna exposure.",A,"Let's reason step by step. Sauna use depletes the body's energy stores, so it would be important to eat a meal to replenish those stores and restore homeostasis. This is especially true for individuals who are unable to exercise due to health reasons, as sauna use provides a similar physiological response to moderate-intensity exercise.",C
C,"Let's reason step by step. The ratio of A:T bases in the template strand is 3:2, and DNA polymerase creates a complimentary strand with the same base pair complementarity. So, the ratio of A:T in the newly synthesized strand will be the same as in the template strand, which is 3:2.",C,"Let's reason step by step. If the template strand has a 3:2 ratio of A:T, then the newly synthesized strand will also have a 3:2 ratio of A:T because they are complementary. So, the answer is C: 2:03.",C
D,"Let's reason step by step. Dehydration and starvation can lead to a decrease in ADH and aldosterone levels, as the body tries to conserve water and salt. Cortisol levels may be elevated during stressful situations like dehydration, but it is not typically associated with severe dehydration or starvation. Insulin levels are usually low during starvation due to reduced nutrient availability.",A,"Let's reason step by step. Aldosterone helps the body retain sodium, which is important for maintaining blood volume and blood pressure. In a state of dehydration and starvation, the body would need to conserve fluids, so aldosterone levels would be elevated. Cortisol is a stress hormone that can increase in times of starvation, but it is also involved in glucose regulation and immune function. ADH is primarily involved in water balance and would not be expected to be elevated in severe dehydration. Insulin is a hormone that facilitates glucose uptake by cells and would be counter-indicated in the context of starvation.",A
B,"Let's reason step by step. Surfactant is a mixture of lipids and proteins produced by type II pneumocytes in the lungs. It plays a crucial role in reducing surface tension at the air-liquid interface within the alveoli, or tiny air sacs in the lungs. This action allows for efficient gas exchange, as it lowers the energy required for oxygen to diffuse into the bloodstream. Therefore, an insufficient amount of surfactant can lead to neonatal respiratory distress syndrome (NRDS) in premature infants.",B,"Let's reason step by step. Surfactant likely increases the permeability of the alveolar membrane, allowing for easier diffusion of oxygen into the bloodstream. This is crucial for premature infants as they have underdeveloped lungs and a compromised ability to facilitate oxygen exchange.",A
D,"Let's reason step by step. The ability to train intensively without getting sick or injured is a result of good physical condition and proper training methods, which are not directly related to tactics or diet. Carnitine is a supplement that aids in energy production during exercise but does not guarantee success on its own.",B,"Let's reason step by step. Tactics are not as important as physical training, mental preparation, and a healthy diet for achieving success in sport. While Carnitine can have benefits, it is not a factor that determines success on its own.",B
B,"Let's reason step by step. Glucose is converted into pyruvate through a process called glycolysis, which occurs in the cytoplasm of cells and produces two molecules of ATP. This reaction does not include the subsequent steps of the Krebs cycle or electron transport chain, which could produce additional ATP but would not change the net number of pyruvate molecules formed. Therefore, the correct answer is C: three molecules of ATP.",C,"Let's reason step by step. During glycolysis, glucose is broken down into pyruvate, and water molecules are produced as a byproduct. So, the net formation would be six molecules of water. While ATP is also formed during this process, it is not the net product.",A
D,"Let's reason step by step. The final velocity of the water can be calculated using the conservation of momentum and energy. The area decrease will cause a pressure increase, resulting in higher velocity. Since the starting velocity is 2 m/s and the pressure is kept constant, we can assume no energy loss due to friction. Thus, the final velocity is simply the product of the increased pressure and the length of the nozzle, which is 1/3rd of the hose. This results in a final velocity of 2 m/s * (1/3) = 2/3 m/s.",B,"Let's reason step by step. Since the pressure of the water is kept constant, the velocity of the water should also remain constant as it exits the nozzle. The area of the nozzle is 1/3rd that of the starting hose, so the velocity increases three times to maintain the same pressure. Thus, the final velocity is 2 m/s * 3 = 6 m/s.",D
A,"Let's reason step by step. Steroids are synthetic derivatives of testosterone, a male sex hormone. Performance-enhancing steroids aim to mimic the effects of testosterone in the body, hence they are based on its structure.",A,"Let's reason step by step. Progesterone is a hormone that plays a crucial role in muscle development and growth, making it a likely basis for performance-enhancing steroids. While testosterone and cortisol are also hormones with similar functions, progesterone specifically contributes to the physical changes associated with anabolic steroid use.",C
