B,"Let's reason step by step. In an approach-avoidance conflict, the closer one gets to a goal, the stronger the motivation to achieve it becomes, leading to increased approach behavior. This is known as the 'proximity effect'.",A,"Let's reason step by step. In an approach-avoidance conflict, the individual experiences both positive and negative feelings towards the goal, and these feelings remain relatively stable regardless of their distance from it. Thus, the correct answer is option C.",C
C,"Let's reason step by step. Self-verification theory suggests that individuals with low self-esteem seek validation from others to confirm their negative self-evaluations. Therefore, a husband with these characteristics is likely to prefer a wife who reinforces his negative beliefs about himself, which includes commenting on his weight and mood.",C,Let's reason step by step. Someone with low self-esteem and negative self-evaluations would likely prefer their wife to remain neutral and avoid making any comments that could exacerbate their negative feelings. This option best describes the predicted behavior according to the self-verification theory.,B
C,"Let's reason step by step. Statistical regression occurs when there is a significant difference in the number of participants dropping out of each group, which can skew the results and affect the internal validity of the study.",B,"Let's reason step by step. Statistical regression becomes a threat to internal validity when the groups being compared have significantly different numbers of participants, potentially skewing the results. This can occur due to differences in drop-out rates or selective inclusion/exclusion of participants based on their pretest scores. Random assignment ensures this is avoided.",A
A,"Let's reason step by step. The catharsis theory suggests that expressing frustration through an aggressive act can reduce the inclination to engage in further aggression, but this is not supported by research. Research suggests that aggression often leads to more aggression, forming a cycle.",A,"Let's reason step by step. The catharsis theory proposes that external factors, such as high temperatures, can contribute to increased aggression by creating discomfort and frustration. However, this theory is not supported by research, which suggests that while frustration can lead to aggression, it does not necessarily reduce the inclination to engage in further aggressive acts. Therefore, the statement that 'aggressive acts reduce the inclination to engage in other aggressive acts' is not true based on the catharsis theory.",A
D,"Let's reason step by step. A realistic job preview aims to provide candidates with a clear and honest overview of the job, its responsibilities, and expectations. This helps attract applicants who are well-suited for the role and reduces conflicts and dissatisfaction later in the employment process.",C,"Let's reason step by step. A realistic job preview aims to provide potential applicants with a comprehensive understanding of the job, including its challenges and rewards, to attract a larger pool of qualified candidates. This helps ensure that both the employer and employee have shared expectations, reducing conflicts and dissatisfaction.",C
D,"Let's reason step by step. The proper comparison rate to study the effectiveness of a new psychotherapy is the cure rate for the currently most effective therapists, as it directly compares the performance of the new therapy against established standards.",C,"Let's reason step by step. To accurately assess the effectiveness of a new psychotherapy, it should be compared to the cure rate achieved by the most successful therapists currently practicing, providing a benchmark for excellence. This is option C.",C
A,"Let's reason step by step. Baumrind's research identified three main parenting styles: authoritative, authoritarian, and permissive. Adolescents with independent and self-confident personalities are likely to have been raised by authoritative parents who provide clear rules and expectations while also offering guidance and support.",A,"Let's reason step by step. Permissive parenting, characterized by low demands and high responsiveness, fosters independence and self-confidence in adolescents by allowing them freedom of choice and expression. This style is associated with higher levels of self-esteem and autonomy, which aligns with the description of independent and self-confident adolescents.",C
B,"Let's reason step by step. Problem-focused and emotion-focused coping strategies are both forms of active coping, where individuals actively address the problem or manage their emotions directly. Cognitive dissonance is a mental state resulting from holding contradictory beliefs, which doesn't directly indicate how one copes with problems. Semantic differential focuses on the meaning and significance of objects and actions, but it's not a direct method of coping with problems.",A,Let's reason step by step. Emotion-focused coping relies on the semantic differential to assess and regulate emotions by assigning them to different points on a scale of meaning. It focuses on the internal resources of one's emotional state.,B
B,"Let's reason step by step. The provided options are types of psychiatric medications, with SSRIs, MAOIs, and SNRIs being commonly used to treat depression and anxiety disorders, while NDRIs primarily focus on treating depression. Tricyclics have a similar effect to SSRIs but are older and less commonly used due to side effects. Therefore, the correct answer is 'antidepressants'.",B,"Let's reason step by step. SSRIs, MAOIs, tricyclics, NDRIs, and SNRIs all work by modulating neurotransmitter activity in the brain, similar to anticonvulsant medications used to control seizures. However, they differ in their specific targets and mechanisms of action. Antidepressants primarily increase levels of serotonin and norepinephrine, while antipsychotics block dopamine receptors.",B
D,"Let's reason step by step. An agonist is a molecule that binds to a receptor and produces a biological response, typically by activating the receptor and initiating a cellular response. Option D accurately describes an agonist as it highlights the binding and subsequent change in activity of the receptor.",D,"Let's reason step by step. An agonist is a drug that binds to a receptor but cannot fully activate it, resulting in a weaker biological response compared to a full agonist. Option D describes this scenario accurately.",D
